
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                2.E-03          -889.419              0.                 1.14766E-03        0.                 0.                 0.                39.4519E+06       263.214E+03          0.                39.4519E+06        82.5283E+03        39.6024E+06       111.111E-06        195.259E+03         -5.94932E-03       19.8026E-03         0.               980.323E+06          1.04445E+06        3.96585E+09       -5.93168E-03       20.E-03     
                2.11111E-03       13.9607E+03         0.                 1.14779E-03        0.                 0.                 0.                43.932E+06        241.581E+03          0.                43.932E+06         82.8463E+03        44.0588E+06       111.111E-06        197.631E+03         -6.42242E-03       20.8914E-03         0.                 1.02506E+09      -55.7114E+06         4.15122E+09       -6.40185E-03       21.1111E-03 
                2.22222E-03        9.86734E+03        0.               574.202E-06          0.                 0.                 0.                48.6377E+06       212.728E+03          0.                48.6377E+06        85.0714E+03        48.739E+06        111.111E-06        196.5E+03           -6.72223E-03       21.9789E-03         0.                 1.08103E+09      -44.9054E+06         4.37565E+09       -6.69967E-03       22.2222E-03 
                2.33333E-03       -6.33029E+03        0.               919.059E-06          0.                 0.                 0.                53.5774E+06       209.61E+03           0.                53.5774E+06        91.5349E+03        53.6827E+06       111.111E-06        195.836E+03         -6.89944E-03       23.0653E-03         0.                 1.14363E+09       13.788E+06          4.62757E+09       -6.87567E-03       23.3333E-03 
                2.44444E-03      -12.9938E+03         0.               287.344E-06          0.                 0.                 0.                58.7611E+06       230.317E+03          0.                58.7611E+06        96.9558E+03        58.8909E+06       111.111E-06        197.421E+03         -7.15539E-03       24.1505E-03         0.                 1.20009E+09       41.5936E+06         4.86133E+09       -7.12982E-03       24.4444E-03 
                2.55556E-03       -2.49161E+03        0.               287.562E-06          0.                 0.                 0.                64.1713E+06       253.403E+03          0.                64.1713E+06        98.4376E+03        64.3277E+06       111.111E-06        195.501E+03         -7.573E-03         25.2345E-03         0.                 1.24644E+09        5.97862E+06        5.05827E+09       -7.54439E-03       25.5555E-03 
                2.66667E-03       10.2999E+03         0.               230.102E-06          0.                 0.                 0.                69.8247E+06       241.044E+03          0.                69.8247E+06        99.02E+03          69.9681E+06       111.111E-06        196.74E+03          -8.02179E-03       26.3173E-03         0.                 1.29174E+09      -42.0979E+06         5.24786E+09       -7.98973E-03       26.6667E-03 
                2.77778E-03        8.81433E+03        0.               575.404E-06          0.                 0.                 0.                75.707E+06        216.979E+03          0.                75.707E+06        101.016E+03         75.8286E+06       111.111E-06        196.441E+03         -8.34259E-03       27.399E-03          0.                 1.34549E+09      -40.0447E+06         5.46622E+09       -8.3079E-03        27.7778E-03 
                2.88889E-03       -3.77094E+03        0.              -345.349E-06          0.                 0.                 0.                81.819E+06        212.094E+03          0.                81.819E+06        106.264E+03         81.9416E+06       111.111E-06        195.701E+03         -8.55374E-03       28.4795E-03         0.                 1.40536E+09        4.96072E+06        5.709E+09         -8.51725E-03       28.8889E-03 
                3.E-03           -10.3489E+03         0.              -691.13E-06           0.                 0.                 0.                88.1702E+06       227.3E+03            0.                88.1702E+06       111.261E+03         88.3119E+06       111.111E-06        196.853E+03         -8.81186E-03       29.5588E-03         0.                 1.46126E+09       31.4424E+06         5.94089E+09       -8.77316E-03       30.E-03     
