
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.               -12.5129E+03         0.                 0.                 0.                 0.                 0.                 0.                 1.21875E+06        0.                 0.                 0.                 0.               111.111E-06          1.21875E+06        0.                 0.                 0.                12.2001E+06         0.                 0.                 0.                 0.         
              111.111E-06        -84.5009E+03         0.                 0.                 0.                 0.                 0.               990.054E+03          1.33204E+06        0.               990.054E+03        113.121E+03          1.1323E+06       111.111E-06          1.30292E+06      -77.2506E-06         2.77396E-03        0.               191.613E+06        291.209E+06        729.113E+06        -77.2404E-06         2.77778E-03
              222.222E-06        -48.1548E+03         0.               913.784E-06          0.                 0.                 0.                 3.15782E+06        1.85368E+06        0.                 3.15782E+06      124.93E+03           3.89098E+06      111.111E-06          1.24546E+06       -1.19841E-03        5.54014E-03        0.               304.949E+06        179.495E+06          1.21523E+09       -1.1977E-03         5.55556E-03
              333.333E-06         44.9199E+03         0.                 0.                 0.                 0.                 0.                 6.97502E+06        1.87169E+06        0.                 6.97502E+06      125.688E+03          7.73011E+06      111.111E-06          1.24228E+06       -2.91689E-03        8.2988E-03         0.               386.095E+06       -164.525E+06          1.56314E+09       -2.91267E-03        8.33333E-03
              444.444E-06         74.7946E+03         0.               228.677E-06          0.                 0.                 0.                12.478E+06          1.37297E+06        0.                12.478E+06        124.909E+03         12.6898E+06       111.111E-06          1.28601E+06       -4.0814E-03        11.0499E-03         0.               506.656E+06       -295.714E+06          2.0372E+09        -4.07306E-03       11.1111E-03 
              555.556E-06          9.28033E+03        0.              -227.35E-06           0.                 0.                 0.                19.1179E+06         1.22895E+06        0.                19.1179E+06       168.753E+03         19.2956E+06       111.111E-06          1.22E+06          -4.31939E-03       13.7933E-03         0.               682.382E+06        -68.3314E+06         2.72073E+09       -4.31007E-03       13.8889E-03 
              666.667E-06        -62.2787E+03         0.               229.476E-06          0.                 0.                 0.                27.5674E+06         1.29991E+06        0.                27.5674E+06       254.171E+03         27.8557E+06       111.111E-06          1.26581E+06       -4.44235E-03       16.5293E-03         0.               858.434E+06        204.276E+06          3.42868E+09       -4.43251E-03       16.6667E-03 
              777.778E-06        -49.1655E+03         0.              -688.537E-06          0.                 0.                 0.                37.3843E+06         1.6697E+06         0.                37.3843E+06       277.382E+03         38.0827E+06       111.111E-06          1.24878E+06       -5.33801E-03       19.2578E-03         0.               982.419E+06        175.656E+06          3.95842E+09       -5.32382E-03       19.4444E-03 
              888.889E-06         25.3337E+03         0.              -689.311E-06          0.                 0.                 0.                48.6554E+06         1.78761E+06        0.                48.6554E+06       276.016E+03         49.4912E+06       111.111E-06          1.22789E+06       -6.84546E-03       21.9789E-03         0.                 1.07111E+09      -93.0903E+06         4.34772E+09       -6.82211E-03       22.2222E-03 
