4.17078e-04 1.55932e-04  1.59673e-04 2.33933e-04 
4.21378e-04 1.58761e-04  1.61691e-04 2.37735e-04 
4.25677e-04 1.61579e-04  1.63710e-04 2.41547e-04 
4.29977e-04 1.64382e-04  1.65730e-04 2.45370e-04 
4.34277e-04 1.67169e-04  1.67750e-04 2.49202e-04 
4.38577e-04 1.69939e-04  1.69772e-04 2.53043e-04 
4.42877e-04 1.72689e-04  1.71795e-04 2.56893e-04 
4.47176e-04 1.75418e-04  1.73819e-04 2.60751e-04 
4.51476e-04 1.78124e-04  1.75843e-04 2.64617e-04 
4.55776e-04 1.80805e-04  1.77869e-04 2.68490e-04 
4.60076e-04 1.83460e-04  1.79896e-04 2.72371e-04 
4.64375e-04 1.86088e-04  1.81925e-04 2.76258e-04 
4.68675e-04 1.88687e-04  1.83954e-04 2.80152e-04 
4.72975e-04 1.91256e-04  1.85984e-04 2.84052e-04 
4.77275e-04 1.93794e-04  1.88016e-04 2.87958e-04 
4.81574e-04 1.96300e-04  1.90048e-04 2.91869e-04 
4.85874e-04 1.98772e-04  1.92082e-04 2.95786e-04 
4.90174e-04 2.01210e-04  1.94116e-04 2.99707e-04 
4.94474e-04 2.03614e-04  1.96151e-04 3.03633e-04 
4.98774e-04 2.05981e-04  1.98187e-04 3.07563e-04 
5.03073e-04 2.08313e-04  2.00224e-04 3.11497e-04 
5.07373e-04 2.10607e-04  2.02262e-04 3.15435e-04 
5.11673e-04 2.12864e-04  2.04300e-04 3.19376e-04 
5.15973e-04 2.15084e-04  2.06339e-04 3.23321e-04 
5.20272e-04 2.17265e-04  2.08378e-04 3.27269e-04 
5.24572e-04 2.19409e-04  2.10418e-04 3.31219e-04 
5.28872e-04 2.21514e-04  2.12457e-04 3.35172e-04 
5.33172e-04 2.23580e-04  2.14497e-04 3.39127e-04 
5.37472e-04 2.25609e-04  2.16537e-04 3.43084e-04 
5.41771e-04 2.27599e-04  2.18577e-04 3.47043e-04 
5.46071e-04 2.29551e-04  2.20617e-04 3.51004e-04 
5.50371e-04 2.31466e-04  2.22657e-04 3.54966e-04 
5.54671e-04 2.33344e-04  2.24696e-04 3.58930e-04 
5.58970e-04 2.35184e-04  2.26734e-04 3.62895e-04 
5.63270e-04 2.36988e-04  2.28772e-04 3.66861e-04 
5.67570e-04 2.38757e-04  2.30810e-04 3.70828e-04 
5.71870e-04 2.40490e-04  2.32846e-04 3.74795e-04 
5.76169e-04 2.42189e-04  2.34882e-04 3.78763e-04 
5.80469e-04 2.43855e-04  2.36917e-04 3.82732e-04 
5.84769e-04 2.45487e-04  2.38951e-04 3.86701e-04 
5.89069e-04 2.47088e-04  2.40984e-04 3.90670e-04 
5.93369e-04 2.48657e-04  2.43015e-04 3.94639e-04 
5.97668e-04 2.50196e-04  2.45045e-04 3.98609e-04 
6.01968e-04 2.51707e-04  2.47074e-04 4.02578e-04 
6.06268e-04 2.53189e-04  2.49102e-04 4.06547e-04 
6.10568e-04 2.54645e-04  2.51128e-04 4.10516e-04 
6.14867e-04 2.56074e-04  2.53153e-04 4.14485e-04 
6.19167e-04 2.57479e-04  2.55177e-04 4.18453e-04 
6.23467e-04 2.58861e-04  2.57199e-04 4.22421e-04 
6.27767e-04 2.60221e-04  2.59219e-04 4.26388e-04 
6.32066e-04 2.61559e-04  2.61238e-04 4.30355e-04 
6.36366e-04 2.62878e-04  2.63256e-04 4.34321e-04 
6.40666e-04 2.64178e-04  2.65273e-04 4.38287e-04 
6.44966e-04 2.65462e-04  2.67288e-04 4.42252e-04 
6.49266e-04 2.66729e-04  2.69302e-04 4.46216e-04 
6.53565e-04 2.67982e-04  2.71315e-04 4.50180e-04 
6.57865e-04 2.69222e-04  2.73327e-04 4.54143e-04 
6.62165e-04 2.70450e-04  2.75338e-04 4.58105e-04 
6.66465e-04 2.71667e-04  2.77348e-04 4.62067e-04 
6.70764e-04 2.72874e-04  2.79358e-04 4.66027e-04 
6.75064e-04 2.74074e-04  2.81367e-04 4.69987e-04 
6.79364e-04 2.75267e-04  2.83375e-04 4.73946e-04 
6.83664e-04 2.76454e-04  2.85384e-04 4.77905e-04 
6.87963e-04 2.77636e-04  2.87393e-04 4.81863e-04 
6.92263e-04 2.78816e-04  2.89401e-04 4.85820e-04 
6.96563e-04 2.79993e-04  2.91411e-04 4.89776e-04 
7.00863e-04 2.81169e-04  2.93421e-04 4.93732e-04 
7.05163e-04 2.82346e-04  2.95432e-04 4.97687e-04 
7.09462e-04 2.83524e-04  2.97444e-04 5.01642e-04 
7.13762e-04 2.84703e-04  2.99458e-04 5.05596e-04 
7.18062e-04 2.85886e-04  3.01474e-04 5.09549e-04 
7.22362e-04 2.87074e-04  3.03492e-04 5.13502e-04 
7.26661e-04 2.88266e-04  3.05512e-04 5.17454e-04 
7.30961e-04 2.89464e-04  3.07536e-04 5.21406e-04 
7.35261e-04 2.90668e-04  3.09562e-04 5.25358e-04 
7.39561e-04 2.91880e-04  3.11592e-04 5.29309e-04 
7.43860e-04 2.93101e-04  3.13626e-04 5.33260e-04 
7.48160e-04 2.94329e-04  3.15664e-04 5.37210e-04 
7.52460e-04 2.95567e-04  3.17707e-04 5.41160e-04 
7.56760e-04 2.96815e-04  3.19755e-04 5.45111e-04 
7.61060e-04 2.98073e-04  3.21808e-04 5.49061e-04 
7.65359e-04 2.99342e-04  3.23868e-04 5.53010e-04 
7.69659e-04 3.00621e-04  3.25934e-04 5.56960e-04 
7.73959e-04 3.01912e-04  3.28006e-04 5.60910e-04 
7.78259e-04 3.03214e-04  3.30087e-04 5.64860e-04 
7.82558e-04 3.04528e-04  3.32175e-04 5.68810e-04 
7.86858e-04 3.05853e-04  3.34271e-04 5.72760e-04 
7.91158e-04 3.07190e-04  3.36376e-04 5.76711e-04 
7.95458e-04 3.08538e-04  3.38490e-04 5.80661e-04 
7.99757e-04 3.09898e-04  3.40614e-04 5.84612e-04 
8.04057e-04 3.11269e-04  3.42748e-04 5.88563e-04 
