3.44016e-02 5.17609e-05  5.37839e-01 5.37887e-01 1.63897e-05
3.48315e-02 6.61847e-05  5.51320e-01 5.51383e-01 1.65727e-05
3.52615e-02 6.63791e-05  5.64981e-01 5.65041e-01 1.66831e-05
3.56914e-02 4.49992e-05  5.78800e-01 5.78840e-01 1.68033e-05
3.61214e-02 4.48108e-05  5.92792e-01 5.92833e-01 1.69394e-05
3.65514e-02 8.45241e-05  6.06944e-01 6.07024e-01 1.70567e-05
3.69813e-02 7.02780e-05  6.21270e-01 6.21334e-01 1.71742e-05
3.74113e-02 2.93365e-05  6.35745e-01 6.35772e-01 1.72811e-05
3.78412e-02 5.30502e-05  6.50413e-01 6.50460e-01 1.73782e-05
3.82712e-02 9.52493e-05  6.65221e-01 6.65310e-01 1.74694e-05
3.87011e-02 4.36631e-05  6.80212e-01 6.80253e-01 1.75771e-05
3.91311e-02 4.40566e-05  6.95359e-01 6.95398e-01 1.76770e-05
3.95610e-02 6.10303e-05  7.10675e-01 7.10729e-01 1.77895e-05
3.99910e-02 7.21726e-05  7.26159e-01 7.26227e-01 1.79115e-05
4.04209e-02 5.22788e-05  7.41808e-01 7.41856e-01 1.80642e-05
4.08509e-02 5.76714e-05  7.57617e-01 7.57668e-01 1.81727e-05
4.12808e-02 4.87991e-05  7.73604e-01 7.73647e-01 1.83065e-05
4.17108e-02 5.21388e-05  7.89742e-01 7.89791e-01 1.84249e-05
4.21407e-02 7.86737e-05  8.06057e-01 8.06130e-01 1.85183e-05
4.25707e-02 5.30607e-05  8.22534e-01 8.22581e-01 1.86068e-05
4.30006e-02 2.74051e-05  8.39170e-01 8.39193e-01 1.87004e-05
4.34306e-02 7.20358e-05  8.55984e-01 8.56051e-01 1.87974e-05
4.38605e-02 8.46567e-05  8.72952e-01 8.73030e-01 1.88960e-05
4.42905e-02 3.13008e-05  8.90094e-01 8.90121e-01 1.89847e-05
4.47204e-02 4.44938e-05  9.07397e-01 9.07437e-01 1.90696e-05
4.51504e-02 7.18274e-05  9.24864e-01 9.24929e-01 1.91949e-05
4.55803e-02 7.20396e-05  9.42499e-01 9.42567e-01 1.93336e-05
4.60103e-02 3.80526e-05  9.60305e-01 9.60339e-01 1.95038e-05
4.64402e-02 5.82920e-05  9.78261e-01 9.78312e-01 1.96971e-05
4.68702e-02 5.68904e-05  9.96403e-01 9.96455e-01 1.98224e-05
4.73001e-02 6.12866e-05  1.01469e+00 1.01475e+00 1.99274e-05
4.77301e-02 6.79169e-05  1.03316e+00 1.03322e+00 2.00080e-05
4.81600e-02 4.53480e-05  1.05178e+00 1.05182e+00 2.00990e-05
4.85899e-02 4.23347e-05  1.07057e+00 1.07061e+00 2.01804e-05
4.90199e-02 8.01291e-05  1.08953e+00 1.08960e+00 2.02767e-05
4.94498e-02 6.59135e-05  1.10865e+00 1.10871e+00 2.03570e-05
4.98798e-02 3.72200e-05  1.12793e+00 1.12796e+00 2.04515e-05
5.03097e-02 4.25703e-05  1.14739e+00 1.14743e+00 2.05608e-05
5.07397e-02 9.35281e-05  1.16700e+00 1.16709e+00 2.06641e-05
5.11696e-02 5.14951e-05  1.18679e+00 1.18684e+00 2.07916e-05
5.15996e-02 3.33733e-05  1.20673e+00 1.20676e+00 2.08903e-05
5.20295e-02 6.75856e-05  1.22684e+00 1.22690e+00 2.10299e-05
5.24595e-02 6.31858e-05  1.24712e+00 1.24718e+00 2.11330e-05
5.28894e-02 5.14566e-05  1.26756e+00 1.26761e+00 2.12373e-05
5.33193e-02 6.00992e-05  1.28816e+00 1.28822e+00 2.13270e-05
5.37493e-02 4.53776e-05  1.30894e+00 1.30898e+00 2.14078e-05
5.41792e-02 5.56129e-05  1.32987e+00 1.32992e+00 2.14843e-05
5.46092e-02 6.95188e-05  1.35097e+00 1.35104e+00 2.15617e-05
5.50391e-02 5.53040e-05  1.37224e+00 1.37229e+00 2.16476e-05
5.54690e-02 3.85515e-05  1.39366e+00 1.39370e+00 2.17365e-05
5.58990e-02 5.46419e-05  1.41526e+00 1.41531e+00 2.18385e-05
5.63289e-02 8.50860e-05  1.43701e+00 1.43709e+00 2.19496e-05
5.67589e-02 4.25102e-05  1.45894e+00 1.45898e+00 2.20595e-05
5.71888e-02 3.29200e-05  1.48103e+00 1.48105e+00 2.21606e-05
5.76188e-02 7.74069e-05  1.50328e+00 1.50335e+00 2.22725e-05
5.80487e-02 6.56402e-05  1.52570e+00 1.52576e+00 2.23787e-05
5.84786e-02 3.51289e-05  1.54828e+00 1.54831e+00 2.24664e-05
5.89086e-02 6.31506e-05  1.57102e+00 1.57107e+00 2.25710e-05
5.93385e-02 5.45960e-05  1.59394e+00 1.59398e+00 2.26640e-05
5.97685e-02 5.81726e-05  1.61700e+00 1.61705e+00 2.27623e-05
6.01984e-02 6.24629e-05  1.64025e+00 1.64030e+00 2.28443e-05
6.06283e-02 5.08004e-05  1.66364e+00 1.66368e+00 2.29471e-05
6.10583e-02 4.27294e-05  1.68721e+00 1.68725e+00 2.30396e-05
6.14882e-02 6.89695e-05  1.71094e+00 1.71101e+00 2.31064e-05
6.19181e-02 6.79736e-05  1.73483e+00 1.73490e+00 2.31779e-05
6.23481e-02 4.27361e-05  1.75889e+00 1.75893e+00 2.32555e-05
6.27780e-02 3.69548e-05  1.78312e+00 1.78315e+00 2.33352e-05
6.32080e-02 8.80978e-05  1.80750e+00 1.80758e+00 2.34168e-05
6.36379e-02 5.69686e-05  1.83206e+00 1.83211e+00 2.35151e-05
6.40678e-02 3.14849e-05  1.85677e+00 1.85679e+00 2.35913e-05
6.44978e-02 6.30108e-05  1.88164e+00 1.88170e+00 2.36783e-05
6.49277e-02 6.48158e-05  1.90669e+00 1.90675e+00 2.37393e-05
6.53576e-02 5.42381e-05  1.93189e+00 1.93194e+00 2.38292e-05
6.57876e-02 5.34126e-05  1.95727e+00 1.95731e+00 2.38883e-05
6.62175e-02 5.01922e-05  1.98280e+00 1.98284e+00 2.40087e-05
6.66474e-02 5.32457e-05  2.00849e+00 2.00854e+00 2.40998e-05
6.70774e-02 6.51703e-05  2.03436e+00 2.03442e+00 2.41789e-05
6.75073e-02 6.37879e-05  2.06038e+00 2.06044e+00 2.42595e-05
6.79372e-02 3.30222e-05  2.08657e+00 2.08660e+00 2.43436e-05
6.83672e-02 4.71699e-05  2.11293e+00 2.11297e+00 2.44176e-05
6.87971e-02 9.40617e-05  2.13943e+00 2.13952e+00 2.44875e-05
6.92270e-02 3.81375e-05  2.16612e+00 2.16616e+00 2.45823e-05
6.96570e-02 3.63632e-05  2.19296e+00 2.19299e+00 2.46453e-05
7.00869e-02 6.31479e-05  2.21997e+00 2.22002e+00 2.47273e-05
7.05168e-02 7.29400e-05  2.24713e+00 2.24720e+00 2.47948e-05
7.09468e-02 4.62637e-05  2.27447e+00 2.27451e+00 2.48881e-05
7.13767e-02 4.21584e-05  2.30196e+00 2.30200e+00 2.49763e-05
7.18066e-02 6.03539e-05  2.32963e+00 2.32968e+00 2.50812e-05
7.22366e-02 6.14763e-05  2.35744e+00 2.35750e+00 2.51906e-05
7.26665e-02 5.34822e-05  2.38544e+00 2.38549e+00 2.52634e-05
7.30964e-02 5.91543e-05  2.41358e+00 2.41363e+00 2.53575e-05
7.35264e-02 3.43470e-05  2.44190e+00 2.44193e+00 2.54248e-05
7.39563e-02 6.12870e-05  2.47038e+00 2.47043e+00 2.54888e-05
7.43862e-02 8.45589e-05  2.49901e+00 2.49909e+00 2.55630e-05
7.48161e-02 3.26723e-05  2.52782e+00 2.52785e+00 2.56224e-05
7.52461e-02 3.64954e-05  2.55678e+00 2.55682e+00 2.56850e-05
7.56760e-02 8.02022e-05  2.58591e+00 2.58599e+00 2.57471e-05
7.61059e-02 6.49013e-05  2.61521e+00 2.61527e+00 2.58479e-05
7.65359e-02 3.92147e-05  2.64466e+00 2.64469e+00 2.59226e-05
7.69658e-02 4.44809e-05  2.67428e+00 2.67432e+00 2.60426e-05
7.73957e-02 6.97335e-05  2.70406e+00 2.70412e+00 2.61451e-05
7.78256e-02 6.38359e-05  2.73400e+00 2.73406e+00 2.62688e-05
7.82556e-02 4.00819e-05  2.76411e+00 2.76415e+00 2.63663e-05
7.86855e-02 5.86138e-05  2.79437e+00 2.79442e+00 2.64547e-05
7.91154e-02 4.60049e-05  2.82481e+00 2.82485e+00 2.65238e-05
7.95453e-02 6.58246e-05  2.85540e+00 2.85547e+00 2.65880e-05
7.99753e-02 6.65977e-05  2.88616e+00 2.88622e+00 2.66497e-05
8.04052e-02 3.34016e-05  2.91708e+00 2.91711e+00 2.67057e-05
8.08351e-02 4.30065e-05  2.94817e+00 2.94821e+00 2.67653e-05
8.12650e-02 8.86320e-05  2.97941e+00 2.97949e+00 2.68167e-05
8.16950e-02 4.96513e-05  3.01083e+00 3.01087e+00 2.68722e-05
8.21249e-02 3.10922e-05  3.04239e+00 3.04241e+00 2.69471e-05
8.25548e-02 5.59294e-05  3.07413e+00 3.07418e+00 2.70420e-05
8.29847e-02 7.92678e-05  3.10602e+00 3.10609e+00 2.71133e-05
8.34147e-02 4.71064e-05  3.13808e+00 3.13812e+00 2.72310e-05
8.38446e-02 3.59061e-05  3.17030e+00 3.17033e+00 2.73190e-05
8.42745e-02 6.46560e-05  3.20268e+00 3.20274e+00 2.74054e-05
8.47044e-02 5.86608e-05  3.23523e+00 3.23528e+00 2.74829e-05
8.51344e-02 5.04461e-05  3.26794e+00 3.26799e+00 2.75536e-05
8.55643e-02 5.96571e-05  3.30081e+00 3.30086e+00 2.76026e-05
8.59942e-02 3.72442e-05  3.33384e+00 3.33388e+00 2.76593e-05
8.64241e-02 5.98059e-05  3.36703e+00 3.36709e+00 2.77130e-05
8.68540e-02 7.10233e-05  3.40039e+00 3.40046e+00 2.77661e-05
8.72840e-02 4.69987e-05  3.43392e+00 3.43396e+00 2.78249e-05
8.77139e-02 3.46311e-05  3.46759e+00 3.46762e+00 2.78880e-05
8.81438e-02 6.36272e-05  3.50144e+00 3.50150e+00 2.79719e-05
8.85737e-02 7.88371e-05  3.53544e+00 3.53552e+00 2.80536e-05
8.90037e-02 3.20377e-05  3.56961e+00 3.56964e+00 2.81735e-05
8.94336e-02 4.30622e-05  3.60394e+00 3.60398e+00 2.83058e-05
8.98635e-02 7.21512e-05  3.63844e+00 3.63850e+00 2.83790e-05
9.02934e-02 5.62899e-05  3.67309e+00 3.67314e+00 2.84839e-05
9.07233e-02 4.57172e-05  3.70791e+00 3.70795e+00 2.85293e-05
9.11532e-02 5.61441e-05  3.74288e+00 3.74293e+00 2.85890e-05
9.15832e-02 4.50920e-05  3.77803e+00 3.77807e+00 2.86394e-05
9.20131e-02 6.55335e-05  3.81332e+00 3.81338e+00 2.87024e-05
9.24430e-02 5.83132e-05  3.84879e+00 3.84884e+00 2.87632e-05
9.28729e-02 4.62224e-05  3.88441e+00 3.88445e+00 2.88239e-05
9.33028e-02 3.89732e-05  3.92020e+00 3.92023e+00 2.88848e-05
9.37328e-02 7.14490e-05  3.95615e+00 3.95621e+00 2.89582e-05
9.41627e-02 6.86685e-05  3.99226e+00 3.99232e+00 2.90460e-05
9.45926e-02 2.98601e-05  4.02853e+00 4.02855e+00 2.91098e-05
