1.23266e-04 1.99355e+04  0.00000e+00 0.00000e+00 
2.46531e-04 2.12148e+05  6.45292e+04 2.50092e+05 
3.69797e-04 5.75653e+05  5.98824e+05 1.17791e+06 
4.93033e-04 8.00239e+05  1.96135e+06 2.80295e+06 
6.16181e-04 6.06051e+05  4.03866e+06 4.66846e+06 
7.39204e-04 1.80981e+05  6.11437e+06 6.24670e+06 
8.62137e-04 2.73612e+04  7.15209e+06 7.13885e+06 
9.85063e-04 8.84383e+04  6.97412e+06 7.06578e+06 
1.10805e-03 4.10013e+04  6.23204e+06 6.25881e+06 
1.23110e-03 4.08847e+04  6.10704e+06 6.07790e+06 
1.35416e-03 5.60195e+05  8.13140e+06 8.63544e+06 
1.47718e-03 1.39370e+06  1.35389e+07 1.49895e+07 
1.60010e-03 1.49405e+06  2.20045e+07 2.35741e+07 
1.72289e-03 6.51184e+05  3.02584e+07 3.08444e+07 
1.84555e-03 1.19488e+04  3.38940e+07 3.37424e+07 
1.96812e-03 2.93144e+05  3.14268e+07 3.16672e+07 
2.09073e-03 5.78555e+05  2.60376e+07 2.66604e+07 
2.21348e-03 1.49503e+05  2.25099e+07 2.25388e+07 
2.33635e-03 2.86512e+05  2.37531e+07 2.37885e+07 
2.45924e-03 1.99477e+06  3.18041e+07 3.37609e+07 
2.58202e-03 3.46416e+06  4.82657e+07 5.19441e+07 
2.70459e-03 2.45052e+06  6.98640e+07 7.23357e+07 
2.82695e-03 3.42407e+05  8.56696e+07 8.56149e+07 
2.94915e-03 4.02186e+05  8.46965e+07 8.47473e+07 
3.07136e-03 2.10702e+06  6.80316e+07 7.02165e+07 
3.19371e-03 1.89651e+06  4.91240e+07 5.10474e+07 
3.31629e-03 1.78851e+05  4.11105e+07 4.06931e+07 
3.43905e-03 1.78693e+06  4.88273e+07 4.99560e+07 
3.56182e-03 6.85468e+06  7.36759e+07 8.07318e+07 
3.68434e-03 8.24803e+06  1.15076e+08 1.23825e+08 
3.80647e-03 3.30414e+06  1.59104e+08 1.61862e+08 
3.92827e-03 1.75226e+04  1.77709e+08 1.76419e+08 
4.04995e-03 4.19702e+06  1.53741e+08 1.57504e+08 
4.17178e-03 8.44412e+06  1.02912e+08 1.11906e+08 
4.29396e-03 4.41442e+06  6.07100e+07 6.46327e+07 
4.41652e-03 2.29481e+05  5.02033e+07 4.82622e+07 
4.53929e-03 8.73371e+06  7.56030e+07 8.30596e+07 
4.66195e-03 2.14686e+07  1.39216e+08 1.61850e+08 
4.78414e-03 1.81396e+07  2.33750e+08 2.52460e+08 
4.90568e-03 3.15114e+06  3.13769e+08 3.14040e+08 
5.02675e-03 3.02346e+06  3.14960e+08 3.14637e+08 
5.14780e-03 2.07839e+07  2.24578e+08 2.45611e+08 
5.26929e-03 2.63792e+07  1.05112e+08 1.32998e+08 
5.39146e-03 8.12056e+06  3.21148e+07 3.70387e+07 
5.51421e-03 2.91337e+06  2.90363e+07 2.53671e+07 
5.63718e-03 3.55998e+07  9.25300e+07 1.26541e+08 
5.75979e-03 6.22242e+07  2.37683e+08 3.03892e+08 
5.88148e-03 3.69222e+07  4.41707e+08 4.77289e+08 
6.00213e-03 1.16555e+06  5.75222e+08 5.66097e+08 
6.12222e-03 2.35558e+07  5.02814e+08 5.19235e+08 
6.24255e-03 7.76614e+07  2.55046e+08 3.36195e+08 
6.36379e-03 7.28109e+07  1.26158e+07 8.78608e+07 
6.48617e-03 1.24437e+07  -8.72832e+07 -8.83734e+07 
6.60944e-03 2.17565e+07  -6.36416e+07 -5.98663e+07 
6.73290e-03 1.27719e+08  6.64725e+07 1.94676e+08 
6.85554e-03 1.71005e+08  3.77740e+08 5.59618e+08 
6.97646e-03 7.04493e+07  8.09978e+08 8.68521e+08 
7.09572e-03 7.59617e+05  1.01446e+09 9.84360e+08 
7.21442e-03 1.08777e+08  7.31776e+08 8.27427e+08 
7.33393e-03 2.51804e+08  1.43782e+08 4.09083e+08 
7.45511e-03 1.89961e+08  -2.97345e+08 -1.07458e+08 
7.57805e-03 1.74940e+07  -3.82545e+08 -4.13724e+08 
7.70143e-03 1.07886e+08  -3.16795e+08 -2.55582e+08 
7.82591e-03 4.17033e+08  -1.02678e+08 3.24644e+08 
7.94874e-03 4.53761e+08  5.42636e+08 1.02228e+09 
8.06837e-03 1.26750e+08  1.47172e+09 1.54384e+09 
8.18537e-03 2.60148e+07  1.74459e+09 1.68866e+09 
8.30212e-03 3.91188e+08  9.54316e+08 1.32199e+09 
8.42081e-03 7.49527e+08  -3.43252e+08 4.45214e+08 
8.54220e-03 4.84857e+08  -1.06134e+09 -5.98286e+08 
8.66524e-03 3.63425e+07  -9.82637e+08 -1.10820e+09 
8.78462e-03 4.07335e+08  -9.29316e+08 -6.45524e+08 
8.90728e-03 1.22388e+09  -7.09642e+08 5.29965e+08 
9.03098e-03 1.20229e+09  5.14864e+08 1.77309e+09 
9.14863e-03 2.49380e+08  2.59746e+09 2.63743e+09 
9.26203e-03 1.54039e+08  2.92672e+09 2.87717e+09 
9.37603e-03 1.10377e+09  1.21063e+09 2.23467e+09 
9.49399e-03 2.04820e+09  -1.56765e+09 5.61988e+08 
9.61584e-03 1.27336e+09  -2.66569e+09 -1.50894e+09 
9.73415e-03 1.56601e+08  -2.04711e+09 -2.39501e+09 
9.84683e-03 1.21126e+09  -2.30918e+09 -1.42507e+09 
9.96560e-03 3.05847e+09  -2.13432e+09 7.45848e+08 
1.00000e-02 3.45685e+09  -2.01714e+09 1.32774e+09 
