1.64354e-05 4.57464e+04  1.23859e+03 1.23859e+03 
3.28708e-05 4.57981e+04  4.55044e+03 4.60353e+03 
4.93062e-05 4.59640e+04  9.48504e+03 9.72179e+03 
6.57415e-05 4.63243e+04  1.58994e+04 1.65441e+04 
8.21768e-05 4.69611e+04  2.36394e+04 2.50122e+04 
9.86119e-05 4.79459e+04  3.25561e+04 3.50610e+04 
1.15047e-04 4.93280e+04  4.25208e+04 4.66197e+04 
1.31481e-04 5.11252e+04  5.34384e+04 5.96144e+04 
1.47916e-04 5.33182e+04  6.52558e+04 7.39696e+04 
1.64350e-04 5.58478e+04  7.79664e+04 8.96106e+04 
1.80783e-04 5.86178e+04  9.16100e+04 1.06465e+05 
1.97216e-04 6.15011e+04  1.06267e+05 1.24466e+05 
2.13649e-04 6.43491e+04  1.22048e+05 1.43551e+05 
2.30081e-04 6.70040e+04  1.39083e+05 1.63668e+05 
2.46512e-04 6.93119e+04  1.57508e+05 1.84772e+05 
2.62943e-04 7.11360e+04  1.77447e+05 2.06828e+05 
2.79372e-04 7.23677e+04  1.99003e+05 2.29814e+05 
2.95801e-04 7.29362e+04  2.22246e+05 2.53718e+05 
3.12230e-04 7.28138e+04  2.47210e+05 2.78539e+05 
3.28657e-04 7.20175e+04  2.73884e+05 3.04289e+05 
3.45084e-04 7.06066e+04  3.02222e+05 3.30989e+05 
3.61510e-04 6.86771e+04  3.32145e+05 3.58673e+05 
3.77935e-04 6.63523e+04  3.63551e+05 3.87381e+05 
3.94360e-04 6.37719e+04  3.96326e+05 4.17163e+05 
4.10784e-04 6.10803e+04  4.30359e+05 4.48075e+05 
4.27207e-04 5.84148e+04  4.65551e+05 4.80178e+05 
4.43630e-04 5.58954e+04  5.01826e+05 5.13535e+05 
4.60052e-04 5.36171e+04  5.39140e+05 5.48211e+05 
4.76474e-04 5.16449e+04  5.77482e+05 5.84274e+05 
4.92895e-04 5.00121e+04  6.16878e+05 6.21784e+05 
5.09317e-04 4.87220e+04  6.57384e+05 6.60802e+05 
5.25738e-04 4.77525e+04  6.99080e+05 7.01383e+05 
5.42158e-04 4.70626e+04  7.42062e+05 7.43572e+05 
5.58579e-04 4.66007e+04  7.86429e+05 7.87411e+05 
5.74999e-04 4.63131e+04  8.32276e+05 8.32931e+05 
5.91419e-04 4.61518e+04  8.79679e+05 8.80152e+05 
6.07839e-04 4.60813e+04  9.28693e+05 9.29086e+05 
6.24259e-04 4.60823e+04  9.79341e+05 9.79735e+05 
6.40679e-04 4.61542e+04  1.03161e+06 1.03209e+06 
6.57099e-04 4.63137e+04  1.08548e+06 1.08613e+06 
6.73519e-04 4.65917e+04  1.14086e+06 1.14183e+06 
6.89938e-04 4.70279e+04  1.19769e+06 1.19916e+06 
7.06358e-04 4.76640e+04  1.25586e+06 1.25807e+06 
7.22777e-04 4.85365e+04  1.31530e+06 1.31850e+06 
7.39196e-04 4.96696e+04  1.37590e+06 1.38042e+06 
7.55615e-04 5.10694e+04  1.43763e+06 1.44376e+06 
7.72033e-04 5.27204e+04  1.50042e+06 1.50846e+06 
7.88451e-04 5.45831e+04  1.56427e+06 1.57447e+06 
8.04869e-04 5.65955e+04  1.62919e+06 1.64172e+06 
8.21286e-04 5.86760e+04  1.69522e+06 1.71017e+06 
8.37703e-04 6.07293e+04  1.76244e+06 1.77976e+06 
8.54119e-04 6.26532e+04  1.83090e+06 1.85046e+06 
8.70535e-04 6.43467e+04  1.90070e+06 1.92222e+06 
8.86949e-04 6.57182e+04  1.97190e+06 1.99502e+06 
9.03364e-04 6.66928e+04  2.04458e+06 2.06883e+06 
9.19777e-04 6.72184e+04  2.11879e+06 2.14365e+06 
9.36190e-04 6.72697e+04  2.19455e+06 2.21946e+06 
