3.44046e-02 2.19042e-04  4.51771e-01 4.51968e-01 3.06178e-04
3.48346e-02 2.04853e-04  4.63524e-01 4.63706e-01 3.09541e-04
3.52647e-02 2.13885e-04  4.75435e-01 4.75627e-01 3.12851e-04
3.56947e-02 2.35216e-04  4.87503e-01 4.87717e-01 3.16085e-04
3.61247e-02 2.40661e-04  4.99732e-01 4.99957e-01 3.19200e-04
3.65548e-02 2.36309e-04  5.12117e-01 5.12355e-01 3.22244e-04
3.69848e-02 2.46869e-04  5.24668e-01 5.24923e-01 3.25281e-04
3.74149e-02 2.61080e-04  5.37384e-01 5.37653e-01 3.28296e-04
3.78449e-02 2.51518e-04  5.50267e-01 5.50530e-01 3.31229e-04
3.82749e-02 2.37255e-04  5.63313e-01 5.63562e-01 3.34122e-04
3.87050e-02 2.37422e-04  5.76531e-01 5.76771e-01 3.37099e-04
3.91351e-02 2.39481e-04  5.89917e-01 5.90152e-01 3.40133e-04
