1.23266e-04 7.01824e+06  6.92935e+06 6.92935e+06 
2.46531e-04 9.63358e+06  2.25575e+07 2.56350e+07 
3.69526e-04 1.07175e+07  4.82405e+07 5.27285e+07 
4.92048e-04 8.12670e+06  8.61854e+07 8.74358e+07 
6.14178e-04 6.69647e+06  1.31851e+08 1.31796e+08 
7.36176e-04 6.66437e+06  1.88132e+08 1.88088e+08 
8.58191e-04 7.70603e+06  2.55313e+08 2.56163e+08 
9.80102e-04 9.81751e+06  3.29985e+08 3.33474e+08 
1.10167e-03 9.19356e+06  4.15156e+08 4.17841e+08 
1.22283e-03 7.18582e+06  5.09346e+08 5.09706e+08 
1.34372e-03 6.67475e+06  6.11218e+08 6.11266e+08 
1.46456e-03 6.98704e+06  7.23532e+08 7.23735e+08 
1.58536e-03 8.53620e+06  8.43864e+08 8.45827e+08 
1.70594e-03 9.27863e+06  9.72249e+08 9.75163e+08 
1.82616e-03 7.79850e+06  1.10984e+09 1.11093e+09 
1.94606e-03 6.80804e+06  1.25442e+09 1.25456e+09 
2.06582e-03 6.81266e+06  1.40761e+09 1.40775e+09 
2.18554e-03 7.71455e+06  1.56926e+09 1.57030e+09 
2.30512e-03 8.82309e+06  1.73786e+09 1.74028e+09 
2.42440e-03 8.13222e+06  1.91473e+09 1.91628e+09 
2.54337e-03 7.01816e+06  2.09858e+09 2.09892e+09 
2.66214e-03 6.80473e+06  2.28961e+09 2.28980e+09 
2.78084e-03 7.31990e+06  2.48874e+09 2.48938e+09 
2.89944e-03 8.32211e+06  2.69450e+09 2.69634e+09 
3.01780e-03 8.16328e+06  2.90749e+09 2.90913e+09 
3.13586e-03 7.19417e+06  3.12726e+09 3.12780e+09 
3.25371e-03 6.84920e+06  3.35342e+09 3.35366e+09 
3.37146e-03 7.15735e+06  3.58695e+09 3.58746e+09 
3.48911e-03 7.95629e+06  3.82688e+09 3.82832e+09 
3.60656e-03 8.03535e+06  4.07330e+09 4.07483e+09 
3.72374e-03 7.27979e+06  4.32609e+09 4.32674e+09 
3.84070e-03 6.90252e+06  4.58478e+09 4.58508e+09 
3.95755e-03 7.10320e+06  4.85014e+09 4.85061e+09 
4.07429e-03 7.72721e+06  5.12159e+09 5.12277e+09 
4.19086e-03 7.86226e+06  5.39898e+09 5.40033e+09 
4.30718e-03 7.28443e+06  5.68229e+09 5.68296e+09 
4.42330e-03 6.94418e+06  5.97111e+09 5.97146e+09 
4.53929e-03 7.09867e+06  6.26603e+09 6.26652e+09 
4.65517e-03 7.59109e+06  6.56666e+09 6.56770e+09 
4.77089e-03 7.69373e+06  6.87282e+09 6.87399e+09 
4.88637e-03 7.23985e+06  7.18443e+09 7.18507e+09 
5.00167e-03 6.97072e+06  7.50125e+09 7.50162e+09 
5.11684e-03 7.11753e+06  7.82368e+09 7.82419e+09 
5.23190e-03 7.50719e+06  8.15143e+09 8.15239e+09 
5.34679e-03 7.54123e+06  8.48435e+09 8.48535e+09 
5.46148e-03 7.17450e+06  8.82231e+09 8.82288e+09 
5.57598e-03 6.98858e+06  9.16519e+09 9.16558e+09 
5.69037e-03 7.14762e+06  9.51328e+09 9.51383e+09 
5.80464e-03 7.44546e+06  9.86632e+09 9.86721e+09 
5.91873e-03 7.40290e+06  1.02242e+10 1.02250e+10 
6.03264e-03 7.10828e+06  1.05867e+10 1.05873e+10 
6.14639e-03 7.00677e+06  1.09540e+10 1.09544e+10 
6.26001e-03 7.18095e+06  1.13260e+10 1.13266e+10 
6.37352e-03 7.38471e+06  1.17027e+10 1.17035e+10 
6.48685e-03 7.27700e+06  1.20839e+10 1.20846e+10 
6.60001e-03 7.05452e+06  1.24695e+10 1.24699e+10 
6.71302e-03 7.03212e+06  1.28595e+10 1.28599e+10 
6.82592e-03 7.20810e+06  1.32540e+10 1.32547e+10 
6.93868e-03 7.31214e+06  1.36529e+10 1.36536e+10 
7.05128e-03 7.16683e+06  1.40559e+10 1.40565e+10 
7.16371e-03 7.02185e+06  1.44631e+10 1.44635e+10 
7.27602e-03 7.06590e+06  1.48745e+10 1.48750e+10 
7.38821e-03 7.21669e+06  1.52901e+10 1.52907e+10 
7.50026e-03 7.22532e+06  1.57097e+10 1.57104e+10 
7.61215e-03 7.08008e+06  1.61333e+10 1.61338e+10 
7.72389e-03 7.01422e+06  1.65608e+10 1.65612e+10 
7.83552e-03 7.10098e+06  1.69923e+10 1.69928e+10 
7.94702e-03 7.19545e+06  1.74277e+10 1.74284e+10 
8.05837e-03 7.13369e+06  1.78669e+10 1.78675e+10 
8.16958e-03 7.02460e+06  1.83099e+10 1.83103e+10 
8.28066e-03 7.02898e+06  1.87565e+10 1.87570e+10 
8.39162e-03 7.12193e+06  1.92070e+10 1.92075e+10 
8.50246e-03 7.14290e+06  1.96611e+10 1.96616e+10 
8.61315e-03 7.05463e+06  2.01187e+10 2.01192e+10 
8.72370e-03 7.00330e+06  2.05799e+10 2.05803e+10 
8.83414e-03 7.05375e+06  2.10447e+10 2.10451e+10 
8.94445e-03 7.11263e+06  2.15130e+10 2.15135e+10 
9.05464e-03 7.07351e+06  2.19847e+10 2.19852e+10 
9.16468e-03 7.00415e+06  2.24598e+10 2.24602e+10 
9.27461e-03 7.00974e+06  2.29383e+10 2.29387e+10 
9.38442e-03 7.06721e+06  2.34202e+10 2.34206e+10 
9.49411e-03 7.07077e+06  2.39053e+10 2.39058e+10 
9.60367e-03 7.01200e+06  2.43937e+10 2.43942e+10 
9.71310e-03 6.98742e+06  2.48854e+10 2.48858e+10 
9.82242e-03 7.02531e+06  2.53803e+10 2.53807e+10 
9.93162e-03 7.05146e+06  2.58783e+10 2.58788e+10 
1.00000e-02 7.03478e+06  2.61921e+10 2.61925e+10 
