1.64354e-05 1.14366e+06  3.09613e+04 3.09613e+04 
3.28708e-05 1.14495e+06  1.13738e+05 1.15067e+05 
4.93061e-05 1.14911e+06  2.37046e+05 2.42974e+05 
6.57412e-05 1.15814e+06  3.97275e+05 4.13425e+05 
8.21758e-05 1.17411e+06  5.90531e+05 6.24939e+05 
9.86097e-05 1.19881e+06  8.13043e+05 8.75847e+05 
1.15043e-04 1.23348e+06  1.06155e+06 1.16434e+06 
1.31474e-04 1.27857e+06  1.33362e+06 1.48852e+06 
1.47905e-04 1.33357e+06  1.62790e+06 1.84645e+06 
1.64333e-04 1.39698e+06  1.94420e+06 2.23621e+06 
1.80759e-04 1.46636e+06  2.28351e+06 2.65594e+06 
1.97183e-04 1.53847e+06  2.64782e+06 3.10390e+06 
2.13604e-04 1.60956e+06  3.03994e+06 3.57850e+06 
2.30021e-04 1.67564e+06  3.46312e+06 4.07836e+06 
2.46436e-04 1.73282e+06  3.92072e+06 4.60234e+06 
2.62847e-04 1.77768e+06  4.41585e+06 5.14955e+06 
2.79254e-04 1.80750e+06  4.95105e+06 5.71938e+06 
2.95658e-04 1.82056e+06  5.52802e+06 6.31150e+06 
3.12058e-04 1.81620e+06  6.14748e+06 6.92591e+06 
3.28454e-04 1.79494e+06  6.80911e+06 7.56286e+06 
3.44846e-04 1.75835e+06  7.51163e+06 8.22290e+06 
3.61234e-04 1.70890e+06  8.25293e+06 8.90682e+06 
3.77619e-04 1.64978e+06  9.03036e+06 9.61565e+06 
3.94001e-04 1.58455e+06  9.84100e+06 1.03506e+07 
4.10379e-04 1.51686e+06  1.06820e+07 1.11131e+07 
4.26754e-04 1.45017e+06  1.15508e+07 1.19046e+07 
4.43127e-04 1.38749e+06  1.24455e+07 1.27268e+07 
4.59497e-04 1.33114e+06  1.33651e+07 1.35811e+07 
4.75865e-04 1.28271e+06  1.43093e+07 1.44694e+07 
4.92231e-04 1.24294e+06  1.52789e+07 1.53930e+07 
5.08596e-04 1.21183e+06  1.62752e+07 1.63535e+07 
5.24959e-04 1.18874e+06  1.73005e+07 1.73522e+07 
5.41322e-04 1.17256e+06  1.83571e+07 1.83902e+07 
5.57683e-04 1.16194e+06  1.94476e+07 1.94686e+07 
5.74043e-04 1.15549e+06  2.05744e+07 2.05881e+07 
5.90404e-04 1.15199e+06  2.17394e+07 2.17491e+07 
6.06763e-04 1.15058e+06  2.29439e+07 2.29520e+07 
6.23122e-04 1.15082e+06  2.41883e+07 2.41966e+07 
6.39481e-04 1.15275e+06  2.54723e+07 2.54828e+07 
6.55840e-04 1.15688e+06  2.67948e+07 2.68100e+07 
6.72197e-04 1.16406e+06  2.81541e+07 2.81775e+07 
6.88555e-04 1.17535e+06  2.95479e+07 2.95843e+07 
7.04911e-04 1.19184e+06  3.09738e+07 3.10291e+07 
7.21267e-04 1.21445e+06  3.24295e+07 3.25108e+07 
7.37622e-04 1.24375e+06  3.39128e+07 3.40279e+07 
7.53975e-04 1.27983e+06  3.54220e+07 3.55789e+07 
7.70327e-04 1.32218e+06  3.69564e+07 3.71623e+07 
7.86676e-04 1.36966e+06  3.85156e+07 3.87765e+07 
8.03024e-04 1.42057e+06  4.01002e+07 4.04200e+07 
8.19369e-04 1.47270e+06  4.17112e+07 4.20915e+07 
8.35712e-04 1.52352e+06  4.33505e+07 4.37897e+07 
8.52052e-04 1.57039e+06  4.50199e+07 4.55135e+07 
8.68390e-04 1.61074e+06  4.67215e+07 4.72619e+07 
8.84724e-04 1.64230e+06  4.84572e+07 4.90343e+07 
9.01054e-04 1.66328e+06  5.02286e+07 5.08300e+07 
9.17382e-04 1.67254e+06  5.20367e+07 5.26489e+07 
9.33706e-04 1.66966e+06  5.38821e+07 5.44909e+07 
9.50027e-04 1.65497e+06  5.57645e+07 5.63563e+07 
9.66344e-04 1.62950e+06  5.76831e+07 5.82453e+07 
9.82659e-04 1.59490e+06  5.96366e+07 6.01587e+07 
9.98970e-04 1.55325e+06  6.16235e+07 6.20973e+07 
1.01528e-03 1.50695e+06  6.36419e+07 6.40620e+07 
1.03158e-03 1.45843e+06  6.56900e+07 6.60539e+07 
1.04789e-03 1.41003e+06  6.77664e+07 6.80742e+07 
1.06418e-03 1.36382e+06  6.98699e+07 7.01242e+07 
1.08048e-03 1.32145e+06  7.19998e+07 7.22051e+07 
1.09678e-03 1.28408e+06  7.41562e+07 7.43182e+07 
1.11307e-03 1.25237e+06  7.63393e+07 7.64647e+07 
1.12936e-03 1.22650e+06  7.85503e+07 7.86459e+07 
1.14565e-03 1.20623e+06  8.07904e+07 8.08626e+07 
1.16194e-03 1.19104e+06  8.30612e+07 8.31159e+07 
1.17823e-03 1.18022e+06  8.53642e+07 8.54065e+07 
1.19452e-03 1.17305e+06  8.77008e+07 8.77348e+07 
1.21081e-03 1.16887e+06  9.00721e+07 9.01014e+07 
1.22709e-03 1.16723e+06  9.24789e+07 9.25063e+07 
1.24338e-03 1.16791e+06  9.49214e+07 9.49496e+07 
1.25966e-03 1.17095e+06  9.73992e+07 9.74309e+07 
1.27595e-03 1.17664e+06  9.99116e+07 9.99498e+07 
1.29223e-03 1.18542e+06  1.02457e+08 1.02506e+08 
1.30851e-03 1.19785e+06  1.05035e+08 1.05098e+08 
1.32479e-03 1.21441e+06  1.07643e+08 1.07725e+08 
1.34107e-03 1.23547e+06  1.10281e+08 1.10387e+08 
1.35735e-03 1.26113e+06  1.12945e+08 1.13081e+08 
1.37363e-03 1.29116e+06  1.15637e+08 1.15807e+08 
1.38990e-03 1.32494e+06  1.18355e+08 1.18564e+08 
1.40618e-03 1.36150e+06  1.21099e+08 1.21351e+08 
1.42245e-03 1.39950e+06  1.23870e+08 1.24165e+08 
1.43872e-03 1.43734e+06  1.26668e+08 1.27007e+08 
1.45498e-03 1.47326e+06  1.29494e+08 1.29875e+08 
1.47125e-03 1.50548e+06  1.32350e+08 1.32768e+08 
1.48751e-03 1.53233e+06  1.35237e+08 1.35686e+08 
1.50377e-03 1.55241e+06  1.38155e+08 1.38628e+08 
1.52002e-03 1.56466e+06  1.41107e+08 1.41594e+08 
1.53628e-03 1.56847e+06  1.44092e+08 1.44584e+08 
1.55253e-03 1.56374e+06  1.47110e+08 1.47597e+08 
1.56877e-03 1.55083e+06  1.50162e+08 1.50633e+08 
1.58502e-03 1.53057e+06  1.53247e+08 1.53694e+08 
1.60126e-03 1.50419e+06  1.56363e+08 1.56780e+08 
1.61750e-03 1.47315e+06  1.59510e+08 1.59891e+08 
1.63373e-03 1.43908e+06  1.62687e+08 1.63028e+08 
1.64997e-03 1.40366e+06  1.65892e+08 1.66193e+08 
1.66620e-03 1.36842e+06  1.69125e+08 1.69385e+08 
1.68242e-03 1.33473e+06  1.72386e+08 1.72606e+08 
1.69865e-03 1.30368e+06  1.75673e+08 1.75858e+08 
1.71487e-03 1.27604e+06  1.78987e+08 1.79140e+08 
1.73110e-03 1.25228e+06  1.82329e+08 1.82455e+08 
1.74732e-03 1.23254e+06  1.85699e+08 1.85802e+08 
1.76354e-03 1.21675e+06  1.89098e+08 1.89183e+08 
