
                  X           A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 
                1.34831E-03       -6.38225E+03       -3.19118E+03        0.                 0.               114.238E-06          0.                 0.                 0.                 5.42804E+06       60.9156E+03         0.                 5.42804E+06       31.6425E+03         5.46172E+06       58.8839E+03        -1.95739E-03        6.7189E-03         6.7189E-03         0.                 0.                 0.               407.175E+06          0.                23.0787E+06         1.34429E+09        1.35798E+09        0.                -1.95548E-03     -977.739E-06          6.74157E-03        0.              -750.342E-03       -375.13E-03           5.                 0.         
                1.46067E-03       -9.4483E+03        -4.72428E+03        0.                 0.              -228.404E-06          0.                 0.                 0.                 6.37023E+06       70.0344E+03         0.                 6.37023E+06       34.6633E+03         6.41615E+06       58.7782E+03        -2.08225E-03        7.27682E-03        7.27682E-03        0.                 0.                 0.               442.269E+06          0.                39.6292E+06         1.45595E+09        1.47946E+09        0.                -2.08007E-03       -1.04003E-03        7.30337E-03        0.                -1.6397          -819.819E-03          5.                 0.         
                1.57303E-03       -2.33188E+03       -1.16671E+03        0.                 0.              -114.204E-06          0.                 0.                 0.                 7.38044E+06       81.2236E+03         0.                 7.38044E+06       36.1656E+03         7.4413E+06        56.5287E+03        -2.32663E-03        7.83442E-03        7.83442E-03        0.                 0.                 0.               470.118E+06          0.                 9.8824E+06         1.56754E+09        1.5734E+09         0.                -2.32395E-03       -1.16197E-03        7.86517E-03        0.                -2.30151           -1.15077            5.                 0.         
                1.68539E-03        6.70799E+03        3.35428E+03        0.                 0.                 5.14046E-09        0.                 0.                 0.                 8.47122E+06       76.627E+03          0.                 8.47122E+06       37.4881E+03         8.52779E+06       57.5373E+03        -2.60065E-03        8.39172E-03        8.39166E-03        0.                 0.                 0.               496.858E+06          0.               -31.3459E+06         1.67914E+09        1.66055E+09        0.                -2.59726E-03       -1.29863E-03        8.42697E-03        0.                -2.05566           -1.02788            5.                 0.         
                1.79775E-03        8.01142E+03        4.0064E+03         0.                 0.               685.482E-06          0.                 0.                 0.                 9.6356E+06        64.9757E+03         0.                 9.6356E+06        39.0429E+03         9.68073E+06       58.8877E+03        -2.78979E-03        8.94858E-03        8.94858E-03        0.                 0.                 0.               529.254E+06          0.               -39.7934E+06         1.79059E+09        1.76706E+09        0.                -2.78589E-03       -1.39295E-03        8.98877E-03        0.                -1.22873         -614.356E-03          5.                 0.         
                1.91011E-03      773.765            386.298              0.                 0.              -114.162E-06          0.                 0.                 0.                10.8688E+06        60.8182E+03         0.                10.8688E+06        41.8737E+03        10.9131E+06        58.332E+03         -2.8775E-03         9.50525E-03        9.50525E-03        0.                 0.                 0.               567.592E+06          0.                -8.98874E+06        1.90206E+09        1.89673E+09        0.                -2.87338E-03       -1.43669E-03        9.55056E-03        0.              -735.176E-03       -367.575E-03          5.                 0.         
                2.02247E-03       -6.731E+03         -3.36589E+03        0.                 0.               457.49E-06           0.                 0.                 0.                12.1815E+06        63.4105E+03         0.                12.1815E+06        45.4119E+03        12.2316E+06        58.7617E+03        -2.95545E-03       10.0616E-03        10.0616E-03         0.                 0.                 0.               605.818E+06          0.                25.6139E+06         2.01349E+09        2.02859E+09        0.                -2.9511E-03        -1.47555E-03       10.1124E-03         0.                -1.06985         -534.967E-03          5.                 0.         
                2.13483E-03       -6.54444E+03       -3.2721E+03         0.                 0.               343.487E-06          0.                 0.                 0.                13.5671E+06        72.6448E+03         0.                13.5671E+06        47.7534E+03        13.6296E+06        57.8919E+03        -3.11866E-03       10.6176E-03        10.6176E-03         0.                 0.                 0.               638.386E+06          0.                27.1479E+06         2.12478E+09        2.14082E+09        0.                -3.1138E-03        -1.55691E-03       10.6742E-03         0.                -1.81566         -907.888E-03          5.                 0.         
                2.24719E-03      560.214            281.25               0.                 0.                43.5684E-09         0.                 0.                 0.                15.0245E+06        78.3666E+03         0.                15.0245E+06        49.1977E+03        15.0953E+06        56.7509E+03        -3.36479E-03       11.1733E-03        11.1733E-03         0.                 0.                 0.               666.128E+06          0.                -3.50816E+06        2.2361E+09         2.23401E+09        0.                -3.35912E-03       -1.67957E-03       11.236E-03          0.                -2.15186           -1.07591            5.                 0.         
                2.35955E-03        6.546E+03          3.27308E+03        0.                 0.               114.46E-06           0.                 0.                 0.                16.5602E+06        71.6775E+03         0.                16.5602E+06        50.586E+03         16.6245E+06        57.9927E+03        -3.60386E-03       11.7287E-03        11.7287E-03         0.                 0.                 0.               694.862E+06          0.               -31.4827E+06         2.34731E+09        2.32877E+09        0.                -3.59736E-03       -1.79869E-03       11.7978E-03         0.                -1.75263         -876.232E-03          5.                 0.         
