
                  X           A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 
                4.94382E-03        2.83861E+03        1.41935E+03        0.                 0.               172.485E-06          0.                 0.                 0.                72.0108E+06        67.6428E+03         0.                72.0108E+06        98.1554E+03        72.1186E+06        57.9939E+03        -7.38228E-03       24.4185E-03        24.4185E-03         0.                 0.                 0.                 1.44249E+09        0.               -15.6425E+06         4.89112E+09        4.88206E+09        0.                -7.35506E-03       -3.67756E-03       24.7191E-03         0.                -1.46004         -729.909E-03          5.                 0.         
                5.05618E-03        1.08839E+03      544.344              0.                 0.              -459.876E-06          0.                 0.                 0.                75.2903E+06        65.0887E+03         0.                75.2903E+06       100.234E+03         75.3975E+06        58.1277E+03        -7.52951E-03       24.9667E-03        24.9667E-03         0.                 0.                 0.                 1.4757E+09         0.                -8.6071E+06         5.00107E+09        4.9961E+09         0.                -7.50119E-03       -3.75061E-03       25.2809E-03         0.                -1.23942         -619.589E-03          5.                 0.         
                5.16854E-03       -1.6966E+03      -848.531              0.                 0.                 0.                 0.                 0.                 0.                78.6418E+06        65.4578E+03         0.                78.6418E+06       102.596E+03         78.7517E+06        58.1238E+03        -7.66287E-03       25.5144E-03        25.5144E-03         0.                 0.                 0.                 1.50952E+09        0.                 3.81222E+06        5.111E+09          5.11318E+09        0.                -7.63358E-03       -3.81679E-03       25.8427E-03         0.                -1.27359         -636.678E-03          5.                 0.         
                5.2809E-03        -2.41655E+03       -1.2099E+03         0.                 0.                 1.38069E-03        0.                 0.                 0.                82.0651E+06        68.2139E+03         0.                82.0651E+06       104.763E+03         82.1801E+06        57.9249E+03        -7.81786E-03       26.0619E-03        26.0619E-03         0.                 0.                 0.                 1.54179E+09        0.                 7.74306E+06        5.22086E+09        5.22533E+09        0.                -7.78739E-03       -3.89369E-03       26.4045E-03         0.                -1.50467         -752.321E-03          5.                 0.         
                5.39326E-03     -445.008           -222.274              0.                 0.                -1.38069E-03        0.                 0.                 0.                85.5597E+06        70.4015E+03         0.                85.5597E+06       106.567E+03         85.679E+06         57.6504E+03        -8.00365E-03       26.6091E-03        26.6092E-03         0.                 0.                 0.                 1.57217E+09        0.              -450.368E+03          5.3307E+09         5.33044E+09        0.                -7.97171E-03       -3.98585E-03       26.9663E-03         0.                -1.66543         -832.78E-03           5.                 0.         
                5.50562E-03        1.87084E+03      935.926              0.                 0.                 0.                 0.                 0.                 0.                89.1261E+06        69.2827E+03         0.                89.1261E+06       108.248E+03         89.2458E+06        57.8094E+03        -8.19515E-03       27.156E-03         27.156E-03          0.                 0.                 0.                 1.60234E+09        0.               -10.9226E+06         5.44046E+09        5.43418E+09        0.                -8.16165E-03       -4.08083E-03       27.5281E-03         0.                -1.58532         -792.687E-03          5.                 0.         
                5.61798E-03        1.97264E+03      986.67               0.                 0.                 0.                 0.                 0.                 0.                92.7637E+06        66.5437E+03         0.                92.7637E+06       110.098E+03         92.8822E+06        58.0713E+03        -8.36283E-03       27.7026E-03        27.7026E-03         0.                 0.                 0.                 1.63406E+09        0.               -12.0572E+06         5.55019E+09        5.54325E+09        0.                -8.32796E-03       -4.16399E-03       28.0899E-03         0.                -1.3694          -684.676E-03          5.                 0.         
                5.73034E-03      -72.4393           -35.6393             0.                 0.                 1.72781E-03        0.                 0.                 0.                96.4721E+06        65.3369E+03         0.                96.4721E+06       112.264E+03         96.5915E+06        58.1274E+03        -8.50543E-03       28.2489E-03        28.2489E-03         0.                 0.                 0.                 1.66721E+09        0.                -3.37854E+06        5.65984E+09        5.65792E+09        0.                -8.46938E-03       -4.23469E-03       28.6517E-03         0.                -1.26265         -631.247E-03          5.                 0.         
                5.8427E-03        -1.87502E+03     -937.665              0.                 0.                -1.3814E-03         0.                 0.                 0.               100.252E+06         66.5729E+03         0.               100.252E+06        114.511E+03        100.375E+06         58.0687E+03        -8.64897E-03       28.7948E-03        28.795E-03          0.                 0.                 0.                 1.70009E+09        0.                 4.92438E+06        5.76947E+09        5.77232E+09        0.                -8.6117E-03        -4.30584E-03       29.2135E-03         0.                -1.37205         -685.928E-03          5.                 0.         
                5.95506E-03       -1.4759E+03      -739.161              0.                 0.              -460.53E-06           0.                 0.                 0.               104.103E+06         68.9431E+03         0.               104.103E+06        116.501E+03        104.231E+06         57.8372E+03        -8.8164E-03        29.3406E-03        29.3406E-03         0.                 0.                 0.                 1.73136E+09        0.                 3.78246E+06        5.87906E+09        5.88122E+09        0.                -8.7777E-03        -4.38883E-03       29.7753E-03         0.                -1.56031         -780.131E-03          5.                 0.         
                6.06742E-03      513.721            255.742              0.                 0.                 1.03694E-03        0.                 0.                 0.               108.025E+06         69.6833E+03         0.               108.025E+06        118.254E+03        108.155E+06         57.7438E+03        -9.00271E-03       29.886E-03         29.886E-03          0.                 0.                 0.                 1.76153E+09        0.                -4.80166E+06        5.98857E+09        5.98582E+09        0.                -8.96234E-03       -4.48115E-03       30.3371E-03         0.                -1.61436         -807.29E-03           5.                 0.         
                6.17978E-03        1.79264E+03      896.38               0.                 0.              -115.151E-06          0.                 0.                 0.               112.018E+06         67.9625E+03         0.               112.018E+06        120.008E+03        112.148E+06         57.9641E+03        -9.18252E-03       30.4312E-03        30.4312E-03         0.                 0.                 0.                 1.79223E+09        0.               -10.8495E+06         6.09805E+09        6.09186E+09        0.                -9.14048E-03       -4.57024E-03       30.8989E-03         0.                -1.48479         -742.564E-03          5.                 0.         
                6.29213E-03        1.02648E+03      513.821              0.                 0.              -518.65E-06           0.                 0.                 0.               116.082E+06         66.0515E+03         0.               116.082E+06        121.975E+03        116.212E+06         58.1055E+03        -9.33951E-03       30.9759E-03        30.9759E-03         0.                 0.                 0.                 1.82431E+09        0.                -7.98725E+06        6.20745E+09        6.2029E+09         0.                -9.296E-03         -4.64802E-03       31.4607E-03         0.                -1.32641         -663.339E-03          5.                 0.         
                6.40449E-03     -801.963           -399.822              0.                 0.                29.584E-09          0.                 0.                 0.               120.216E+06         65.9062E+03         0.               120.216E+06        124.149E+03        120.348E+06         58.1168E+03        -9.48343E-03       31.5204E-03        31.5205E-03         0.                 0.                 0.                 1.85705E+09        0.                14.016E+03          6.31685E+09        6.31685E+09        0.                -9.43855E-03       -4.71931E-03       32.0225E-03         0.                -1.3138          -656.935E-03          5.                 0.         
                6.51685E-03       -1.59951E+03     -799.175              0.                 0.              -576.501E-06          0.                 0.                 0.               124.421E+06         67.5024E+03         0.               124.421E+06        126.258E+03        124.557E+06         58.0066E+03        -9.63757E-03       32.0647E-03        32.0647E-03         0.                 0.                 0.                 1.88899E+09        0.                 3.9625E+06         6.42617E+09        6.42843E+09        0.                -9.59123E-03       -4.79564E-03       32.5843E-03         0.                -1.44872         -724.294E-03          5.                 0.         
                6.62921E-03     -571.766           -285.351              0.                 0.              -634.248E-06          0.                 0.                 0.               128.697E+06         69.0807E+03         0.               128.697E+06        128.135E+03        128.836E+06         57.8268E+03        -9.81212E-03       32.6085E-03        32.6086E-03         0.                 0.                 0.                 1.91962E+09        0.              -154.432E+03          6.53542E+09        6.53535E+09        0.                -9.76411E-03       -4.88207E-03       33.1461E-03         0.                -1.5707          -785.222E-03          5.                 0.         
                6.74157E-03        1.0134E+03       506.738              0.                 0.               922.966E-06          0.                 0.                 0.               133.043E+06         68.7486E+03         0.               133.043E+06        129.891E+03        133.184E+06         57.877E+03         -9.99397E-03       33.1522E-03        33.1522E-03         0.                 0.                 0.                 1.94988E+09        0.                -7.18992E+06        6.64467E+09        6.64056E+09        0.                -9.9442E-03        -4.9721E-03        33.7079E-03         0.                -1.54589         -772.785E-03          5.                 0.         
                6.85393E-03        1.36834E+03      683.676              0.                 0.                 1.0385E-03         0.                 0.                 0.               137.46E+06          67.051E+03          0.               137.46E+06         131.732E+03        137.601E+06         58.0607E+03       -10.1629E-03        33.6956E-03        33.6956E-03         0.                 0.                 0.                 1.98099E+09        0.                -9.17146E+06        6.75385E+09        6.74863E+09        0.               -10.1115E-03        -5.05573E-03       34.2697E-03         0.                -1.41208         -705.908E-03          5.                 0.         
                6.96629E-03      200.631             99.2074             0.                 0.               230.849E-06          0.                 0.                 0.               141.947E+06         66.0176E+03         0.               141.947E+06        133.771E+03        142.089E+06         58.1172E+03       -10.3145E-03        34.2385E-03        34.2386E-03         0.                 0.                 0.                 2.0131E+09         0.                -4.3215E+06         6.86295E+09        6.8605E+09         0.               -10.2615E-03        -5.13073E-03       34.8315E-03         0.                -1.32394         -661.925E-03          5.                 0.         
                7.07865E-03       -1.09283E+03     -546.738              0.                 0.               -57.6982E-06         0.                 0.                 0.               146.504E+06         66.5996E+03         0.               146.504E+06        135.894E+03        146.649E+06         58.0857E+03       -10.4635E-03        34.7813E-03        34.7813E-03         0.                 0.                 0.                 2.04523E+09        0.                 1.51354E+06        6.97205E+09        6.9729E+09         0.               -10.409E-03         -5.20448E-03       35.3933E-03         0.                -1.37406         -687.068E-03          5.                 0.         
                7.19101E-03       -1.06576E+03     -533.064              0.                 0.              -230.906E-06          0.                 0.                 0.               151.132E+06         68.0939E+03         0.               151.132E+06        137.881E+03        151.28E+06          57.9664E+03       -10.6265E-03        35.3238E-03        35.3238E-03         0.                 0.                 0.                 2.07637E+09        0.                 1.78864E+06        7.08107E+09        7.0821E+09         0.               -10.5703E-03        -5.28513E-03       35.9551E-03         0.                -1.49533         -747.731E-03          5.                 0.         
                7.30337E-03      142.157             70.1286             0.                 0.               895.123E-06          0.                 0.                 0.               155.829E+06         68.7732E+03         0.               155.829E+06        139.699E+03        155.98E+06          57.8986E+03       -10.8032E-03        35.866E-03         35.8659E-03         0.                 0.                 0.                 2.10669E+09        0.                -3.32909E+06        7.19004E+09        7.18817E+09        0.               -10.745E-03         -5.37251E-03       36.5168E-03         0.                -1.54722         -773.738E-03          5.                 0.         
                7.41573E-03        1.11523E+03      557.965              0.                 0.              -923.888E-06          0.                 0.                 0.               160.597E+06         67.8577E+03         0.               160.597E+06        141.493E+03        160.748E+06         58.0064E+03       -10.978E-03         36.4077E-03        36.4077E-03         0.                 0.                 0.                 2.13716E+09        0.                -7.81898E+06        7.29896E+09        7.29454E+09        0.               -10.918E-03         -5.459E-03         37.0786E-03         0.                -1.47658         -738.452E-03          5.                 0.         
                7.52809E-03      783.383            392.526              0.                 0.                25.4513E-09         0.                 0.                 0.               165.434E+06         66.5536E+03         0.               165.434E+06        143.412E+03        165.586E+06         58.1183E+03       -11.1387E-03        36.9493E-03        36.9493E-03         0.                 0.                 0.                 2.16852E+09        0.                -6.70899E+06        7.40788E+09        7.40406E+09        0.               -11.0769E-03        -5.53845E-03       37.6404E-03         0.                -1.36992         -685.054E-03          5.                 0.         
                7.64045E-03     -385.27            -191.948              0.                 0.              -115.52E-06           0.                 0.                 0.               170.341E+06         66.2908E+03         0.               170.341E+06        145.473E+03        170.495E+06         58.1479E+03       -11.2894E-03        37.4906E-03        37.4906E-03         0.                 0.                 0.                 2.20039E+09        0.                -1.6608E+06         7.5167E+09         7.51575E+09        0.               -11.2258E-03        -5.61295E-03       38.2022E-03         0.                -1.34755         -673.785E-03          5.                 0.         
                7.75281E-03       -1.02466E+03     -511.615              0.                 0.                 2.0231E-03         0.                 0.                 0.               175.318E+06         67.2317E+03         0.               175.318E+06        147.514E+03        175.475E+06         58.0805E+03       -11.445E-03         38.0315E-03        38.0316E-03         0.                 0.                 0.                 2.23182E+09        0.                 1.39408E+06        7.62546E+09        7.62626E+09        0.               -11.3797E-03        -5.68986E-03       38.764E-03          0.                -1.42676         -713.311E-03          5.                 0.         
                7.86517E-03     -467.983           -233.83               0.                 0.              -520.078E-06          0.                 0.                 0.               180.365E+06         68.2867E+03         0.               180.365E+06        149.412E+03        180.524E+06         57.9789E+03       -11.6137E-03        38.5723E-03        38.5723E-03         0.                 0.                 0.                 2.2624E+09         0.              -763.776E+03          7.73424E+09        7.73377E+09        0.               -11.5465E-03        -5.77324E-03       39.3258E-03         0.                -1.51062         -755.19E-03           5.                 0.         
                7.97753E-03      569.505            284.504              0.                 0.              -925.073E-06          0.                 0.                 0.               185.481E+06         68.2125E+03         0.               185.481E+06        151.217E+03        185.642E+06         57.9874E+03       -11.7884E-03        39.1127E-03        39.1127E-03         0.                 0.                 0.                 2.29263E+09        0.                -5.31264E+06        7.84291E+09        7.8399E+09         0.               -11.7191E-03        -5.85957E-03       39.8876E-03         0.                -1.50491         -752.344E-03          5.                 0.         
                8.08989E-03      905.331            452.191              0.                 0.                -1.27198E-03        0.                 0.                 0.               190.667E+06         67.1731E+03         0.               190.667E+06        153.064E+03        190.829E+06         58.0927E+03       -11.9558E-03        39.6527E-03        39.6527E-03         0.                 0.                 0.                 2.32334E+09        0.                -7.03987E+06        7.95153E+09        7.94756E+09        0.               -11.8846E-03        -5.94231E-03       40.4494E-03         0.                -1.42206         -710.956E-03          5.                 0.         
                8.20225E-03      214.371            106.843              0.                 0.              -115.671E-06          0.                 0.                 0.               195.922E+06         66.4239E+03         0.               195.922E+06        155.036E+03        196.085E+06         58.1489E+03       -12.1117E-03        40.1926E-03        40.1926E-03         0.                 0.                 0.                 2.35471E+09        0.                -4.21651E+06        8.06011E+09        8.05774E+09        0.               -12.0387E-03        -6.01933E-03       41.0112E-03         0.                -1.35915         -679.55E-03           5.                 0.         
                8.31461E-03     -652.264           -326.948              0.                 0.                 1.73586E-03        0.                 0.                 0.               201.246E+06         66.7153E+03         0.               201.246E+06        157.071E+03        201.412E+06         58.1406E+03       -12.2649E-03        40.7321E-03        40.7321E-03         0.                 0.                 0.                 2.38614E+09        0.              -340.864E+03          8.16867E+09        8.16848E+09        0.               -12.1901E-03        -6.09501E-03       41.573E-03          0.                -1.38375         -691.915E-03          5.                 0.         
                8.42697E-03     -707.142           -354.389              0.                 0.              -405.035E-06          0.                 0.                 0.               206.64E+06          67.6494E+03         0.               206.64E+06         159.029E+03        206.809E+06         58.0571E+03       -12.4265E-03        41.2713E-03        41.2713E-03         0.                 0.                 0.                 2.41695E+09        0.               148.192E+03          8.27715E+09        8.27724E+09        0.               -12.3497E-03        -6.17482E-03       42.1348E-03         0.                -1.46012         -730.193E-03          5.                 0.         
                8.53933E-03       32.5609            17.4051             0.                 0.                68.6559E-09         0.                 0.                 0.               212.103E+06         68.1299E+03         0.               212.103E+06        160.876E+03        212.274E+06         58.0186E+03       -12.5972E-03        41.8102E-03        41.8102E-03         0.                 0.                 0.                 2.44719E+09        0.                -2.96678E+06        8.38563E+09        8.38394E+09        0.               -12.5182E-03        -6.2591E-03        42.6966E-03         0.                -1.49802         -749.124E-03          5.                 0.         
                8.65168E-03      687.919            345.601              0.                 0.               318.448E-06          0.                 0.                 0.               217.635E+06         67.6138E+03         0.               217.635E+06        162.698E+03        217.807E+06         58.0891E+03       -12.7675E-03        42.3489E-03        42.3489E-03         0.                 0.                 0.                 2.47749E+09        0.                -5.95482E+06        8.494E+09          8.49068E+09        0.               -12.6863E-03        -6.34316E-03       43.2584E-03         0.                -1.45754         -728.731E-03          5.                 0.         
                8.76405E-03      533.259            266.221              0.                 0.                -1.70803E-03        0.                 0.                 0.               223.236E+06         66.7745E+03         0.               223.236E+06        164.597E+03        223.409E+06         58.1454E+03       -12.929E-03         42.8873E-03        42.8873E-03         0.                 0.                 0.                 2.50831E+09        0.                -5.48918E+06        8.60237E+09        8.59929E+09        0.               -12.8457E-03        -6.42286E-03       43.8202E-03         0.                -1.38894         -694.359E-03          5.                 0.         
                8.8764E-03      -196.241            -99.0329             0.                 0.              -231.627E-06          0.                 0.                 0.               228.906E+06         66.5507E+03         0.               228.906E+06        166.585E+03        229.081E+06         58.1645E+03       -13.0836E-03        43.4253E-03        43.4253E-03         0.                 0.                 0.                 2.53947E+09        0.                -2.36339E+06        8.71064E+09        8.70934E+09        0.               -12.9984E-03        -6.4992E-03        44.382E-03          0.                -1.37001         -684.966E-03          5.                 0.         
                8.98876E-03     -643.441           -323.161              0.                 0.               405.605E-06          0.                 0.                 0.               234.645E+06         67.1165E+03         0.               234.645E+06        168.569E+03        234.822E+06         58.126E+03        -13.2409E-03        43.9631E-03        43.9631E-03         0.                 0.                 0.                 2.57039E+09        0.              -255.296E+03          8.81895E+09        8.81879E+09        0.               -13.1536E-03        -6.57679E-03       44.9438E-03         0.                -1.41718         -708.685E-03          5.                 0.         
                9.10112E-03     -324.482           -161.979              0.                 0.              -231.649E-06          0.                 0.                 0.               240.453E+06         67.7916E+03         0.               240.453E+06        170.463E+03        240.633E+06         58.0712E+03       -13.4064E-03        44.5006E-03        44.5006E-03         0.                 0.                 0.                 2.60074E+09        0.                -1.47056E+06        8.92715E+09        8.92632E+09        0.               -13.3169E-03        -6.65845E-03       45.5056E-03         0.                -1.47156         -735.94E-03           5.                 0.         
                9.21348E-03      343.133            173.162              0.                 0.              -463.471E-06          0.                 0.                 0.               246.329E+06         67.7776E+03         0.               246.329E+06        172.292E+03        246.511E+06         58.0659E+03       -13.576E-03         45.0378E-03        45.0378E-03         0.                 0.                 0.                 2.63083E+09        0.                -4.38029E+06        9.03528E+09        9.03284E+09        0.               -13.4843E-03        -6.74217E-03       46.0674E-03         0.                -1.47051         -735.312E-03          5.                 0.         
                9.32584E-03      583.707            292.573              0.                 0.               -57.8999E-06         0.                 0.                 0.               252.274E+06         67.1311E+03         0.               252.274E+06        174.146E+03        252.457E+06         58.1344E+03       -13.7413E-03        45.5747E-03        45.5747E-03         0.                 0.                 0.                 2.6612E+09         0.                -5.58723E+06        9.1434E+09         9.14029E+09        0.               -13.6473E-03        -6.82369E-03       46.6292E-03         0.                -1.41844         -709.147E-03          5.                 0.         
                9.4382E-03       155.234             77.9357             0.                 0.               695.967E-06          0.                 0.                 0.               258.287E+06         66.6321E+03         0.               258.287E+06        176.078E+03        258.472E+06         58.196E+03        -13.8992E-03        46.1114E-03        46.1114E-03         0.                 0.                 0.                 2.69199E+09        0.                -3.85213E+06        9.25149E+09        9.24934E+09        0.               -13.803E-03         -6.90152E-03       47.191E-03          0.                -1.37693         -688.332E-03          5.                 0.         
                9.55056E-03     -402.418           -201.328              0.                 0.               695.891E-06          0.                 0.                 0.               264.369E+06         66.7961E+03         0.               264.369E+06        178.051E+03        264.556E+06         58.183E+03        -14.055E-03         46.6476E-03        46.6476E-03         0.                 0.                 0.                 2.72281E+09        0.                -1.37574E+06        9.3595E+09         9.35872E+09        0.               -13.9568E-03        -6.97837E-03       47.7528E-03         0.                -1.39081         -695.264E-03          5.                 0.         
                9.66292E-03     -458.592           -229.982              0.                 0.                 1.16007E-03        0.                 0.                 0.               270.52E+06          67.3834E+03         0.               270.52E+06         179.979E+03        270.709E+06         58.1063E+03       -14.2161E-03        47.1837E-03        47.1837E-03         0.                 0.                 0.                 2.75324E+09        0.              -968.32E+03           9.46748E+09        9.46694E+09        0.               -14.1156E-03        -7.05776E-03       48.3146E-03         0.                -1.43918         -719.495E-03          5.                 0.         
                9.77528E-03       20.9572             8.5312             0.                 0.               754.245E-06          0.                 0.                 0.               276.738E+06         67.6923E+03         0.               276.738E+06        181.833E+03        276.93E+06          58.1092E+03       -14.3831E-03        47.7195E-03        47.7195E-03         0.                 0.                 0.                 2.78329E+09        0.                -2.95901E+06        9.5754E+09         9.57377E+09        0.               -14.2802E-03        -7.14006E-03       48.8764E-03         0.                -1.46377         -731.936E-03          5.                 0.         
                9.88764E-03      445.216            222.368              0.                 0.              -116.043E-06          0.                 0.                 0.               283.025E+06         67.3689E+03         0.               283.025E+06        183.669E+03        283.218E+06         58.1347E+03       -14.5498E-03        48.255E-03         48.2549E-03         0.                 0.                 0.                 2.81334E+09        0.                -4.89168E+06        9.68329E+09        9.68057E+09        0.               -14.4445E-03        -7.22224E-03       49.4382E-03         0.                -1.43758         -718.964E-03          5.                 0.         
               10.E-03           344.9              172.723              0.                 0.                 0.                 0.                 0.                 0.               289.38E+06          66.8301E+03         0.               289.38E+06         185.555E+03        289.574E+06         58.2052E+03       -14.7109E-03        48.7901E-03        48.7901E-03         0.                 0.                 0.                 2.84372E+09        0.                -4.59802E+06        9.79111E+09        9.78857E+09        0.               -14.6032E-03        -7.30162E-03       50.E-03             0.                -1.39319         -696.768E-03          5.                 0.         




