
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS   RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  :S22 PI: HOST-1   S:S22 PI: TRUSS-1    U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 
                  X                 : 1                N: 1               : 1                N: 1                -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid    -1 E: 1 Centroid          N: 1              1 N: 1              N: 1              1 N: 1         E: 1 Centroid       E: 1 Centroid    E: 1 Centroid       E: 1 Centroid            : 1                N: 1               : 1                N: 1               : 1                N: 1               : 1                N: 1      
																																																																																																																																								
                0.                -2.08545E+03       -1.04273E+03        0.                 0.                 0.                 0.                 0.                 0.                 0.                55.6111E+03         0.                 0.                 0.                 0.                55.6111E+03         0.                 0.                 0.                 0.                  0.                 0.                 2.43998E+06        0.                 0.                 0.                0.                 0.                   0.                 0.                 0.                 0.                 0.                 0.                 5.                 0.         
               61.3497E-06        -8.89267E+03       -4.44633E+03        0.                 0.                 0.                 0.                 0.                 0.                14.2702E+03        56.0976E+03         0.                14.2702E+03         2.73476E+03       17.2086E+03        55.894E+03         -3.99352E-06      306.678E-06        306.678E-06          0.                  0.                 0.                25.61E+06           0.                33.8737E+06        61.3405E+06       81.6551E+06         0.                  -3.9246E-06        -1.9623E-06       306.748E-06          0.              -336.752E-03       -168.376E-03          5.                 0.         
              122.699E-06        -13.0116E+03        -6.5058E+03         0.                 0.                 0.                 0.                 0.                 0.                52.9676E+03        59.9758E+03         0.                52.9676E+03         4.5685E+03        61.5783E+03        55.9336E+03       -41.3367E-06       613.263E-06        613.337E-06          0.                  0.                 0.                46.7127E+06         0.                54.8629E+06       122.662E+06       155.561E+06          0.                 -41.3193E-06       -20.6596E-06       613.497E-06          0.                -1.00866         -504.331E-03          5.                 0.         
              184.049E-06        -12.9293E+03        -6.46466E+03        0.                 0.                 0.                 0.                 0.                 0.               109.996E+03         69.5787E+03         0.               109.996E+03          5.44322E+03      129.975E+03         55.0428E+03      -127.681E-06        919.872E-06        919.813E-06          0.                  0.                 0.                64.7738E+06         0.                57.0019E+06       183.997E+06       218.137E+06          0.                -127.687E-06        -63.8434E-06       920.245E-06          0.                -1.8044          -902.198E-03          5.                 0.         
              245.399E-06         -8.8422E+03        -4.4211E+03         0.                 0.                 0.                 0.                 0.                 0.               184.727E+03         81.8314E+03         0.               184.727E+03          5.76501E+03      218.797E+03         53.5257E+03      -262.772E-06          1.22627E-03        1.2263E-03         0.                  0.                 0.                80.0067E+06         0.                40.404E+06        245.247E+06       269.453E+06          0.                -262.718E-06       -131.359E-06          1.22699E-03        0.                -2.47223           -1.23612            5.                 0.         
              306.748E-06         -2.1802E+03        -1.0901E+03         0.                 0.                 0.                 0.                 0.                 0.               282.237E+03         89.4937E+03         0.               282.237E+03          6.0047E+03       325.243E+03         52.4923E+03      -431.094E-06          1.53257E-03        1.53257E-03        0.                  0.                 0.                93.4993E+06         0.                10.981E+06        306.527E+06       313.055E+06          0.                -431.029E-06       -215.514E-06          1.53374E-03        0.                -2.81035           -1.40517            5.                 0.         
              368.098E-06          4.8864E+03         2.4432E+03         0.                 0.                 0.                 0.                 0.                 0.               407.066E+03         87.5216E+03         0.               407.066E+03          6.29382E+03      448.14E+03          52.7414E+03      -607.735E-06          1.83878E-03        1.83878E-03        0.                  0.                 0.               106.824E+06          0.               -21.6223E+06       367.792E+06       354.73E+06           0.                -607.545E-06       -303.773E-06          1.84049E-03        0.                -2.72733           -1.36367            5.                 0.         
              429.448E-06         10.1501E+03         5.07507E+03        0.                 0.                 0.                 0.                 0.                 0.               558.027E+03         77.641E+03          0.               558.027E+03          6.54331E+03      588.238E+03         53.9725E+03      -765.99E-06           2.1449E-03         2.14497E-03        0.                  0.                 0.               121.536E+06          0.               -47.1681E+06       429.014E+06       400.621E+06          0.                -765.671E-06       -382.835E-06          2.14724E-03        0.                -2.26609           -1.13304            5.                 0.         
