
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1   V:V1 PI: HOST-1 N  V:V1 PI: TRUSS-1   V:V2 PI: HOST-1 N  V:V2 PI: TRUSS-1 
                  X                 : 1                N: 1               : 1                N: 1                -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid    -1 E: 1 Centroid         N: 1              1 N: 1              N: 1              1 N: 1         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid       E: 1 Centroid          : 1                N: 1               : 1                N: 1               : 1                N: 1               : 1                N: 1      

                0.                -3.76842E-15       -1.88421E-15        0.                 0.                 0.                 0.                 0.                 0.                 0.                58.5E+03            0.                 0.                 0.                 0.                58.5E+03            0.                 0.                 0.                 0.                 0.                 0.                 4.40905E-12        0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 5.                 0.         
              120.482E-06        -14.8523E+03        -7.42616E+03        0.                 0.                 0.                 0.                 0.                 0.                56.0608E+03        61.9342E+03         0.                56.0608E+03        10.9157E-15        56.0733E+03        61.9217E+03         0.               602.183E-06        602.273E-06          0.                 0.                 0.                46.5409E+06         0.                69.467E+06        120.442E+06        162.09E+06           0.               -27.351E-24        -13.6755E-24       602.41E-06           0.              -894.718E-03       -447.359E-03          5.                 0.         
              240.964E-06        -11.9677E+03        -5.98382E+03        0.                 0.                 0.                 0.                 0.                 0.               182.12E+03          85.5356E+03         0.               182.12E+03          15.0616E-15       209.227E+03         58.4286E+03      -215.613E-06          1.20412E-03        1.20412E-03        0.                 0.                 0.                80.577E+06          0.                55.9533E+06       240.83E+06         274.318E+06          0.              -215.595E-06       -107.797E-06          1.20482E-03        0.                -2.51038           -1.25519            5.                 0.         
              361.446E-06          5.23936E+03        2.61968E+03        0.                 0.                 0.                 0.                 0.                 0.               392.794E+03         94.9705E+03         0.               392.794E+03         17.6537E-15       432.211E+03         55.5533E+03      -605.051E-06          1.80558E-03        1.80558E-03        0.                 0.                 0.               104.5E+06            0.               -24.4908E+06       361.161E+06        346.316E+06          0.              -604.91E-06        -302.455E-06          1.80723E-03        0.                -2.9157            -1.45785            5.                 0.         
              481.928E-06         16.209E+03          8.10448E+03        0.                 0.                 0.                 0.                 0.                 0.               710.027E+03         69.8092E+03         0.               710.027E+03         20.2917E-15       718.057E+03         61.7791E+03      -918.587E-06          2.4068E-03         2.40678E-03        0.                 0.                 0.               132.752E+06          0.               -75.7451E+06       481.41E+06         435.756E+06          0.              -918.172E-06       -459.086E-06          2.40964E-03        0.                -1.62363         -811.815E-03          5.                 0.         
              602.41E-06           7.80736E+03        3.90368E+03        0.                 0.                 0.                 0.                 0.                 0.                 1.08896E+06       58.6342E+03         0.                 1.08896E+06       25.0793E-15         1.08831E+06       59.2833E+03      -996.609E-06          3.00753E-03        3.00747E-03        0.                 0.                 0.               174.562E+06          0.               -36.465E+06        601.598E+06        579.444E+06          0.              -996.146E-06       -498.073E-06          3.01205E-03        0.              -176.864E-03        -88.4319E-03         5.                 0.         
              722.891E-06         -9.94193E+03       -4.97096E+03        0.                 0.                 0.                 0.                 0.                 0.                 1.56806E+06       58.9003E+03         0.                 1.56806E+06       36.5704E-15         1.56718E+06       59.782E+03       -961.274E-06          3.60791E-03        3.60803E-03        0.                 0.                 0.               222.899E+06          0.                46.4052E+06       721.693E+06        749.215E+06          0.              -960.79E-06        -480.395E-06          3.61446E-03        0.              -305.453E-03       -152.726E-03          5.                 0.         
              843.373E-06        -15.7909E+03        -7.89544E+03        0.                 0.                 0.                 0.                 0.                 0.                 2.14001E+06       73.2719E+03         0.                 2.14001E+06       43.93E-15           2.15239E+06       60.8908E+03        -1.07036E-03        4.20804E-03        4.208E-03          0.                 0.                 0.               262.827E+06          0.                73.6698E+06       841.792E+06        885.549E+06          0.                -1.06975E-03     -534.875E-06          4.21687E-03        0.                -1.85562         -927.811E-03          5.                 0.         
              963.855E-06         -2.70004E+03       -1.35002E+03        0.                 0.                 0.                 0.                 0.                 0.                 2.77589E+06       96.3297E+03         0.                 2.77589E+06       46.2142E-15         2.8177E+06        54.5199E+03        -1.40894E-03        4.8077E-03         4.8077E-03         0.                 0.                 0.               289.378E+06          0.                12.5933E+06       961.773E+06        968.807E+06          0.                -1.40793E-03     -703.964E-06          4.81928E-03        0.                -2.96953           -1.48477            5.                 0.         
