4.29978e-06 1.20546e-03  1.04205e-06 1.04205e-06 3.32025e-07
4.29994e-02 3.44542e-02  1.69303e+00 1.72090e+00 1.25556e-03
5.00000e-02 2.30004e-02  2.28651e+00 2.30505e+00 1.45141e-03
