4.29978e-06 4.79327e-05  1.23056e-07 1.23056e-07 9.38388e-08
2.70940e-02 2.84084e-04  2.76304e-01 2.76602e-01 2.49856e-04
2.75241e-02 2.68372e-04  2.85381e-01 2.85663e-01 2.52939e-04
2.79541e-02 2.45333e-04  2.94606e-01 2.94871e-01 2.55897e-04
2.83841e-02 2.49268e-04  3.03989e-01 3.04244e-01 2.58868e-04
2.88141e-02 2.60163e-04  3.13530e-01 3.13771e-01 2.61971e-04
2.92442e-02 2.34637e-04  3.23226e-01 3.23443e-01 2.65172e-04
2.96742e-02 2.17463e-04  3.33071e-01 3.33274e-01 2.68465e-04
3.01042e-02 2.32142e-04  3.43070e-01 3.43279e-01 2.71823e-04
3.05343e-02 2.41194e-04  3.53225e-01 3.53443e-01 2.75152e-04
3.09643e-02 2.29380e-04  3.63536e-01 3.63744e-01 2.78495e-04
3.13943e-02 2.06569e-04  3.74005e-01 3.74193e-01 2.81869e-04
3.18244e-02 2.08714e-04  3.84633e-01 3.84816e-01 2.85347e-04
3.22544e-02 2.27913e-04  3.95417e-01 3.95616e-01 2.88847e-04
3.26844e-02 2.28103e-04  4.06368e-01 4.06574e-01 2.92439e-04
3.31145e-02 2.26478e-04  4.17476e-01 4.17689e-01 2.95932e-04
3.35445e-02 2.30780e-04  4.28746e-01 4.28964e-01 2.99412e-04
3.39745e-02 2.29957e-04  4.40179e-01 4.40392e-01 3.02777e-04
3.44046e-02 2.19042e-04  4.51771e-01 4.51968e-01 3.06178e-04
3.48346e-02 2.04853e-04  4.63524e-01 4.63706e-01 3.09541e-04
3.52647e-02 2.13885e-04  4.75435e-01 4.75627e-01 3.12851e-04
3.56947e-02 2.35216e-04  4.87503e-01 4.87717e-01 3.16085e-04
3.61247e-02 2.40661e-04  4.99732e-01 4.99957e-01 3.19200e-04
3.65548e-02 2.36309e-04  5.12117e-01 5.12355e-01 3.22244e-04
3.69848e-02 2.46869e-04  5.24668e-01 5.24923e-01 3.25281e-04
3.74149e-02 2.61080e-04  5.37384e-01 5.37653e-01 3.28296e-04
3.78449e-02 2.51518e-04  5.50267e-01 5.50530e-01 3.31229e-04
3.82749e-02 2.37255e-04  5.63313e-01 5.63562e-01 3.34122e-04
3.87050e-02 2.37422e-04  5.76531e-01 5.76771e-01 3.37099e-04
3.91351e-02 2.39481e-04  5.89917e-01 5.90152e-01 3.40133e-04
3.95651e-02 2.23164e-04  6.03469e-01 6.03691e-01 3.43258e-04
3.99952e-02 2.12073e-04  6.17182e-01 6.17388e-01 3.46499e-04
4.04253e-02 2.14336e-04  6.31058e-01 6.31255e-01 3.49821e-04
4.08553e-02 2.19648e-04  6.45099e-01 6.45291e-01 3.53139e-04
4.12854e-02 2.21387e-04  6.59304e-01 6.59491e-01 3.56523e-04
4.17155e-02 2.10376e-04  6.73677e-01 6.73855e-01 3.60005e-04
4.21455e-02 2.09430e-04  6.88216e-01 6.88398e-01 3.63487e-04
4.25756e-02 2.20656e-04  7.02924e-01 7.03119e-01 3.66917e-04
4.30056e-02 2.19295e-04  7.17802e-01 7.18006e-01 3.70281e-04
4.34357e-02 2.15084e-04  7.32850e-01 7.33057e-01 3.73614e-04
4.38658e-02 2.14657e-04  7.48072e-01 7.48276e-01 3.77006e-04
4.42959e-02 2.25044e-04  7.63464e-01 7.63666e-01 3.80465e-04
4.47259e-02 2.17964e-04  7.79028e-01 7.79222e-01 3.83874e-04
4.51560e-02 2.08030e-04  7.94763e-01 7.94950e-01 3.87269e-04
4.55860e-02 2.11001e-04  8.10668e-01 8.10862e-01 3.90560e-04
4.60161e-02 2.22620e-04  8.26746e-01 8.26957e-01 3.93772e-04
4.64462e-02 2.27820e-04  8.42993e-01 8.43217e-01 3.96950e-04
4.68762e-02 2.30461e-04  8.59413e-01 8.59636e-01 4.00045e-04
4.73063e-02 2.24652e-04  8.76002e-01 8.76224e-01 4.03159e-04
4.77364e-02 2.22889e-04  8.92765e-01 8.92992e-01 4.06242e-04
4.81665e-02 2.33931e-04  9.09702e-01 9.09939e-01 4.09218e-04
4.85965e-02 2.36575e-04  9.26814e-01 9.27055e-01 4.12108e-04
4.90266e-02 2.36738e-04  9.44103e-01 9.44344e-01 4.14953e-04
4.94567e-02 2.40700e-04  9.61569e-01 9.61812e-01 4.17827e-04
4.98868e-02 2.34674e-04  9.79218e-01 9.79453e-01 4.20784e-04
5.03169e-02 2.28646e-04  9.97042e-01 9.97259e-01 4.23849e-04
5.07469e-02 2.14533e-04  1.01504e+00 1.01524e+00 4.27006e-04
5.11770e-02 1.97280e-04  1.03322e+00 1.03340e+00 4.30276e-04
5.16071e-02 2.04677e-04  1.05156e+00 1.05175e+00 4.33609e-04
5.20372e-02 2.04039e-04  1.07009e+00 1.07027e+00 4.37015e-04
5.24672e-02 2.10918e-04  1.08880e+00 1.08898e+00 4.40456e-04
5.28973e-02 2.01330e-04  1.10768e+00 1.10786e+00 4.43956e-04
5.33274e-02 2.07475e-04  1.12675e+00 1.12693e+00 4.47477e-04
5.37575e-02 2.05276e-04  1.14599e+00 1.14618e+00 4.51031e-04
5.41876e-02 2.06031e-04  1.16542e+00 1.16560e+00 4.54548e-04
5.46177e-02 1.99420e-04  1.18503e+00 1.18521e+00 4.58017e-04
5.50478e-02 2.00767e-04  1.20482e+00 1.20501e+00 4.61394e-04
5.54778e-02 2.11713e-04  1.22480e+00 1.22499e+00 4.64722e-04
5.59079e-02 2.09142e-04  1.24496e+00 1.24515e+00 4.68015e-04
5.63380e-02 2.02914e-04  1.26530e+00 1.26549e+00 4.71273e-04
5.67681e-02 2.04701e-04  1.28583e+00 1.28602e+00 4.74513e-04
5.71982e-02 2.19586e-04  1.30653e+00 1.30673e+00 4.77748e-04
5.76283e-02 2.23729e-04  1.32742e+00 1.32763e+00 4.80911e-04
5.80584e-02 2.23436e-04  1.34849e+00 1.34872e+00 4.83985e-04
5.84885e-02 2.34122e-04  1.36975e+00 1.36999e+00 4.86962e-04
5.89186e-02 2.36570e-04  1.39120e+00 1.39143e+00 4.89886e-04
5.93487e-02 2.24746e-04  1.41284e+00 1.41307e+00 4.92783e-04
5.97788e-02 2.25655e-04  1.43466e+00 1.43489e+00 4.95726e-04
6.02089e-02 2.22049e-04  1.45668e+00 1.45690e+00 4.98707e-04
6.06390e-02 2.22816e-04  1.47888e+00 1.47909e+00 5.01757e-04
6.10690e-02 2.16585e-04  1.50127e+00 1.50148e+00 5.04844e-04
6.14991e-02 2.09961e-04  1.52385e+00 1.52404e+00 5.08002e-04
6.19292e-02 2.07737e-04  1.54662e+00 1.54681e+00 5.11213e-04
6.23594e-02 2.10533e-04  1.56957e+00 1.56976e+00 5.14463e-04
6.27895e-02 2.09711e-04  1.59272e+00 1.59291e+00 5.17760e-04
6.32196e-02 2.05623e-04  1.61606e+00 1.61624e+00 5.21149e-04
6.36497e-02 2.01035e-04  1.63959e+00 1.63976e+00 5.24554e-04
6.40797e-02 2.01695e-04  1.66331e+00 1.66348e+00 5.27981e-04
6.45098e-02 2.04822e-04  1.68723e+00 1.68740e+00 5.31418e-04
6.49399e-02 2.05359e-04  1.71134e+00 1.71151e+00 5.34907e-04
6.53701e-02 2.05534e-04  1.73564e+00 1.73582e+00 5.38423e-04
6.58002e-02 1.97811e-04  1.76014e+00 1.76032e+00 5.41996e-04
6.62303e-02 2.00002e-04  1.78484e+00 1.78501e+00 5.45516e-04
6.66604e-02 1.98301e-04  1.80973e+00 1.80991e+00 5.48974e-04
6.70905e-02 2.01823e-04  1.83482e+00 1.83500e+00 5.52349e-04
6.75206e-02 2.08518e-04  1.86011e+00 1.86029e+00 5.55670e-04
6.79507e-02 2.04754e-04  1.88560e+00 1.88578e+00 5.58930e-04
6.83808e-02 2.05209e-04  1.91128e+00 1.91147e+00 5.62142e-04
6.88110e-02 2.08972e-04  1.93715e+00 1.93735e+00 5.65303e-04
6.92411e-02 2.19028e-04  1.96322e+00 1.96344e+00 5.68438e-04
6.96712e-02 2.17697e-04  1.98950e+00 1.98971e+00 5.71436e-04
7.01013e-02 2.17081e-04  2.01597e+00 2.01619e+00 5.74331e-04
7.05314e-02 2.21724e-04  2.04264e+00 2.04287e+00 5.77167e-04
7.09615e-02 2.25884e-04  2.06953e+00 2.06975e+00 5.80006e-04
7.13917e-02 2.24369e-04  2.09661e+00 2.09683e+00 5.82855e-04
7.18218e-02 2.18023e-04  2.12390e+00 2.12411e+00 5.85760e-04
7.22519e-02 2.09848e-04  2.15139e+00 2.15159e+00 5.88755e-04
7.26820e-02 2.07178e-04  2.17909e+00 2.17928e+00 5.91821e-04
7.31121e-02 1.98540e-04  2.20699e+00 2.20716e+00 5.94985e-04
7.35422e-02 1.87820e-04  2.23509e+00 2.23525e+00 5.98248e-04
7.39724e-02 1.93125e-04  2.26339e+00 2.26356e+00 6.01659e-04
7.44025e-02 2.03107e-04  2.29189e+00 2.29207e+00 6.05164e-04
7.48326e-02 2.00071e-04  2.32061e+00 2.32078e+00 6.08762e-04
7.52627e-02 1.93782e-04  2.34953e+00 2.34969e+00 6.12396e-04
7.56928e-02 1.95961e-04  2.37866e+00 2.37882e+00 6.16055e-04
7.61230e-02 1.97787e-04  2.40800e+00 2.40817e+00 6.19687e-04
7.65531e-02 1.98665e-04  2.43755e+00 2.43772e+00 6.23267e-04
7.69832e-02 1.96279e-04  2.46732e+00 2.46749e+00 6.26775e-04
7.74133e-02 1.99098e-04  2.49729e+00 2.49746e+00 6.30233e-04
7.78434e-02 2.05520e-04  2.52747e+00 2.52765e+00 6.33616e-04
7.82735e-02 2.00940e-04  2.55787e+00 2.55804e+00 6.36913e-04
7.87037e-02 1.92077e-04  2.58847e+00 2.58865e+00 6.40141e-04
7.91338e-02 2.00484e-04  2.61929e+00 2.61947e+00 6.43284e-04
7.95639e-02 2.07645e-04  2.65033e+00 2.65051e+00 6.46318e-04
7.99940e-02 2.09064e-04  2.68157e+00 2.68176e+00 6.49276e-04
8.04241e-02 2.06803e-04  2.71302e+00 2.71322e+00 6.52199e-04
8.08542e-02 2.11282e-04  2.74469e+00 2.74490e+00 6.55157e-04
8.12844e-02 2.11590e-04  2.77658e+00 2.77679e+00 6.58180e-04
8.17145e-02 2.10982e-04  2.80868e+00 2.80889e+00 6.61247e-04
8.21446e-02 2.11971e-04  2.84101e+00 2.84121e+00 6.64321e-04
8.25747e-02 2.10596e-04  2.87355e+00 2.87376e+00 6.67383e-04
8.30048e-02 2.03736e-04  2.90632e+00 2.90652e+00 6.70440e-04
8.34349e-02 1.97119e-04  2.93931e+00 2.93950e+00 6.73518e-04
8.38650e-02 1.98023e-04  2.97251e+00 2.97269e+00 6.76628e-04
8.42951e-02 1.99485e-04  3.00593e+00 3.00611e+00 6.79812e-04
8.47253e-02 1.91272e-04  3.03958e+00 3.03975e+00 6.83052e-04
8.51554e-02 1.88873e-04  3.07344e+00 3.07360e+00 6.86319e-04
8.55855e-02 1.93384e-04  3.10752e+00 3.10769e+00 6.89638e-04
8.60156e-02 1.97500e-04  3.14182e+00 3.14199e+00 6.93063e-04
8.64457e-02 2.02199e-04  3.17635e+00 3.17653e+00 6.96575e-04
8.68758e-02 2.02384e-04  3.21111e+00 3.21128e+00 7.00108e-04
8.73059e-02 1.98572e-04  3.24609e+00 3.24627e+00 7.03636e-04
8.77360e-02 1.93567e-04  3.28130e+00 3.28147e+00 7.07144e-04
8.81661e-02 1.99184e-04  3.31674e+00 3.31691e+00 7.10631e-04
8.85962e-02 1.96964e-04  3.35240e+00 3.35257e+00 7.14083e-04
8.90263e-02 1.93441e-04  3.38830e+00 3.38847e+00 7.17489e-04
8.94564e-02 1.92872e-04  3.42442e+00 3.42458e+00 7.20837e-04
8.98865e-02 1.92465e-04  3.46077e+00 3.46094e+00 7.24129e-04
9.03166e-02 1.96190e-04  3.49735e+00 3.49752e+00 7.27412e-04
9.07467e-02 1.91114e-04  3.53416e+00 3.53433e+00 7.30648e-04
9.11768e-02 1.96721e-04  3.57120e+00 3.57137e+00 7.33798e-04
9.16069e-02 2.01892e-04  3.60847e+00 3.60865e+00 7.36873e-04
9.20370e-02 2.02633e-04  3.64597e+00 3.64616e+00 7.39915e-04
9.24671e-02 2.01065e-04  3.68371e+00 3.68390e+00 7.42938e-04
9.28972e-02 2.06418e-04  3.72168e+00 3.72187e+00 7.45935e-04
9.33273e-02 1.97970e-04  3.75989e+00 3.76008e+00 7.48908e-04
9.37574e-02 1.96301e-04  3.79834e+00 3.79852e+00 7.51900e-04
9.41875e-02 1.91758e-04  3.83703e+00 3.83721e+00 7.54931e-04
9.46176e-02 1.94728e-04  3.87595e+00 3.87613e+00 7.58016e-04
9.50477e-02 1.93064e-04  3.91511e+00 3.91529e+00 7.61160e-04
9.54778e-02 1.89433e-04  3.95451e+00 3.95468e+00 7.64345e-04
9.59079e-02 1.93578e-04  3.99415e+00 3.99432e+00 7.67580e-04
9.63380e-02 1.95932e-04  4.03402e+00 4.03420e+00 7.70880e-04
9.67681e-02 1.95447e-04  4.07414e+00 4.07431e+00 7.74250e-04
9.71982e-02 1.98183e-04  4.11450e+00 4.11467e+00 7.77671e-04
9.76283e-02 1.95241e-04  4.15510e+00 4.15527e+00 7.81122e-04
9.80583e-02 1.91655e-04  4.19595e+00 4.19612e+00 7.84598e-04
9.84884e-02 1.98159e-04  4.23704e+00 4.23722e+00 7.88060e-04
9.89185e-02 2.04004e-04  4.27838e+00 4.27856e+00 7.91505e-04
9.93486e-02 1.97525e-04  4.31997e+00 4.32014e+00 7.94920e-04
9.97787e-02 1.97323e-04  4.36180e+00 4.36197e+00 7.98330e-04
1.00000e-01 1.92736e-04  4.38342e+00 4.38359e+00 8.00076e-04
