
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       

                0.              -500.518              0.                 0.                 0.                 0.                 0.                 0.                 1.95E+03           0.                 0.                 0.                 0.               113.559E-06          1.95E+03           0.                 0.                 0.               488.005E+03          0.                 0.                 0.                 0.         
                2.61186E-03      222.304              0.              -455.921E-06          0.                 0.                 0.               680.929E+03          2.56007E+03        0.               680.929E+03          1.00569E+03      682.547E+03        113.559E-06          1.94823E+03     -785.779E-06          2.60847E-03        0.               130.135E+06         -1.15058E+06      521.075E+06       -785.473E-06          2.61186E-03
                5.11015E-03      318.46               0.               456.382E-06          0.                 0.                 0.                 2.60206E+06        2.2531E+03         0.                 2.60206E+06        1.65447E+03        2.60402E+06      113.559E-06          1.95011E+03       -1.53485E-03        5.09713E-03        0.               254.025E+06         -1.87838E+06        1.01858E+09       -1.53366E-03        5.11015E-03
                7.60845E-03     -112.188              0.               228.452E-06          0.                 0.                 0.                 5.75826E+06        2.28531E+03        0.                 5.75826E+06        2.29506E+03        5.76089E+06      113.559E-06          1.9501E+03        -2.27625E-03        7.57962E-03        0.               377.548E+06       -225.848E+03          1.51642E+09       -2.27366E-03        7.60845E-03
               10.1067E-03        -3.36229            0.              -800.221E-06          0.                 0.                 0.                10.1432E+06         2.30244E+03        0.                10.1432E+06         2.91734E+03       10.1464E+06       113.559E-06          1.95058E+03       -3.02141E-03       10.0561E-03         0.               500.119E+06       -607.4E+03            2.01199E+09       -3.01685E-03       10.1067E-03 
               12.605E-03         11.5122             0.               457.75E-06           0.                 0.                 0.                15.7505E+06         2.29114E+03        0.                15.7505E+06         3.53716E+03       15.7543E+06       113.559E-06          1.95155E+03       -3.76433E-03       12.5263E-03         0.               622.122E+06       -672.192E+03          2.50667E+09       -3.75722E-03       12.605E-03  
               15.1033E-03       -13.041              0.               458.205E-06          0.                 0.                 0.                22.5739E+06         2.28624E+03        0.                22.5739E+06         4.15526E+03       22.5784E+06       113.559E-06          1.95155E+03       -4.50522E-03       14.9904E-03         0.               743.523E+06       -576.576E+03          3.00038E+09       -4.49509E-03       15.1033E-03 
               17.6016E-03        -9.53778            0.              -917.231E-06          0.                 0.                 0.                30.6073E+06         2.28867E+03        0.                30.6073E+06         4.7697E+03        30.6124E+06       113.559E-06          1.94949E+03       -5.2449E-03        17.4486E-03         0.               864.288E+06       -606.784E+03          3.49298E+09       -5.23111E-03       17.6016E-03 
               20.0999E-03         2.14776            0.                 0.                 0.                 0.                 0.                39.8445E+06         2.28375E+03        0.                39.8445E+06         5.38124E+03       39.8502E+06       113.559E-06          1.94851E+03       -5.98327E-03       19.9006E-03         0.               984.442E+06       -646.288E+03          3.98454E+09       -5.96532E-03       20.0999E-03 
               22.5982E-03       -12.9529             0.              -114.868E-06          0.                 0.                 0.                50.2794E+06         2.28401E+03        0.                50.2794E+06         5.99033E+03       50.2858E+06       113.559E-06          1.95083E+03       -6.71955E-03       22.3467E-03         0.                 1.104E+09       -578.208E+03          4.4751E+09        -6.69699E-03       22.5982E-03 
               25.0965E-03        20.2671             0.              -229.979E-06          0.                 0.                 0.                61.9061E+06         2.2821E+03         0.                61.9061E+06         6.5959E+03        61.913E+06        113.559E-06          1.95531E+03       -7.45517E-03       24.7868E-03         0.                 1.22293E+09     -694.496E+03          4.96458E+09       -7.42741E-03       25.0965E-03 
               27.5948E-03       -11.1892             0.               287.765E-06          0.                 0.                 0.                74.7184E+06         2.28233E+03        0.                74.7184E+06         7.19936E+03       74.7259E+06       113.559E-06          1.95794E+03       -8.18836E-03       27.221E-03          0.                 1.3413E+09      -583.52E+03           5.45317E+09       -8.15486E-03       27.5947E-03 
               30.0931E-03        10.1951             0.               691.363E-06          0.                 0.                 0.                88.7105E+06         2.27761E+03        0.                88.7105E+06         7.79956E+03       88.7186E+06       113.559E-06          1.96779E+03       -8.92088E-03       29.6493E-03         0.                 1.45906E+09     -650.784E+03          5.94068E+09       -8.8812E-03        30.093E-03  
               32.5914E-03       -16.951              0.               230.655E-06          0.                 0.                 0.               103.877E+06          2.27635E+03        0.               103.877E+06          8.39739E+03      103.885E+06        113.559E-06          1.96218E+03       -9.65106E-03       32.0716E-03         0.                 1.57624E+09     -551.936E+03          6.42724E+09       -9.60464E-03       32.5913E-03 
               35.0897E-03         7.24719            0.              -461.737E-06          0.                 0.                 0.               120.211E+06          2.27503E+03        0.               120.211E+06          8.99202E+03      120.22E+06         113.559E-06          1.96454E+03      -10.3806E-03        34.4882E-03         0.                 1.69284E+09     -641.344E+03          6.91278E+09      -10.3269E-03        35.0896E-03 
               37.588E-03         -1.77786            0.               115.569E-06          0.                 0.                 0.               137.707E+06          2.27102E+03        0.               137.707E+06          9.58421E+03      137.717E+06        113.559E-06          1.96398E+03      -11.108E-03         36.8989E-03         0.                 1.80886E+09     -605.984E+03          7.39737E+09      -11.0465E-03        37.5878E-03 
               40.0863E-03        15.857              0.              -462.585E-06          0.                 0.                 0.               156.36E+06           2.27194E+03        0.               156.36E+06          10.1736E+03       156.371E+06        113.559E-06          1.99076E+03      -11.8343E-03        39.3038E-03         0.                 1.9243E+09      -660.576E+03          7.88097E+09      -11.7646E-03        40.0861E-03 
               42.5846E-03        -2.48139            0.              -231.507E-06          0.                 0.                 0.               176.164E+06          2.26734E+03        0.               176.164E+06         10.7607E+03       176.175E+06        113.559E-06          1.99234E+03      -12.5589E-03        41.703E-03          0.                 2.03921E+09     -602.112E+03          8.36369E+09      -12.4803E-03        42.5844E-03 
               45.0829E-03         4.69245            0.              -115.868E-06          0.                 0.                 0.               197.113E+06          2.2674E+03         0.               197.113E+06         11.3449E+03       197.125E+06        113.559E-06          1.97922E+03      -13.2819E-03        44.0964E-03         0.                 2.15353E+09     -604.096E+03          8.8454E+09       -13.1942E-03        45.0827E-03 
               47.5812E-03      -860.628E-03          0.                 2.55171E-03        0.                 0.                 0.               219.202E+06          2.26575E+03        0.               219.202E+06         11.9267E+03       219.215E+06        113.559E-06          1.97506E+03      -14.0038E-03        46.4841E-03         0.                 2.26731E+09     -601.856E+03          9.32624E+09      -13.9062E-03        47.5809E-03 
               50.0795E-03       201.915E-03          0.                -2.61208E-03        0.                 0.                 0.               242.426E+06          2.26354E+03        0.               242.426E+06         12.5057E+03       242.438E+06        113.559E-06          1.97175E+03      -14.7238E-03        48.8661E-03         0.                 2.38053E+09     -603.04E+03           9.80607E+09      -14.6159E-03        50.0792E-03 
               52.5778E-03        16.2106             0.               116.231E-06          0.                 0.                 0.               266.778E+06          2.26359E+03        0.               266.778E+06         13.0824E+03       266.791E+06        113.559E-06          1.99473E+03      -15.4427E-03        51.2424E-03         0.                 2.4932E+09      -643.52E+03          10.285E+09        -15.3242E-03        52.5775E-03 
               55.0761E-03      -508.649E-03          0.              -407.058E-06          0.                 0.                 0.               292.253E+06          2.25952E+03        0.               292.253E+06         13.6563E+03       292.267E+06        113.559E-06          1.96661E+03      -16.1596E-03        53.6132E-03         0.                 2.60534E+09     -602.208E+03         10.7631E+09       -16.0298E-03        55.0758E-03 
               57.5744E-03        12.7793             0.               844.07E-06           0.                 0.                 0.               318.846E+06          2.2593E+03         0.               318.846E+06         14.2282E+03       318.861E+06        113.559E-06          1.98704E+03      -16.8757E-03        55.9782E-03         0.                 2.71694E+09     -652.48E+03          11.2402E+09       -16.7341E-03        57.574E-03  
               60.0727E-03       -18.1395             0.               874.02E-06           0.                 0.                 0.               346.552E+06          2.25808E+03        0.               346.552E+06         14.7975E+03       346.567E+06        113.559E-06          1.96991E+03      -17.5893E-03        58.3378E-03         0.                 2.82802E+09     -528.832E+03         11.7165E+09       -17.4355E-03        60.0723E-03 
               62.571E-03         19.031              0.               349.946E-06          0.                 0.                 0.               375.365E+06          2.25526E+03        0.               375.365E+06         15.364E+03        375.38E+06         113.559E-06          1.9902E+03       -18.3028E-03        60.6917E-03         0.                 2.93855E+09     -672.256E+03         12.1918E+09       -18.1363E-03        62.5706E-03 
               65.0693E-03       -12.6813             0.              -496.155E-06          0.                 0.                 0.               405.28E+06           2.25559E+03        0.               405.28E+06          15.9285E+03       405.296E+06        113.559E-06          2.01105E+03      -19.0134E-03        63.0402E-03         0.                 3.04857E+09     -549.792E+03         12.6663E+09       -18.8337E-03        65.0689E-03 
               67.5676E-03        10.0297             0.               350.588E-06          0.                 0.                 0.               436.292E+06          2.25161E+03        0.               436.292E+06         16.4906E+03       436.309E+06        113.559E-06          1.99267E+03      -19.7238E-03        65.3831E-03         0.                 3.15807E+09     -613.952E+03         13.14E+09         -19.5306E-03        67.5672E-03 
               70.0659E-03        -7.15444            0.              -467.837E-06          0.                 0.                 0.               468.395E+06          2.25004E+03        0.               468.395E+06         17.0501E+03       468.413E+06        113.559E-06          2.00232E+03      -20.4316E-03        67.7206E-03         0.                 3.26706E+09     -559.296E+03         13.6127E+09       -20.2243E-03        70.0654E-03 
               72.5642E-03        16.633              0.               936.599E-06          0.                 0.                 0.               501.586E+06          2.24786E+03        0.               501.586E+06         17.6074E+03       501.603E+06        113.559E-06          1.99792E+03      -21.139E-03         70.0526E-03         0.                 3.37553E+09     -649.728E+03         14.0846E+09       -20.9172E-03        72.5637E-03 
               75.0625E-03        -2.80585            0.               351.54E-06           0.                 0.                 0.               535.857E+06          2.2469E+03         0.               535.857E+06         18.1623E+03       535.876E+06        113.559E-06          1.96527E+03      -21.844E-03         72.3792E-03         0.                 3.4835E+09      -591.616E+03         14.5557E+09       -21.6071E-03        75.062E-03  
               77.5608E-03         7.88313            0.                 1.75933E-03        0.                 0.                 0.               571.205E+06          2.24642E+03        0.               571.205E+06         18.7153E+03       571.224E+06        113.559E-06          1.87671E+03      -22.5482E-03        74.7004E-03         0.                 3.59098E+09     -614.464E+03         15.0259E+09       -22.2959E-03        77.5603E-03 
               80.0591E-03        -7.02355            0.                 4.86034E-09        0.                 0.                 0.               607.625E+06          2.24399E+03        0.               607.625E+06         19.2659E+03       607.645E+06        113.559E-06          2.00593E+03      -23.2503E-03        77.0163E-03         0.                 3.69795E+09     -563.328E+03         15.4953E+09       -22.9822E-03        80.0585E-03 
               82.5573E-03      -966.379E-03          0.               704.985E-06          0.                 0.                 0.               645.111E+06          2.24125E+03        0.               645.111E+06         19.814E+03        645.131E+06        113.559E-06          1.96445E+03      -23.9515E-03        79.3267E-03         0.                 3.80443E+09     -582.784E+03         15.9638E+09       -23.6669E-03        82.5568E-03 
               85.0556E-03         6.04089            0.              -352.803E-06          0.                 0.                 0.               683.659E+06          2.24192E+03        0.               683.659E+06         20.3602E+03       683.68E+06         113.559E-06          1.85092E+03      -24.651E-03         81.6319E-03         0.                 3.91042E+09     -604.864E+03         16.4316E+09       -24.3497E-03        85.0551E-03 
               87.5539E-03        -7.68168            0.              -706.243E-06          0.                 0.                 0.               723.264E+06          2.23848E+03        0.               723.264E+06         20.9041E+03       723.285E+06        113.559E-06          1.91618E+03      -25.349E-03         83.9317E-03         0.                 4.01593E+09     -556.352E+03         16.8985E+09       -25.0304E-03        87.5534E-03 
               90.0522E-03        15.9863             0.               942.56E-06           0.                 0.                 0.               763.92E+06           2.23753E+03        0.               763.92E+06          21.4456E+03       763.942E+06        113.559E-06          1.9268E+03       -26.0459E-03        86.2263E-03         0.                 4.12095E+09     -637.696E+03         17.3647E+09       -25.7096E-03        90.0516E-03 
               92.5505E-03        -8.44999            0.                -1.53295E-03        0.                 0.                 0.               805.624E+06          2.23582E+03        0.               805.624E+06         21.9854E+03       805.646E+06        113.559E-06          1.92384E+03      -26.7407E-03        88.5156E-03         0.                 4.22551E+09     -536.96E+03          17.83E+09         -26.3864E-03        92.5499E-03 
               95.0488E-03         2.88607            0.              -354.075E-06          0.                 0.                 0.               848.37E+06           2.23407E+03        0.               848.37E+06          22.5229E+03       848.393E+06        113.559E-06          1.91465E+03      -27.4349E-03        90.7997E-03         0.                 4.32959E+09     -589.504E+03         18.2946E+09       -27.0619E-03        95.0482E-03 
               97.5471E-03        -3.53419            0.                -1.24035E-03        0.                 0.                 0.               892.154E+06          2.2342E+03         0.               892.154E+06         23.0581E+03       892.177E+06        113.559E-06          1.93128E+03      -28.1266E-03        93.0786E-03         0.                 4.43319E+09     -550.976E+03         18.7583E+09       -27.7347E-03        97.5465E-03 
              100.045E-03         19.597              0.               325.187E-06          0.                 0.                 0.               936.971E+06          2.22989E+03        0.               936.971E+06         23.5913E+03       936.995E+06        113.559E-06          1.89811E+03      -28.8182E-03        95.3523E-03         0.                 4.53634E+09     -651.2E+03           19.2213E+09       -28.4069E-03       100.045E-03  
              102.544E-03        -17.7052             0.              -473.366E-06          0.                 0.                 0.               982.817E+06          2.22887E+03        0.               982.817E+06         24.1226E+03       982.841E+06        113.559E-06          1.95952E+03      -29.5066E-03        97.6209E-03         0.                 4.63903E+09     -509.696E+03         19.6836E+09       -29.0756E-03       102.543E-03  
