1.23266e-04 6.06989e+04  5.35941e+04 5.35941e+04 
2.46531e-04 1.19798e+05  9.69858e+04 1.64444e+05 
3.69758e-04 1.26451e+05  1.95561e+05 2.65662e+05 
4.92950e-04 1.03395e+05  3.18051e+05 3.69374e+05 
6.16156e-04 8.05461e+04  5.00564e+05 5.26407e+05 
7.39339e-04 8.60441e+04  7.11846e+05 7.42745e+05 
8.62512e-04 9.16302e+04  9.44243e+05 9.85046e+05 
9.85690e-04 6.33415e+04  1.24249e+06 1.25001e+06 
1.10883e-03 7.00127e+04  1.55410e+06 1.57302e+06 
1.23197e-03 9.68002e+04  1.92226e+06 1.96466e+06 
1.35512e-03 1.22242e+05  2.31488e+06 2.38551e+06 
1.47826e-03 1.03866e+05  2.75334e+06 2.80378e+06 
1.60137e-03 7.48312e+04  3.22011e+06 3.24336e+06 
1.72445e-03 6.65734e+04  3.73230e+06 3.74709e+06 
1.84754e-03 8.24431e+04  4.28581e+06 4.31530e+06 
1.97062e-03 9.94908e+04  4.86415e+06 4.91267e+06 
2.09368e-03 8.95040e+04  5.48711e+06 5.52463e+06 
2.21671e-03 7.85093e+04  6.14560e+06 6.17334e+06 
2.33976e-03 7.96308e+04  6.84957e+06 6.87690e+06 
2.46280e-03 9.28841e+04  7.58079e+06 7.62223e+06 
2.58581e-03 9.56756e+04  8.34673e+06 8.39166e+06 
2.70882e-03 8.47781e+04  9.15798e+06 9.19190e+06 
2.83181e-03 7.96787e+04  1.00114e+07 1.00392e+07 
2.95478e-03 9.03354e+04  1.08912e+07 1.09299e+07 
3.07774e-03 9.52887e+04  1.18019e+07 1.18476e+07 
3.20072e-03 7.53015e+04  1.27680e+07 1.27921e+07 
3.32366e-03 6.49521e+04  1.37688e+07 1.37817e+07 
3.44657e-03 8.48437e+04  1.47911e+07 1.48256e+07 
3.56950e-03 1.02567e+05  1.58569e+07 1.59096e+07 
3.69243e-03 9.64267e+04  1.69716e+07 1.70165e+07 
3.81532e-03 8.68975e+04  1.81131e+07 1.81488e+07 
3.93819e-03 8.46429e+04  1.92856e+07 1.93205e+07 
4.06108e-03 7.98402e+04  2.05066e+07 2.05355e+07 
4.18394e-03 7.70564e+04  2.17610e+07 2.17870e+07 
4.30679e-03 7.72567e+04  2.30464e+07 2.30738e+07 
4.42963e-03 7.70203e+04  2.43773e+07 2.44036e+07 
4.55246e-03 8.71545e+04  2.57431e+07 2.57789e+07 
4.67528e-03 1.03828e+05  2.71359e+07 2.71898e+07 
4.79810e-03 1.01995e+05  2.85737e+07 2.86258e+07 
4.92091e-03 8.35433e+04  3.00563e+07 3.00883e+07 
5.04369e-03 7.57950e+04  3.15613e+07 3.15864e+07 
5.16645e-03 7.58100e+04  3.31003e+07 3.31267e+07 
5.28924e-03 6.98316e+04  3.46909e+07 3.47102e+07 
5.41199e-03 7.15735e+04  3.63165e+07 3.63368e+07 
5.53472e-03 9.10020e+04  3.79660e+07 3.80067e+07 
5.65746e-03 1.08992e+05  3.96543e+07 3.97136e+07 
5.78019e-03 1.06597e+05  4.13891e+07 4.14451e+07 
5.90290e-03 8.88431e+04  4.31579e+07 4.31959e+07 
6.02560e-03 7.04910e+04  4.49559e+07 4.49760e+07 
6.14828e-03 6.23100e+04  4.67899e+07 4.68024e+07 
6.27096e-03 6.57522e+04  4.86678e+07 4.86834e+07 
6.39363e-03 8.01893e+04  5.05837e+07 5.06129e+07 
6.51628e-03 1.01390e+05  5.25271e+07 5.25781e+07 
6.63892e-03 1.11820e+05  5.45054e+07 5.45675e+07 
6.76156e-03 9.97960e+04  5.65287e+07 5.65781e+07 
6.88418e-03 7.88575e+04  5.85869e+07 5.86149e+07 
7.00679e-03 6.59048e+04  6.06742e+07 6.06902e+07 
7.12939e-03 6.35947e+04  6.28020e+07 6.28155e+07 
7.25199e-03 7.53074e+04  6.49680e+07 6.49926e+07 
7.37457e-03 9.54619e+04  6.71650e+07 6.72105e+07 
7.49714e-03 1.02602e+05  6.94022e+07 6.94548e+07 
7.61970e-03 9.35835e+04  7.16777e+07 7.17202e+07 
7.74225e-03 8.51337e+04  7.39790e+07 7.40141e+07 
7.86480e-03 7.78844e+04  7.63193e+07 7.63480e+07 
7.98733e-03 7.01945e+04  7.87086e+07 7.87278e+07 
8.10985e-03 7.82835e+04  8.11238e+07 8.11509e+07 
8.23237e-03 9.57803e+04  8.35629e+07 8.36096e+07 
8.35487e-03 9.38605e+04  8.60532e+07 8.60974e+07 
8.47737e-03 7.85116e+04  8.85869e+07 8.86138e+07 
8.59985e-03 7.65366e+04  9.11384e+07 9.11645e+07 
8.72231e-03 8.27090e+04  9.37234e+07 9.37571e+07 
8.84477e-03 8.40000e+04  9.63602e+07 9.63938e+07 
8.96722e-03 8.94076e+04  9.90301e+07 9.90685e+07 
9.08965e-03 9.73992e+04  1.01724e+08 1.01771e+08 
9.21206e-03 9.12271e+04  1.04457e+08 1.04499e+08 
9.33447e-03 7.43518e+04  1.07233e+08 1.07256e+08 
9.45687e-03 6.53094e+04  1.10040e+08 1.10055e+08 
9.57924e-03 7.05891e+04  1.12881e+08 1.12902e+08 
9.70160e-03 8.57184e+04  1.15758e+08 1.15793e+08 
9.82397e-03 1.01223e+05  1.18670e+08 1.18721e+08 
9.94632e-03 1.04915e+05  1.21619e+08 1.21674e+08 
1.00000e-02 1.01683e+05  1.22924e+08 1.22976e+08 
