
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   ALLIE Whole Model  ALLKE Whole Model  ALLVD Whole Model ALLSE Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1  
                  X                 : 1                N: 2                -1                 -1                 -1               -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid          N: 1              1 N: 2         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid           : 1                N: 2               : 1                N: 2       
                1.93182E-03     -654.736           -327.368              7.11995E+06       38.9297E+03        27.2512E+03       7.11995E+06        7.15015E+06       35.9746E+03        -2.31241E-03        7.69756E-03        7.69753E-03      460.81E+06           0.                -1.49414E+06        1.54016E+09        1.53827E+09       -2.30975E-03       -1.15487E-03        7.72727E-03        7.72727E-03 
                2.04545E-03       -5.88499E+03       -2.9425E+03         7.98089E+06       41.4007E+03        29.4709E+03       7.98089E+06        8.01565E+06       36.1075E+03        -2.38381E-03        8.14852E-03        8.14852E-03      491.242E+06          0.                23.0814E+06         1.63044E+09        1.64319E+09       -2.38094E-03       -1.19047E-03        8.18182E-03        8.18182E-03 
                2.15909E-03       -4.40664E+03       -2.20332E+03        8.88862E+06       47.6884E+03        30.8282E+03       8.88862E+06        8.932E+06         35.137E+03         -2.53133E-03        8.59928E-03        8.59928E-03      516.736E+06          0.                18.3268E+06         1.72066E+09        1.73046E+09       -2.52812E-03       -1.26406E-03        8.63636E-03        8.63636E-03 
                2.27273E-03        1.68462E+03      842.315              9.8447E+06        49.842E+03         31.7366E+03       9.8447E+06         9.89176E+06       34.5128E+03        -2.73596E-03        9.04983E-03        9.04983E-03      539.006E+06          0.                -8.4089E+06         1.81089E+09        1.80451E+09       -2.73221E-03       -1.36611E-03        9.09091E-03        9.09091E-03 
                2.38636E-03        5.50862E+03        2.75431E+03       10.8516E+06        44.5962E+03        32.6621E+03      10.8516E+06        10.8936E+06        35.2224E+03        -2.9188E-03         9.50018E-03        9.50018E-03      563.057E+06          0.               -26.7911E+06         1.90105E+09        1.88353E+09       -2.91455E-03       -1.45727E-03        9.54545E-03        9.54545E-03 
                2.5E-03            3.13999E+03        1.56999E+03       11.9042E+06        40.1867E+03        34.008E+03       11.9042E+06        11.9433E+06        35.1212E+03        -3.03024E-03        9.95032E-03        9.95032E-03      591.579E+06          0.               -17.7622E+06         1.99119E+09        1.97896E+09       -3.02575E-03       -1.51287E-03       10.E-03            10.E-03      
                2.61364E-03       -2.4074E+03        -1.2037E+03        13.0057E+06        39.9084E+03        36.0133E+03      13.0057E+06        13.0468E+06        34.8809E+03        -3.10121E-03       10.4003E-03        10.4003E-03       622.231E+06          0.                 6.88385E+06        2.08128E+09        2.08372E+09       -3.0964E-03        -1.5482E-03        10.4545E-03        10.4545E-03  
                2.72727E-03       -4.93843E+03       -2.46922E+03       14.1573E+06        43.3721E+03        37.8154E+03      14.1573E+06        14.2038E+06        34.6321E+03        -3.20327E-03       10.85E-03          10.85E-03         650.536E+06          0.                19.5088E+06         2.17134E+09        2.18122E+09       -3.19814E-03       -1.59907E-03       10.9091E-03        10.9091E-03  
                2.84091E-03       -1.96662E+03     -983.31              15.3555E+06        47.9908E+03        38.9626E+03      15.3555E+06        15.4087E+06        33.6807E+03        -3.36933E-03       11.2995E-03        11.2996E-03       674.844E+06          0.                 7.4937E+06         2.26135E+09        2.2639E+09        -3.36365E-03       -1.68183E-03       11.3636E-03        11.3636E-03  
                2.95455E-03        2.8948E+03         1.4474E+03        16.6031E+06        47.2931E+03        39.8958E+03      16.6031E+06        16.6567E+06        33.5807E+03        -3.56093E-03       11.7489E-03        11.7489E-03       697.895E+06          0.               -14.3592E+06         2.35135E+09        2.34063E+09       -3.55456E-03       -1.77728E-03       11.8182E-03        11.8182E-03  
