
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE12 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S12 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                2.58427E-03        0.                 0.                 0.                 6.42132E+06       48.75E+03           6.42132E+06        6.42133E+06      112.36E-06          48.7429E+03        41.7137E-06        12.921E-03        247.407E+06        247.42E+06           8.56047E+06      993.91E+06          12.9214E-03         0.         
                2.69663E-03        0.                 0.                 0.                 6.99184E+06       48.75E+03           6.99184E+06        6.99185E+06      112.36E-06          48.7407E+03        45.4325E-06        13.4828E-03       258.116E+06        258.132E+06          9.32555E+06        1.03712E+09       13.4831E-03         0.         
                2.80899E-03        0.                 0.                 0.                 7.58663E+06       48.75E+03           7.58663E+06        7.58664E+06      112.36E-06          48.7402E+03        49.3403E-06        14.0445E-03       268.815E+06        268.833E+06         10.0972E+06         1.08034E+09       14.0449E-03         0.         
                2.92135E-03        0.                 0.                 0.                 8.2057E+06        48.75E+03           8.2057E+06         8.20571E+06      112.36E-06          48.7386E+03        53.2588E-06        14.6062E-03       279.519E+06        279.537E+06         10.9364E+06         1.12355E+09       14.6067E-03         0.         
                3.03371E-03        0.                 0.                 0.                 8.84904E+06       48.75E+03           8.84904E+06        8.84905E+06      112.36E-06          48.7386E+03        57.4563E-06        15.1679E-03       290.211E+06        290.235E+06         11.7784E+06         1.16676E+09       15.1685E-03         0.         
                3.14607E-03        0.                 0.                 0.                 9.51667E+06       48.75E+03           9.51667E+06        9.51668E+06      112.36E-06          48.7363E+03        61.7523E-06        15.7296E-03       300.905E+06        300.929E+06         12.6773E+06         1.20998E+09       15.7303E-03         0.         
                3.25843E-03        0.                 0.                 0.                10.2086E+06        48.75E+03          10.2086E+06        10.2086E+06       112.36E-06          48.7348E+03        66.4173E-06        16.2914E-03       311.593E+06        311.623E+06         13.5988E+06         1.25319E+09       16.2921E-03         0.         
                3.37079E-03        0.                 0.                 0.                10.9247E+06        48.75E+03          10.9247E+06        10.9248E+06       112.36E-06          48.7341E+03        71.045E-06         16.8532E-03       322.277E+06        322.307E+06         14.5544E+06         1.2964E+09        16.8539E-03         0.         
                3.48315E-03        0.                 0.                 0.                11.6652E+06        48.75E+03          11.6652E+06        11.6652E+06       112.36E-06          48.7322E+03        75.7896E-06        17.4149E-03       332.961E+06        332.994E+06         15.5546E+06         1.33962E+09       17.4157E-03         0.         
                3.59551E-03        0.                 0.                 0.                12.4299E+06        48.75E+03          12.4299E+06        12.4299E+06       112.36E-06          48.7301E+03        80.7745E-06        17.9766E-03       343.634E+06        343.675E+06         16.566E+06          1.38283E+09       17.9775E-03         0.         
                3.70787E-03        0.                 0.                 0.                13.2189E+06        48.75E+03          13.2189E+06        13.219E+06        112.36E-06          48.7278E+03        85.8386E-06        18.5382E-03       354.305E+06        354.346E+06         17.6114E+06         1.42605E+09       18.5393E-03         0.         
                3.82022E-03        0.                 0.                 0.                14.0322E+06        48.75E+03          14.0322E+06        14.0322E+06       112.36E-06          48.7261E+03        91.2393E-06        19.1E-03          364.977E+06        365.022E+06         18.7115E+06         1.46926E+09       19.1011E-03         0.         
                3.93258E-03        0.                 0.                 0.                14.8698E+06        48.75E+03          14.8698E+06        14.8698E+06       112.36E-06          48.7231E+03        96.6545E-06        19.6617E-03       375.636E+06        375.686E+06         19.8128E+06         1.51247E+09       19.6629E-03         0.         
                4.04494E-03        0.                 0.                 0.                15.7316E+06        48.75E+03          15.7316E+06        15.7317E+06       112.36E-06          48.7209E+03       102.286E-06         20.2234E-03       386.298E+06        386.354E+06         20.9687E+06         1.55569E+09       20.2247E-03         0.         
                4.1573E-03         0.                 0.                 0.                16.6177E+06        48.75E+03          16.6177E+06        16.6178E+06       112.36E-06          48.7196E+03       108.138E-06         20.785E-03        396.956E+06        397.012E+06         22.1587E+06         1.5989E+09        20.7865E-03         0.         
                4.26966E-03        0.                 0.                 0.                17.5281E+06        48.75E+03          17.5281E+06        17.5282E+06       112.36E-06          48.7151E+03       114.E-06            21.3467E-03       407.604E+06        407.665E+06         23.3598E+06         1.64211E+09       21.3483E-03         0.         
                4.38202E-03        0.                 0.                 0.                18.4628E+06        48.75E+03          18.4628E+06        18.4628E+06       112.36E-06          48.7133E+03       120.02E-06          21.9083E-03       418.251E+06        418.32E+06          24.6056E+06         1.68533E+09       21.9101E-03         0.         
                4.49438E-03        0.                 0.                 0.                19.4218E+06        48.75E+03          19.4218E+06        19.4218E+06       112.36E-06          48.7101E+03       126.261E-06         22.4701E-03       428.895E+06        428.966E+06         25.8855E+06         1.72854E+09       22.4719E-03         0.         
                4.60674E-03        0.                 0.                 0.                20.405E+06         48.75E+03          20.405E+06         20.405E+06        112.36E-06          48.7078E+03       132.631E-06         23.0318E-03       439.533E+06        439.613E+06         27.1879E+06         1.77175E+09       23.0337E-03         0.         
                4.7191E-03         0.                 0.                 0.                21.4125E+06        48.75E+03          21.4125E+06        21.4125E+06       112.36E-06          48.704E+03        139.1E-06           23.5933E-03       450.176E+06        450.261E+06         28.5633E+06         1.81497E+09       23.5955E-03         0.         
                4.83146E-03        0.                 0.                 0.                22.4443E+06        48.75E+03          22.4443E+06        22.4443E+06       112.36E-06          48.6991E+03       145.85E-06          24.155E-03        460.803E+06        460.896E+06         29.9193E+06         1.85818E+09       24.1573E-03         0.         
                4.94382E-03        0.                 0.                 0.                23.5003E+06        48.75E+03          23.5003E+06        23.5004E+06       112.36E-06          48.6971E+03       152.729E-06         24.7166E-03       471.433E+06        471.528E+06         31.3391E+06         1.90139E+09       24.7191E-03         0.         
                5.05618E-03        0.                 0.                 0.                24.5807E+06        48.75E+03          24.5807E+06        24.5807E+06       112.36E-06          48.6918E+03       159.678E-06         25.2781E-03       482.055E+06        482.156E+06         32.7754E+06         1.94461E+09       25.2809E-03         0.         
                5.16854E-03        0.                 0.                 0.                25.6853E+06        48.75E+03          25.6853E+06        25.6853E+06       112.36E-06          48.6893E+03       166.872E-06         25.8399E-03       492.677E+06        492.788E+06         34.2572E+06         1.98782E+09       25.8427E-03         0.         
                5.2809E-03         0.                 0.                 0.                26.8141E+06        48.75E+03          26.8141E+06        26.8142E+06       112.36E-06          48.6836E+03       174.349E-06         26.4014E-03       503.288E+06        503.408E+06         35.7478E+06         2.03103E+09       26.4045E-03         0.         
                5.39326E-03        0.                 0.                 0.                27.9673E+06        48.75E+03          27.9673E+06        27.9674E+06       112.36E-06          48.6785E+03       181.716E-06         26.9631E-03       513.896E+06        514.022E+06         37.2693E+06         2.07425E+09       26.9663E-03         0.         
                5.50562E-03        0.                 0.                 0.                29.1448E+06        48.75E+03          29.1448E+06        29.1448E+06       112.36E-06          48.6801E+03       189.451E-06         27.5246E-03       524.505E+06        524.642E+06         38.8502E+06         2.11746E+09       27.5281E-03         0.         
                5.61798E-03        0.                 0.                 0.                30.3465E+06        48.75E+03          30.3465E+06        30.3466E+06       112.36E-06          48.6745E+03       197.167E-06         28.0861E-03       535.115E+06        535.256E+06         40.4803E+06         2.16067E+09       28.0899E-03         0.         
                5.73034E-03        0.                 0.                 0.                31.5725E+06        48.75E+03          31.5725E+06        31.5726E+06       112.36E-06          48.6696E+03       205.1E-06           28.6478E-03       545.709E+06        545.859E+06         42.0918E+06         2.20389E+09       28.6517E-03         0.         
                5.8427E-03         0.                 0.                 0.                32.8227E+06        48.75E+03          32.8227E+06        32.8228E+06       112.36E-06          48.6636E+03       213.345E-06         29.2093E-03       556.31E+06         556.47E+06          43.7824E+06         2.2471E+09        29.2135E-03         0.         
                5.95506E-03        0.                 0.                 0.                34.0973E+06        48.75E+03          34.0973E+06        34.0974E+06       112.36E-06          48.6584E+03       221.597E-06         29.7709E-03       566.894E+06        567.065E+06         45.4543E+06         2.29032E+09       29.7753E-03         0.         
                6.06742E-03        0.                 0.                 0.                35.3961E+06        48.75E+03          35.3961E+06        35.3962E+06       112.36E-06          48.6538E+03       229.951E-06         30.3324E-03       577.48E+06         577.662E+06         47.1854E+06         2.33353E+09       30.3371E-03         0.         
                6.17978E-03        0.                 0.                 0.                36.7192E+06        48.75E+03          36.7192E+06        36.7193E+06       112.36E-06          48.6483E+03       238.611E-06         30.894E-03        588.065E+06        588.254E+06         48.9559E+06         2.37674E+09       30.8989E-03         0.         
                6.29213E-03        0.                 0.                 0.                38.0666E+06        48.75E+03          38.0666E+06        38.0667E+06       112.36E-06          48.6411E+03       247.493E-06         31.4555E-03       598.644E+06        598.841E+06         50.7521E+06         2.41996E+09       31.4607E-03         0.         
                6.40449E-03        0.                 0.                 0.                39.4383E+06        48.75E+03          39.4383E+06        39.4384E+06       112.36E-06          48.6369E+03       256.323E-06         32.0169E-03       609.22E+06         609.428E+06         52.5876E+06         2.46317E+09       32.0225E-03         0.         
                6.51685E-03        0.                 0.                 0.                40.8342E+06        48.75E+03          40.8342E+06        40.8343E+06       112.36E-06          48.6278E+03       265.345E-06         32.5784E-03       619.793E+06        620.015E+06         54.4595E+06         2.50638E+09       32.5843E-03         0.         
                6.62921E-03        0.                 0.                 0.                42.2544E+06        48.75E+03          42.2544E+06        42.2545E+06       112.36E-06          48.6175E+03       274.523E-06         33.14E-03         630.353E+06        630.583E+06         56.3256E+06         2.5496E+09        33.1461E-03         0.         
                6.74157E-03        0.                 0.                 0.                43.6989E+06        48.75E+03          43.6989E+06        43.699E+06        112.36E-06          48.6176E+03       283.95E-06          33.7015E-03       640.917E+06        641.164E+06         58.2572E+06         2.59281E+09       33.7079E-03         0.         
                6.85393E-03        0.                 0.                 0.                45.1677E+06        48.75E+03          45.1677E+06        45.1678E+06       112.36E-06          48.6085E+03       293.51E-06          34.2629E-03       651.477E+06        651.736E+06         60.2227E+06         2.63602E+09       34.2697E-03         0.         
                6.96629E-03        0.                 0.                 0.                46.6607E+06        48.75E+03          46.6607E+06        46.6609E+06       112.36E-06          48.5944E+03       303.229E-06         34.8245E-03       662.027E+06        662.301E+06         62.1948E+06         2.67924E+09       34.8315E-03         0.         
                7.07865E-03        0.                 0.                 0.                48.178E+06         48.75E+03          48.178E+06         48.1782E+06       112.36E-06          48.5831E+03       313.133E-06         35.3859E-03       672.582E+06        672.866E+06         64.2353E+06         2.72245E+09       35.3933E-03         0.         
                7.19101E-03        0.                 0.                 0.                49.7196E+06        48.75E+03          49.7196E+06        49.7198E+06       112.36E-06          48.5785E+03       323.17E-06          35.9473E-03       683.126E+06        683.423E+06         66.2816E+06         2.76566E+09       35.9551E-03         0.         
                7.30337E-03        0.                 0.                 0.                51.2855E+06        48.75E+03          51.2855E+06        51.2857E+06       112.36E-06          48.577E+03        333.279E-06         36.5088E-03       693.667E+06        693.98E+06          68.3634E+06         2.80888E+09       36.5168E-03         0.         
                7.41573E-03        0.                 0.                 0.                52.8756E+06        48.75E+03          52.8756E+06        52.8758E+06       112.36E-06          48.5666E+03       343.663E-06         37.0702E-03       704.211E+06        704.535E+06         70.5038E+06         2.85209E+09       37.0786E-03         0.         
                7.52809E-03        0.                 0.                 0.                54.4901E+06        48.75E+03          54.4901E+06        54.4903E+06       112.36E-06          48.5585E+03       354.026E-06         37.6315E-03       714.745E+06        715.083E+06         72.6598E+06         2.8953E+09        37.6404E-03         0.         
                7.64045E-03        0.                 0.                 0.                56.1288E+06        48.75E+03          56.1288E+06        56.129E+06        112.36E-06          48.5414E+03       364.761E-06         38.1929E-03       725.271E+06        725.628E+06         74.8269E+06         2.93852E+09       38.2022E-03         0.         
                7.75281E-03        0.                 0.                 0.                57.7918E+06        48.75E+03          57.7918E+06        57.792E+06        112.36E-06          48.5313E+03       375.623E-06         38.7543E-03       735.802E+06        736.173E+06         77.0625E+06         2.98173E+09       38.764E-03          0.         
                7.86517E-03        0.                 0.                 0.                59.479E+06         48.75E+03          59.479E+06         59.4792E+06       112.36E-06          48.5238E+03       386.496E-06         39.3158E-03       746.323E+06        746.711E+06         79.3091E+06         3.02494E+09       39.3258E-03         0.         
                7.97753E-03        0.                 0.                 0.                61.1906E+06        48.75E+03          61.1906E+06        61.1908E+06       112.36E-06          48.5231E+03       397.56E-06          39.877E-03        756.838E+06        757.244E+06         81.5761E+06         3.06816E+09       39.8876E-03         0.         
                8.08989E-03        0.                 0.                 0.                62.9264E+06        48.75E+03          62.9264E+06        62.9266E+06       112.36E-06          48.5095E+03       408.899E-06         40.4383E-03       767.355E+06        767.779E+06         83.9023E+06         3.11137E+09       40.4494E-03         0.         
                8.20225E-03        0.                 0.                 0.                64.6865E+06        48.75E+03          64.6865E+06        64.6867E+06       112.36E-06          48.5025E+03       420.369E-06         40.9997E-03       777.865E+06        778.307E+06         86.2488E+06         3.15458E+09       41.0112E-03         0.         
                8.31461E-03        0.                 0.                 0.                66.4708E+06        48.75E+03          66.4708E+06        66.4711E+06       112.36E-06          48.4863E+03       431.853E-06         41.561E-03        788.368E+06        788.83E+06          88.6163E+06         3.1978E+09        41.573E-03          0.         
                8.42697E-03        0.                 0.                 0.                68.2794E+06        48.75E+03          68.2794E+06        68.2797E+06       112.36E-06          48.473E+03        443.668E-06         42.1223E-03       798.871E+06        799.353E+06         91.0324E+06         3.24101E+09       42.1348E-03         0.         
                8.53933E-03        0.                 0.                 0.                70.1124E+06        48.75E+03          70.1124E+06        70.1127E+06       112.36E-06          48.4628E+03       455.525E-06         42.6836E-03       809.367E+06        809.862E+06         93.4687E+06         3.28422E+09       42.6966E-03         0.         
                8.65168E-03        0.                 0.                 0.                71.9696E+06        48.75E+03          71.9696E+06        71.9699E+06       112.36E-06          48.4471E+03       467.697E-06         43.2449E-03       819.863E+06        820.381E+06         95.9544E+06         3.32744E+09       43.2584E-03         0.         
                8.76405E-03        0.                 0.                 0.                73.8511E+06        48.75E+03          73.8511E+06        73.8513E+06       112.36E-06          48.4506E+03       479.874E-06         43.8061E-03       830.353E+06        830.892E+06         98.4665E+06         3.37065E+09       43.8202E-03         0.         
                8.8764E-03         0.                 0.                 0.                75.7568E+06        48.75E+03          75.7568E+06        75.7571E+06       112.36E-06          48.433E+03        492.33E-06          44.3674E-03       840.839E+06        841.401E+06        101.008E+06          3.41386E+09       44.382E-03          0.         
                8.98876E-03        0.                 0.                 0.                77.6868E+06        48.75E+03          77.6868E+06        77.6871E+06       112.36E-06          48.426E+03        504.735E-06         44.9287E-03       851.32E+06         851.905E+06        103.58E+06           3.45708E+09       44.9438E-03         0.         
                9.10112E-03        0.                 0.                 0.                79.6411E+06        48.75E+03          79.6411E+06        79.6415E+06       112.36E-06          48.4141E+03       517.569E-06         45.4899E-03       861.803E+06        862.406E+06        106.206E+06          3.50029E+09       45.5056E-03         0.         
                9.21348E-03        0.                 0.                 0.                81.6197E+06        48.75E+03          81.6197E+06        81.6201E+06       112.36E-06          48.397E+03        530.355E-06         46.0512E-03       872.271E+06        872.896E+06        108.823E+06          3.5435E+09        46.0674E-03         0.         
                9.32584E-03        0.                 0.                 0.                83.6226E+06        48.75E+03          83.6226E+06        83.6229E+06       112.36E-06          48.3904E+03       543.388E-06         46.6124E-03       882.739E+06        883.388E+06        111.485E+06          3.58672E+09       46.6292E-03         0.         
