																																																																																									                                           
                             A:A1 PI: FIBERS0   A:A1 PI: HOST-1 N  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode   LE:LE11 PI: HOST-  LE:LE22 PI: HOST- LE:LE11 PI: FIBER   RF:RF2 PI: HOST-1  RF:RF2 PI: FIBER S:S11 PI: HOST-1   S:S22 PI: HOST-1  SS:S11 PI: FIBERS0 U:  U:U1 PI: HOST-1 N  U1 PI: FIBERS0   U:U2 PI: HOST-1 N   U:U2 PI: FIBERS0 
                  X                 N: 2               : 1                 -1                 -1                 -1                 -1                 -1                l-1           1 E: 1 Centroid    1 E: 1 Centroid   S0 E: 1 Centroid          N: 1              0 N: 2       E: 1 Centroid      E: 1 Centroid       E: 1 Centroid             : 1              N: 2               : 1                 N: 2      
                1.91011E-03      637.56               7.99089E+03       12.8641E+06        80.9906E+03        12.8641E+06        58.8697E+03        12.9381E+06        65.8577E+03         -2.97033E-03        9.50525E-03       9.50525E-03       665.296E+06          0.             -44.942E+06          1.87549E+09        1.90206E+09          -2.96595E-03   -236.646E-06          9.55056E-03         8.78854E-03
                2.02247E-03      459.955              5.76588E+03       14.4133E+06        70.6906E+03        14.4133E+06        61.8421E+03        14.4794E+06        66.4225E+03         -3.11323E-03       10.0616E-03       10.0616E-03        706.412E+06          0.             -35.5419E+06         1.99247E+09        2.01349E+09          -3.10842E-03   -248.012E-06         10.1124E-03          9.30552E-03
                2.13483E-03     -116.792             -1.46391E+03       16.0487E+06        68.6977E+03        16.0487E+06        66.1923E+03        16.1175E+06        66.0955E+03         -3.18312E-03       10.6176E-03       10.6176E-03        751.495E+06          0.               2.15557E+06        2.12606E+09        2.12478E+09          -3.1781E-03    -253.572E-06         10.6742E-03          9.82249E-03
                2.24719E-03     -551.971             -6.91828E+03       17.7776E+06        73.1211E+03        17.7776E+06        70.6508E+03        17.8549E+06        66.4341E+03         -3.27156E-03       11.1733E-03       11.1733E-03        794.819E+06          0.              32.6518E+06         2.25534E+09        2.2361E+09           -3.26625E-03   -260.606E-06         11.236E-03          10.3395E-03 
                2.35955E-03     -464.986             -5.82722E+03       19.5905E+06        84.1057E+03        19.5905E+06        73.8074E+03        19.6834E+06        65.0372E+03         -3.44766E-03       11.7287E-03       11.7287E-03        832.52E+06           0.              29.1381E+06         2.36449E+09        2.34731E+09          -3.44175E-03   -274.609E-06         11.7978E-03         10.8564E-03 
                2.47191E-03       33.701            422.845             21.4891E+06        90.3183E+03        21.4891E+06        76.2219E+03        21.5918E+06        63.7976E+03         -3.69761E-03       12.2838E-03       12.2837E-03        865.979E+06          0.              -3.09106E+06        2.45666E+09        2.45846E+09          -3.69082E-03   -294.482E-06         12.3596E-03         11.3734E-03 
                2.58427E-03      471.092              5.90447E+03       23.4798E+06        83.1437E+03        23.4798E+06        78.5893E+03        23.5763E+06        65.1711E+03         -3.94232E-03       12.8386E-03       12.8386E-03        900.258E+06          0.             -33.3419E+06         2.55001E+09        2.56963E+09          -3.93454E-03   -313.929E-06         12.9214E-03         11.8904E-03 
                2.69663E-03      458.321              5.7445E+03        25.5549E+06        73.2404E+03        25.5549E+06        81.3267E+03        25.6432E+06        66.1947E+03         -4.11222E-03       13.3931E-03       13.3931E-03        939.295E+06          0.             -34.5674E+06         2.66038E+09        2.68068E+09          -4.10373E-03   -327.429E-06         13.4831E-03         12.4074E-03 
                2.80899E-03       35.5208           443.965             27.7137E+06        69.7229E+03        27.7137E+06        85.1073E+03        27.8025E+06        66.003E+03          -4.20931E-03       13.9472E-03       13.9473E-03        982.482E+06          0.              -7.55254E+06        2.78727E+09        2.7917E+09           -4.20039E-03   -335.143E-06         14.0449E-03         12.9243E-03 
                2.92135E-03     -392.075             -4.9157E+03        29.9634E+06        72.1377E+03        29.9634E+06        89.345E+03         30.0587E+06        66.1715E+03         -4.30073E-03       14.5011E-03       14.5011E-03          1.02548E+09        0.              21.6808E+06         2.91539E+09        2.90268E+09          -4.29145E-03   -342.409E-06         14.6067E-03         13.4413E-03 
