
                             A:A1 PI: HOST-1 N  A:A1 PI: TRUSS-1   A:A2 PI: HOST-1 N  A:A2 PI: TRUSS-1   ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE11 PI: TRUSS  LE:LE22 PI: HOST-  LE:LE22 PI: TRUSS  RF:RF1 PI: HOST-1  RF:RF1 PI: TRUSS-  RF:RF2 PI: HOST-1  RF:RF2 PI: TRUSS-  S:S11 PI: HOST-1   S:S11 PI: TRUSS-1  S:S22 PI: HOST-1   S:S22 PI: TRUSS-1  U:U1 PI: HOST-1 N  U:U1 PI: TRUSS-1   U:U2 PI: HOST-1 N  U:U2 PI: TRUSS-1 
                  X                 : 1                N: 1               : 1                N: 1                -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1          1 E: 1 Centroid    -1 E: 1 Centroid   1 E: 1 Centroid    -1 E: 1 Centroid         N: 1              1 N: 1              N: 1              1 N: 1         E: 1 Centroid       E: 1 Centroid     E: 1 Centroid       E: 1 Centroid          : 1                N: 1               : 1                N: 1      
                1.46067E-03       -6.64382E+03       -4.98119E+03        2.71528E+03        0.               229.189E-06         0.                 0.                 0.                20.4909E+06       848.675E+03         0.                20.4909E+06        60.6069E+03        21.4022E+06        -2.07154E+03       -4.15197E-03       14.0074E-03        14.0074E-03         0.                 0.                 0.                 0.                 0.                21.7866E+06         2.80375E+09        2.81655E+09        0.                -4.14337E-03       -3.10751E-03       14.106E-03          0.         
                1.57303E-03       21.8653E+03        16.4013E+03       -24.0369E+03         0.              -171.762E-06         0.                 0.                 0.                26.6816E+06       718.325E+03         0.                26.6816E+06        64.6821E+03        27.4564E+06         8.18929E+03       -5.03228E-03       15.9733E-03        15.9733E-03         0.                 0.                 0.                 0.                 0.               -90.6389E+06         3.19768E+09        3.14462E+09        0.                -5.01963E-03       -3.76472E-03       16.1016E-03         0.         
                1.68539E-03       31.0065E+03        23.255E+03        -47.328E+03          0.              -114.539E-06         0.                 0.                 0.                32.5646E+06       363.599E+03         0.                32.5646E+06        69.4202E+03        32.9704E+06        27.2307E+03        -5.63567E-03       17.6373E-03        17.6373E-03         0.                 0.                 0.                 0.                 0.              -130.741E+06          3.53117E+09        3.45489E+09        0.                -5.61985E-03       -4.21487E-03       17.7938E-03         0.         
                1.79775E-03       19.2976E+03        14.4706E+03       -52.9883E+03         0.                 1.14667E-03       0.                 0.                 0.                36.6366E+06        95.2309E+03        0.                36.6366E+06        75.8773E+03        36.7835E+06        24.2024E+03        -5.84563E-03       18.7123E-03        18.7123E-03         0.                 0.                 0.                 0.                 0.               -86.5457E+06         3.74665E+09        3.69623E+09        0.                -5.82861E-03       -4.37144E-03       18.8885E-03         0.         
                1.91011E-03        4.22328E+03        3.16513E+03      -27.0528E+03         0.               459.059E-06         0.                 0.                 0.                38.2767E+06        11.6378E+03        0.                38.2767E+06        80.1253E+03        38.3621E+06         6.39431E+03       -5.8106E-03        19.13E-03          19.1301E-03         0.                 0.                 0.                 0.                 0.               -23.8149E+06         3.8304E+09         3.81655E+09        0.                -5.79376E-03       -4.34531E-03       19.3142E-03         0.         
                2.02247E-03       -6.04054E+03       -4.52948E+03       18.5596E+03         0.               119.297E-09         0.                 0.                 0.                38.6086E+06         7.30287E+03       0.                38.6086E+06        81.5314E+03        38.6932E+06         4.15886E+03       -5.72194E-03       19.2127E-03        19.2127E-03         0.                 0.                 0.                 0.                 0.                20.484E+06          3.84698E+09        3.85891E+09        0.                -5.70558E-03       -4.27923E-03       19.3984E-03         0.         
                2.13483E-03      -16.6635E+03       -12.4938E+03        51.8951E+03         0.              -688.438E-06         0.                 0.                 0.                39.8868E+06        69.8022E+03        0.                39.8868E+06        83.017E+03         40.0173E+06        22.249E+03         -5.71E-03          19.525E-03         19.5251E-03         0.                 0.                 0.                 0.                 0.                61.8777E+06         3.90957E+09        3.94564E+09        0.                -5.69367E-03       -4.27033E-03       19.7169E-03         0.         
                2.24719E-03      -26.0372E+03       -19.5244E+03        53.5067E+03         0.               746.62E-06          0.                 0.                 0.                43.9069E+06       317.839E+03         0.                43.9069E+06        87.0724E+03        44.284E+06         27.8156E+03        -5.90959E-03       20.4794E-03        20.4795E-03         0.                 0.                 0.                 0.                 0.                96.1971E+06         4.10097E+09        4.15691E+09        0.                -5.89212E-03       -4.41916E-03       20.6906E-03         0.         
                2.35955E-03      -21.7577E+03       -16.3159E+03        30.4542E+03         0.              -344.565E-06         0.                 0.                 0.                51.1151E+06       684.141E+03         0.                51.1151E+06        93.2375E+03        51.8812E+06        11.2687E+03        -6.43999E-03       22.0938E-03        22.0939E-03         0.                 0.                 0.                 0.                 0.                79.0172E+06         4.42473E+09        4.47057E+09        0.                -6.41929E-03       -4.81448E-03       22.3397E-03         0.         
                2.47191E-03     -676.491           -510.79            -961.47               0.               919.947E-06         0.                 0.                 0.                60.7406E+06       865.617E+03         0.                60.7406E+06        98.7725E+03        61.7065E+06        -1.58992E+03       -7.24729E-03       24.0811E-03        24.0811E-03         0.                 0.                 0.                 0.                 0.                -2.57677E+06        4.82338E+09        4.8219E+09         0.                -7.22114E-03       -5.41578E-03       24.3734E-03         0.         
                2.58427E-03       21.3572E+03        16.0135E+03       -31.0086E+03         0.                -1.03471E-03       0.                 0.                 0.                71.1556E+06       679.612E+03         0.                71.1556E+06       103.841E+03         71.9274E+06        11.6765E+03        -8.06388E-03       26.0525E-03        26.0525E-03         0.                 0.                 0.                 0.                 0.               -89.8682E+06         5.21896E+09        5.16722E+09        0.                -8.03154E-03       -6.02353E-03       26.3949E-03         0.         
                2.69663E-03       27.4522E+03        20.5855E+03       -51.2211E+03         0.              -689.716E-06         0.                 0.                 0.                80.1369E+06       316.933E+03         0.                80.1369E+06       109.234E+03         80.5351E+06        27.9924E+03        -8.60919E-03       27.6393E-03        27.6393E-03         0.                 0.                 0.                 0.                 0.              -116.283E+06          5.53748E+09        5.47068E+09        0.                -8.5723E-03        -6.42912E-03       28.0249E-03         0.         
                2.80899E-03       18.127E+03         13.5956E+03       -48.7413E+03         0.              -690.408E-06         0.                 0.                 0.                85.7809E+06        75.3594E+03        0.                85.7809E+06       114.572E+03         85.9492E+06        21.6816E+03        -8.80512E-03       28.5954E-03        28.5954E-03         0.                 0.                 0.                 0.                 0.               -80.0983E+06         5.72941E+09        5.68348E+09        0.                -8.76649E-03       -6.57482E-03       29.0083E-03         0.         
                2.92135E-03        4.50725E+03        3.38186E+03      -18.7009E+03         0.              -661.952E-06         0.                 0.                 0.                87.9341E+06        11.3014E+03        0.                87.9341E+06       117.819E+03         88.0584E+06         4.78324E+03       -8.77019E-03       28.9531E-03        28.9531E-03         0.                 0.                 0.                 0.                 0.               -23.9906E+06         5.80125E+09        5.78748E+09        0.                -8.73183E-03       -6.54888E-03       29.3763E-03         0.         
                3.03371E-03       -8.04043E+03       -6.02805E+03       23.2563E+03         0.               720.047E-06         0.                 0.                 0.                88.7186E+06        13.0124E+03        0.                88.7186E+06       119.511E+03         88.8445E+06         6.58722E+03       -8.67784E-03       29.0812E-03        29.0813E-03         0.                 0.                 0.                 0.                 0.                27.5036E+06         5.82698E+09        5.84275E+09        0.                -8.64027E-03       -6.48025E-03       29.5083E-03         0.         
                3.14607E-03      -19.6789E+03       -14.7584E+03        51.2135E+03         0.              -288.019E-06         0.                 0.                 0.                91.2812E+06        95.7668E+03        0.                91.2812E+06       121.603E+03         91.4746E+06        23.9449E+03        -8.68788E-03       29.4945E-03        29.4946E-03         0.                 0.                 0.                 0.                 0.                72.5854E+06         5.90997E+09        5.95159E+09        0.                -8.65022E-03       -6.48772E-03       29.9338E-03         0.         
                3.25843E-03      -25.4285E+03       -19.0708E+03        51.3747E+03         0.                -1.15265E-03       0.                 0.                 0.                97.8731E+06       368.649E+03         0.                97.8731E+06       125.658E+03         98.3409E+06        26.5492E+03        -8.94857E-03       30.5349E-03        30.535E-03          0.                 0.                 0.                 0.                 0.                93.5565E+06         6.11891E+09        6.17247E+09        0.                -8.90861E-03       -6.68151E-03       31.0059E-03         0.         
                3.37079E-03      -17.2838E+03       -12.9592E+03        28.8194E+03         0.               692.22E-06          0.                 0.                 0.               108.894E+06        731.197E+03         0.               108.894E+06        131.244E+03        109.747E+06          9.05753E+03       -9.53335E-03       32.2024E-03        32.2025E-03         0.                 0.                 0.                 0.                 0.                61.4428E+06         6.45384E+09        6.48893E+09        0.                -9.48802E-03       -7.11606E-03       32.7266E-03         0.         
                3.48315E-03        2.65811E+03        1.99439E+03       -3.87577E+03        0.              -461.34E-06          0.                 0.                 0.               123.022E+06        874.261E+03         0.               123.022E+06        137.078E+03        124.034E+06       -367.089            -10.3389E-03        34.2188E-03        34.2189E-03         0.                 0.                 0.                 0.                 0.               -16.2934E+06         6.85899E+09        6.84974E+09        0.               -10.2856E-03        -7.71421E-03       34.8111E-03         0.         
                3.59551E-03       20.5092E+03        15.379E+03        -35.1644E+03         0.               115.562E-06         0.                 0.                 0.               137.659E+06        655.548E+03         0.               137.659E+06        142.957E+03        138.443E+06         14.1088E+03       -11.1111E-03        36.184E-03         36.184E-03          0.                 0.                 0.                 0.                 0.               -87.0964E+06         7.25401E+09        7.20464E+09        0.               -11.0497E-03        -8.28719E-03       36.8467E-03         0.         
                3.70787E-03       25.0179E+03        18.7573E+03       -52.7611E+03         0.                 1.47291E-03       0.                 0.                 0.               149.654E+06        292.542E+03         0.               149.654E+06        148.719E+03        150.067E+06         28.2676E+03       -11.622E-03         37.7179E-03        37.7179E-03         0.                 0.                 0.                 0.                 0.              -106.115E+06          7.56239E+09        7.50241E+09        0.               -11.5548E-03        -8.66601E-03       38.4384E-03         0.         
                3.82022E-03       17.2988E+03        12.9744E+03       -45.4755E+03         0.              -808.202E-06         0.                 0.                 0.               156.834E+06         67.5231E+03        0.               156.834E+06        153.39E+03         157.035E+06         20.157E+03        -11.8136E-03        38.6089E-03        38.6088E-03         0.                 0.                 0.                 0.                 0.               -75.5322E+06         7.74156E+09        7.69892E+09        0.               -11.7441E-03        -8.80803E-03       39.3639E-03         0.         
                3.93258E-03        4.51877E+03        3.38854E+03      -13.7547E+03         0.                -1.387E-03         0.                 0.                 0.               159.596E+06         12.3012E+03        0.               159.596E+06        156.162E+03        159.76E+06           4.57878E+03      -11.7842E-03        38.9469E-03        38.9469E-03         0.                 0.                 0.                 0.                 0.               -23.4828E+06         7.80955E+09        7.7963E+09         0.               -11.715E-03         -8.78625E-03       39.7154E-03         0.         
                4.04494E-03       -9.22561E+03       -6.91878E+03       25.461E+03          0.               462.676E-06         0.                 0.                 0.               161.011E+06         18.6609E+03        0.               161.011E+06        158.052E+03        161.179E+06          8.3616E+03       -11.6971E-03        39.118E-03         39.118E-03          0.                 0.                 0.                 0.                 0.                31.4892E+06         7.84396E+09        7.86174E+09        0.               -11.6289E-03        -8.72169E-03       39.8932E-03         0.         
                4.1573E-03       -20.9766E+03       -15.7318E+03        50.3834E+03         0.              -115.669E-06         0.                 0.                 0.               165.023E+06        115.674E+03         0.               165.023E+06        160.499E+03        165.274E+06         24.8416E+03       -11.7278E-03        39.5979E-03        39.598E-03          0.                 0.                 0.                 0.                 0.                76.7791E+06         7.94053E+09        7.98384E+09        0.               -11.6592E-03        -8.74448E-03       40.3924E-03         0.         
