
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                l-1                 -1                 -1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 8               N: 8          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                1.57303E-03       24.3595E+03       -25.8602E+03         1.80442E-03        0.                 0.                 0.                27.9074E+06       753.651E+03          0.                27.9074E+06        46.8856E+03        28.6951E+06       112.36E-06          12.8482E+03        -5.25644E-03       16.6558E-03        23.7449E+06      -811.735E+06        -98.0115E+06         3.27715E+09       -5.2427E-03        16.7952E-03 
                1.68539E-03       29.2263E+03       -54.0811E+03        -2.26295E-03        0.                 0.                 0.                34.1193E+06       370.761E+03          0.                34.1193E+06        50.5007E+03        34.5104E+06       112.36E-06          30.107E+03         -5.84243E-03       18.4095E-03        28.4958E+06      -895.425E+06       -120.804E+06          3.61555E+09       -5.82541E-03       18.5799E-03 
                1.79775E-03       17.819E+03        -57.5932E+03       918.257E-06          0.                 0.                 0.                38.231E+06         87.3889E+03         0.                38.231E+06         56.2316E+03        38.3487E+06       112.36E-06          25.9429E+03        -6.05745E-03       19.4907E-03        17.3741E+06      -955.027E+06        -77.8025E+06         3.85744E+09       -6.03915E-03       19.6819E-03 
                1.91011E-03        6.41628E+03      -24.7425E+03       458.919E-06          0.                 0.                 0.                39.6772E+06         8.21496E+03        0.                39.6772E+06        59.1334E+03        39.7387E+06       112.36E-06           5.89891E+03       -6.04618E-03       19.8582E-03         6.25754E+06     -979.179E+06        -30.2198E+06         3.95883E+09       -6.02793E-03       20.0568E-03 
                2.02247E-03       -4.34591E+03       23.687E+03        746.073E-06          0.                 0.                 0.                39.9215E+06         8.24421E+03        0.                39.9215E+06        60.2573E+03        39.9847E+06       112.36E-06           5.30764E+03       -5.95342E-03       19.9196E-03        -4.23759E+06     -988.138E+06         13.2102E+06         3.9964E+09        -5.93571E-03       20.1193E-03 
                2.13483E-03      -19.6793E+03        54.2712E+03      -458.9E-06            0.                 0.                 0.                41.3712E+06        78.9198E+03         0.                41.3712E+06        62.335E+03         41.488E+06        112.36E-06          24.5116E+03        -5.91581E-03       20.274E-03        -19.1865E+06        -1.0145E+09        69.5654E+06         4.10022E+09       -5.89835E-03       20.4808E-03 
                2.24719E-03      -30.1492E+03        54.1067E+03       517.286E-06          0.                 0.                 0.                45.6914E+06       347.452E+03          0.                45.6914E+06        66.7604E+03        46.0748E+06       112.36E-06          30.8542E+03        -6.12816E-03       21.2992E-03       -29.399E+06         -1.07085E+09      107.307E+06          4.32769E+09       -6.10944E-03       21.5275E-03 
                2.35955E-03      -21.0841E+03        32.4956E+03      -114.697E-06          0.                 0.                 0.                53.2458E+06       740.549E+03          0.                53.2458E+06        70.7085E+03        54.0432E+06       112.36E-06          13.7644E+03        -6.72373E-03       22.991E-03        -20.5567E+06        -1.14809E+09       73.7984E+06         4.64744E+09       -6.70115E-03       23.2573E-03 
                2.47191E-03        3.36992E+03      214.384             -1.60906E-03        0.                 0.                 0.                63.3872E+06       924.477E+03          0.                63.3872E+06        72.937E+03         64.3824E+06       112.36E-06           2.20734E+03       -7.58779E-03       25.0802E-03         3.28857E+06       -1.23574E+09      -18.0494E+06         5.01344E+09       -7.55904E-03       25.3974E-03 
                2.58427E-03       22.8437E+03       -35.0501E+03       402.595E-06          0.                 0.                 0.                74.4477E+06       709.416E+03          0.                74.4477E+06        75.4965E+03        75.2163E+06       112.36E-06          16.3295E+03        -8.40971E-03       27.1677E-03        22.2736E+06        -1.3263E+09       -93.7433E+06         5.38891E+09       -8.37438E-03       27.5401E-03 
                2.69663E-03       25.7529E+03       -58.2496E+03       -57.5584E-06         0.                 0.                 0.                83.8315E+06       315.29E+03           0.                83.8315E+06        79.8762E+03        84.1951E+06       112.36E-06          31.5245E+03        -8.94121E-03       28.821E-03         25.1093E+06        -1.40511E+09     -106.843E+06          5.71345E+09       -8.90134E-03       29.2403E-03 
                2.80899E-03       17.8971E+03       -51.6773E+03       403.214E-06          0.                 0.                 0.                89.3808E+06        65.4435E+03         0.                89.3808E+06        84.1377E+03        89.5075E+06       112.36E-06          22.8761E+03        -9.14485E-03       29.758E-03         17.4483E+06        -1.45488E+09      -75.8907E+06         5.91942E+09       -9.10317E-03       30.2052E-03 
                2.92135E-03        6.64136E+03      -15.3936E+03       604.836E-06          0.                 0.                 0.                91.2076E+06         8.50599E+03        0.                91.2076E+06        86.3675E+03        91.298E+06        112.36E-06           4.49477E+03       -9.1205E-03        30.0613E-03         6.47527E+06       -1.47568E+09      -30.3599E+06         6.0064E+09        -9.07905E-03       30.5177E-03 
                3.03371E-03       -8.0739E+03        28.0316E+03       720.613E-06          0.                 0.                 0.                91.9071E+06        14.4491E+03         0.                91.9071E+06        88.0032E+03        92.0014E+06       112.36E-06           8.13655E+03       -9.01158E-03       30.1759E-03        -7.87263E+06       -1.48952E+09       26.106E+06          6.06173E+09       -8.97109E-03       30.6358E-03 
                3.14607E-03      -23.4622E+03        53.8004E+03        -1.49861E-03        0.                 0.                 0.                94.7465E+06       107.978E+03          0.                94.7465E+06        90.7157E+03        94.9181E+06       112.36E-06          27.0762E+03        -9.0055E-03        30.6337E-03       -22.8754E+06        -1.52058E+09       82.8607E+06         6.18617E+09       -8.96506E-03       31.1078E-03 
                3.25843E-03      -28.2466E+03        53.2388E+03        -2.0756E-03         0.                 0.                 0.               101.817E+06        409.463E+03          0.               101.817E+06         94.5322E+03       102.291E+06        112.36E-06          29.8063E+03        -9.29833E-03       31.7496E-03       -27.5409E+06        -1.57731E+09      100.177E+06          6.42011E+09       -9.25523E-03       32.259E-03  
                3.37079E-03      -15.5586E+03        30.9396E+03       403.987E-06          0.                 0.                 0.               113.491E+06        800.859E+03          0.               113.491E+06         97.8002E+03       114.378E+06        112.36E-06          11.571E+03         -9.95135E-03       33.5144E-03       -15.1688E+06        -1.65523E+09       52.7395E+06         6.74748E+09       -9.90201E-03       34.0823E-03 
                3.48315E-03        5.94547E+03       -4.67955E+03      231.051E-06          0.                 0.                 0.               128.518E+06        937.533E+03          0.               128.518E+06        100.6E+03          129.553E+06        112.36E-06           3.55938E+03      -10.8033E-03        35.6531E-03         5.7958E+06        -1.74614E+09      -28.7933E+06         7.13092E+09      -10.7452E-03        36.2963E-03 
                3.59551E-03       21.2135E+03       -40.8584E+03      -461.84E-06           0.                 0.                 0.               144.041E+06        680.063E+03          0.               144.041E+06        104.221E+03        144.806E+06        112.36E-06          19.0917E+03       -11.5801E-03        37.7304E-03        20.6804E+06        -1.83759E+09      -88.0352E+06         7.51514E+09      -11.5133E-03        38.4511E-03 
                3.70787E-03       24.2511E+03       -59.194E+03        809.108E-06          0.                 0.                 0.               156.416E+06        284.565E+03          0.               156.416E+06        108.655E+03        156.777E+06        112.36E-06          32.1878E+03       -12.0864E-03        39.3074E-03        23.6415E+06        -1.91165E+09     -100.061E+06          7.82565E+09      -12.0137E-03        40.0902E-03 
                3.82022E-03       18.1573E+03       -47.0574E+03      -230.13E-06           0.                 0.                 0.               163.342E+06         56.5781E+03         0.               163.342E+06        112.1E+03          163.489E+06        112.36E-06          21.0818E+03       -12.283E-03         40.1644E-03        17.7042E+06        -1.95599E+09      -75.4724E+06         8.01195E+09      -12.2078E-03        40.9819E-03 
                3.93258E-03        5.8302E+03       -10.3949E+03       144.702E-06          0.                 0.                 0.               165.677E+06          9.91193E+03        0.               165.677E+06        114.217E+03        165.797E+06        112.36E-06           4.48015E+03      -12.2475E-03        40.4503E-03         5.68812E+06       -1.97642E+09      -27.1968E+06         8.09665E+09      -12.1728E-03        41.2795E-03 
                4.04494E-03      -10.8116E+03        29.8042E+03      -318.119E-06          0.                 0.                 0.               166.999E+06         19.9267E+03         0.               166.999E+06        116.241E+03        167.125E+06        112.36E-06          10.3129E+03       -12.1375E-03        40.6101E-03       -10.5421E+06        -1.99341E+09       35.5736E+06         8.16416E+09      -12.0641E-03        41.446E-03  
                4.1573E-03       -24.6682E+03        53.7924E+03       322.747E-09          0.                 0.                 0.               171.355E+06        130.64E+03           0.               171.355E+06        119.08E+03         171.576E+06        112.36E-06          28.6931E+03       -12.1656E-03        41.1311E-03       -24.0508E+06        -2.02621E+09       86.8459E+06         8.29783E+09      -12.0919E-03        41.9886E-03 
                4.26966E-03      -25.8954E+03        53.2147E+03      -694.873E-06          0.                 0.                 0.               181.327E+06        452.865E+03          0.               181.327E+06        122.415E+03        181.873E+06        112.36E-06          29.124E+03        -12.5091E-03        42.303E-03        -25.2482E+06        -2.08295E+09       91.1283E+06         8.53596E+09      -12.4312E-03        43.2104E-03 
                4.38202E-03      -12.5468E+03        29.7002E+03       -57.8173E-06         0.                 0.                 0.               197.301E+06        840.581E+03          0.               197.301E+06        125.605E+03        198.256E+06        112.36E-06          10.9765E+03       -13.1839E-03        44.1166E-03       -12.2319E+06        -2.16206E+09       40.835E+06          8.87269E+09      -13.0973E-03        45.1041E-03 
                4.49438E-03        6.33451E+03       -7.93469E+03     -579.488E-06          0.                 0.                 0.               217.318E+06        950.338E+03          0.               217.318E+06        129.063E+03        218.392E+06        112.36E-06           4.80035E+03      -14.0198E-03        46.2848E-03         6.1759E+06        -2.25493E+09      -30.996E+06          9.26913E+09      -13.9219E-03        47.3726E-03 
                4.60674E-03       19.8862E+03       -43.5804E+03        87.1647E-06         0.                 0.                 0.               237.342E+06        672.042E+03          0.               237.342E+06        133.326E+03        238.127E+06        112.36E-06          20.7391E+03       -14.7752E-03        48.3529E-03        19.3892E+06        -2.34586E+09      -82.9442E+06         9.65692E+09      -14.6665E-03        49.541E-03  
