4.48051e-03 6.27891e+05  7.57279e+08 7.57521e+08 5.78537e+05
4.53513e-03 6.00344e+05  7.75286e+08 7.75514e+08 5.81507e+05
4.58972e-03 6.13094e+05  7.93516e+08 7.93753e+08 5.86280e+05
4.64432e-03 6.61237e+05  8.11958e+08 8.12231e+08 5.92805e+05
4.69890e-03 7.28718e+05  8.30563e+08 8.30904e+08 5.99988e+05
4.75345e-03 7.67233e+05  8.49353e+08 8.49736e+08 6.06274e+05
4.80799e-03 7.47065e+05  8.68365e+08 8.68722e+08 6.10902e+05
4.86254e-03 7.00852e+05  8.87573e+08 8.87886e+08 6.14263e+05
4.91706e-03 6.72563e+05  9.06936e+08 9.07241e+08 6.17039e+05
4.97155e-03 6.63726e+05  9.26497e+08 9.26804e+08 6.19683e+05
5.02603e-03 6.66956e+05  9.46287e+08 9.46582e+08 6.22660e+05
5.08050e-03 6.94819e+05  9.66251e+08 9.66563e+08 6.26455e+05
5.13495e-03 7.34540e+05  9.86362e+08 9.86718e+08 6.31189e+05
5.18938e-03 7.35366e+05  1.00668e+09 1.00703e+09 6.36444e+05
5.24380e-03 6.82093e+05  1.02723e+09 1.02750e+09 6.41551e+05
5.29821e-03 6.25041e+05  1.04795e+09 1.04817e+09 6.46046e+05
5.35260e-03 6.09026e+05  1.06882e+09 1.06905e+09 6.49980e+05
5.40697e-03 6.31184e+05  1.08989e+09 1.09015e+09 6.53755e+05
5.46132e-03 6.83223e+05  1.11118e+09 1.11149e+09 6.57566e+05
5.51567e-03 7.62035e+05  1.13263e+09 1.13302e+09 6.61301e+05
5.56999e-03 8.23317e+05  1.15423e+09 1.15469e+09 6.65054e+05
5.62431e-03 8.03790e+05  1.17606e+09 1.17649e+09 6.69064e+05
5.67860e-03 7.10587e+05  1.19810e+09 1.19841e+09 6.73157e+05
5.73288e-03 6.19830e+05  1.22029e+09 1.22050e+09 6.77005e+05
5.78714e-03 5.78001e+05  1.24261e+09 1.24280e+09 6.80785e+05
5.84139e-03 5.74738e+05  1.26516e+09 1.26535e+09 6.84879e+05
5.89562e-03 6.08137e+05  1.28793e+09 1.28815e+09 6.89221e+05
5.94983e-03 6.90516e+05  1.31085e+09 1.31116e+09 6.93584e+05
6.00402e-03 7.84211e+05  1.33392e+09 1.33434e+09 6.98042e+05
6.05821e-03 8.15700e+05  1.35718e+09 1.35763e+09 7.02524e+05
6.11237e-03 7.67955e+05  1.38066e+09 1.38104e+09 7.06515e+05
6.16651e-03 6.93819e+05  1.40429e+09 1.40460e+09 7.09795e+05
6.22065e-03 6.38028e+05  1.42808e+09 1.42834e+09 7.12899e+05
6.27476e-03 6.09288e+05  1.45207e+09 1.45230e+09 7.16353e+05
6.32884e-03 6.18289e+05  1.47626e+09 1.47648e+09 7.20101e+05
6.38292e-03 6.71500e+05  1.50059e+09 1.50087e+09 7.24176e+05
6.43699e-03 7.29854e+05  1.52508e+09 1.52544e+09 7.29104e+05
6.49103e-03 7.38173e+05  1.54977e+09 1.55014e+09 7.34950e+05
6.54506e-03 6.96604e+05  1.57467e+09 1.57497e+09 7.40678e+05
6.59906e-03 6.53595e+05  1.59971e+09 1.59997e+09 7.45178e+05
6.65307e-03 6.38323e+05  1.62490e+09 1.62516e+09 7.48431e+05
6.70704e-03 6.46655e+05  1.65028e+09 1.65055e+09 7.51101e+05
6.76099e-03 6.76754e+05  1.67586e+09 1.67615e+09 7.53548e+05
6.81493e-03 7.26602e+05  1.70159e+09 1.70194e+09 7.55956e+05
6.86887e-03 7.65870e+05  1.72749e+09 1.72788e+09 7.59061e+05
6.92277e-03 7.56729e+05  1.75356e+09 1.75395e+09 7.63818e+05
6.97665e-03 7.00479e+05  1.77981e+09 1.78013e+09 7.70214e+05
7.03052e-03 6.34204e+05  1.80623e+09 1.80648e+09 7.77017e+05
7.08440e-03 5.91324e+05  1.83282e+09 1.83302e+09 7.82863e+05
7.13824e-03 5.87092e+05  1.85958e+09 1.85976e+09 7.87192e+05
7.19205e-03 6.24970e+05  1.88650e+09 1.88673e+09 7.90111e+05
7.24588e-03 6.91372e+05  1.91360e+09 1.91390e+09 7.92000e+05
7.29969e-03 7.54194e+05  1.94088e+09 1.94125e+09 7.93550e+05
7.35347e-03 7.83650e+05  1.96831e+09 1.96872e+09 7.95707e+05
7.40720e-03 7.68798e+05  1.99589e+09 1.99629e+09 7.99202e+05
