1.95650e-02 1.10809e+02  2.11809e+06 2.11819e+06 2.40237e+02
1.98091e-02 9.14993e+01  2.17121e+06 2.17128e+06 2.41593e+02
2.00533e-02 1.22937e+02  2.22496e+06 2.22509e+06 2.45442e+02
2.02974e-02 9.49389e+01  2.27938e+06 2.27945e+06 2.47829e+02
2.05415e-02 1.03858e+02  2.33445e+06 2.33454e+06 2.50051e+02
2.07857e-02 1.14659e+02  2.39017e+06 2.39028e+06 2.52386e+02
2.10298e-02 9.15148e+01  2.44656e+06 2.44663e+06 2.55711e+02
2.12739e-02 1.17906e+02  2.50359e+06 2.50370e+06 2.57696e+02
2.15180e-02 1.00498e+02  2.56127e+06 2.56136e+06 2.59782e+02
2.17621e-02 1.05247e+02  2.61963e+06 2.61972e+06 2.63731e+02
2.20063e-02 1.03088e+02  2.67862e+06 2.67871e+06 2.65124e+02
2.22504e-02 1.04661e+02  2.73826e+06 2.73836e+06 2.67822e+02
2.24945e-02 1.11298e+02  2.79857e+06 2.79867e+06 2.70780e+02
2.27386e-02 9.17334e+01  2.85952e+06 2.85959e+06 2.72782e+02
2.29827e-02 1.26003e+02  2.92114e+06 2.92127e+06 2.75248e+02
2.32268e-02 9.40192e+01  2.98342e+06 2.98349e+06 2.77588e+02
2.34709e-02 9.39893e+01  3.04632e+06 3.04640e+06 2.80496e+02
2.37150e-02 1.25659e+02  3.10990e+06 3.11004e+06 2.82218e+02
2.39591e-02 9.25918e+01  3.17413e+06 3.17420e+06 2.85286e+02
2.42031e-02 1.06821e+02  3.23900e+06 3.23909e+06 2.87675e+02
2.44472e-02 1.06992e+02  3.30454e+06 3.30465e+06 2.89652e+02
2.46913e-02 1.09579e+02  3.37073e+06 3.37083e+06 2.92862e+02
2.49354e-02 9.94004e+01  3.43756e+06 3.43764e+06 2.94432e+02
2.51795e-02 9.96617e+01  3.50507e+06 3.50515e+06 2.97317e+02
2.54235e-02 1.17533e+02  3.57320e+06 3.57332e+06 2.99683e+02
2.56676e-02 9.69371e+01  3.64199e+06 3.64206e+06 3.01860e+02
2.59117e-02 1.10093e+02  3.71145e+06 3.71155e+06 3.04274e+02
2.61557e-02 1.11369e+02  3.78154e+06 3.78166e+06 3.06717e+02
2.63998e-02 9.72205e+01  3.85231e+06 3.85238e+06 3.09846e+02
2.66439e-02 1.01835e+02  3.92372e+06 3.92380e+06 3.11205e+02
2.68879e-02 1.16929e+02  3.99576e+06 3.99589e+06 3.14831e+02
2.71320e-02 1.03001e+02  4.06848e+06 4.06856e+06 3.17496e+02
2.73760e-02 9.32976e+01  4.14185e+06 4.14192e+06 3.19022e+02
2.76201e-02 1.28095e+02  4.21585e+06 4.21600e+06 3.22864e+02
2.78641e-02 9.08518e+01  4.29053e+06 4.29059e+06 3.25111e+02
2.81082e-02 1.01023e+02  4.36585e+06 4.36593e+06 3.27166e+02
2.83522e-02 1.22704e+02  4.44181e+06 4.44194e+06 3.29616e+02
2.85962e-02 9.12872e+01  4.51845e+06 4.51851e+06 3.32441e+02
2.88403e-02 1.13403e+02  4.59571e+06 4.59581e+06 3.34193e+02
2.90843e-02 1.05366e+02  4.67363e+06 4.67373e+06 3.36135e+02
2.93283e-02 1.06031e+02  4.75222e+06 4.75232e+06 3.39899e+02
2.95723e-02 9.96786e+01  4.83144e+06 4.83153e+06 3.41382e+02
2.98164e-02 1.06190e+02  4.91131e+06 4.91142e+06 3.43874e+02
3.00604e-02 1.15552e+02  4.99185e+06 4.99196e+06 3.46991e+02
3.03044e-02 8.97990e+01  5.07302e+06 5.07309e+06 3.49068e+02
3.05484e-02 1.24971e+02  5.15486e+06 5.15499e+06 3.51398e+02
3.07924e-02 9.81901e+01  5.23735e+06 5.23743e+06 3.53940e+02
3.10364e-02 9.09224e+01  5.32047e+06 5.32053e+06 3.57020e+02
3.12804e-02 1.29071e+02  5.40425e+06 5.40440e+06 3.58613e+02
3.15244e-02 9.59254e+01  5.48870e+06 5.48878e+06 3.61888e+02
3.17684e-02 1.02678e+02  5.57376e+06 5.57385e+06 3.64734e+02
3.20124e-02 1.08625e+02  5.65951e+06 5.65962e+06 3.66521e+02
3.22564e-02 1.13374e+02  5.74589e+06 5.74600e+06 3.70059e+02
3.25004e-02 9.61749e+01  5.83292e+06 5.83300e+06 3.72244e+02
3.27444e-02 9.70253e+01  5.92062e+06 5.92070e+06 3.75020e+02
3.29884e-02 1.25599e+02  6.00894e+06 6.00907e+06 3.77426e+02
3.32323e-02 9.35803e+01  6.09792e+06 6.09799e+06 3.80060e+02
3.34763e-02 1.05594e+02  6.18756e+06 6.18765e+06 3.82708e+02
3.37203e-02 1.15921e+02  6.27784e+06 6.27796e+06 3.84711e+02
3.39643e-02 9.55149e+01  6.36878e+06 6.36885e+06 3.88168e+02
3.42082e-02 1.03196e+02  6.46036e+06 6.46044e+06 3.89773e+02
3.44522e-02 1.16603e+02  6.55258e+06 6.55270e+06 3.92806e+02
3.46962e-02 1.05620e+02  6.64546e+06 6.64555e+06 3.95677e+02
3.49401e-02 9.38518e+01  6.73900e+06 6.73907e+06 3.97106e+02
3.51841e-02 1.23220e+02  6.83317e+06 6.83330e+06 4.01116e+02
3.54280e-02 9.64434e+01  6.92800e+06 6.92807e+06 4.03530e+02
3.56720e-02 9.89886e+01  7.02348e+06 7.02356e+06 4.05601e+02
3.59159e-02 1.23628e+02  7.11959e+06 7.11972e+06 4.08667e+02
3.61599e-02 9.14994e+01  7.21638e+06 7.21645e+06 4.11713e+02
3.64038e-02 1.14110e+02  7.31379e+06 7.31390e+06 4.13557e+02
3.66478e-02 1.07723e+02  7.41185e+06 7.41196e+06 4.15701e+02
3.68917e-02 1.02248e+02  7.51059e+06 7.51068e+06 4.19665e+02
3.71356e-02 1.06602e+02  7.60994e+06 7.61004e+06 4.20844e+02
3.73796e-02 1.03024e+02  7.70996e+06 7.71005e+06 4.23164e+02
3.76235e-02 1.18868e+02  7.81062e+06 7.81074e+06 4.26666e+02
3.78674e-02 9.09749e+01  7.91193e+06 7.91200e+06 4.28316e+02
3.81113e-02 1.18731e+02  8.01389e+06 8.01401e+06 4.30708e+02
3.83553e-02 1.05207e+02  8.11651e+06 8.11660e+06 4.33479e+02
3.85992e-02 9.02198e+01  8.21974e+06 8.21981e+06 4.36172e+02
