1.11040e-02 3.40084e-06  1.97329e-02 1.97331e-02 
1.12185e-02 3.40084e-06  2.01418e-02 2.01420e-02 
1.13330e-02 3.40084e-06  2.05548e-02 2.05551e-02 
1.14474e-02 3.40084e-06  2.09721e-02 2.09724e-02 
1.15619e-02 3.40084e-06  2.13936e-02 2.13939e-02 
1.16764e-02 3.40084e-06  2.18193e-02 2.18196e-02 
1.17909e-02 3.40084e-06  2.22492e-02 2.22494e-02 
1.19053e-02 3.40084e-06  2.26832e-02 2.26835e-02 
1.20198e-02 3.40084e-06  2.31215e-02 2.31218e-02 
1.21343e-02 3.40084e-06  2.35639e-02 2.35642e-02 
1.22488e-02 3.40084e-06  2.40106e-02 2.40108e-02 
1.23632e-02 3.40084e-06  2.44614e-02 2.44617e-02 
1.24777e-02 3.40084e-06  2.49164e-02 2.49167e-02 
1.25922e-02 3.40084e-06  2.53756e-02 2.53759e-02 
1.27067e-02 3.40084e-06  2.58391e-02 2.58393e-02 
1.28211e-02 3.40084e-06  2.63067e-02 2.63069e-02 
1.29356e-02 3.40084e-06  2.67785e-02 2.67787e-02 
1.30501e-02 3.40084e-06  2.72545e-02 2.72547e-02 
1.31646e-02 3.40084e-06  2.77346e-02 2.77349e-02 
1.32790e-02 3.40084e-06  2.82190e-02 2.82193e-02 
1.33935e-02 3.40084e-06  2.87076e-02 2.87079e-02 
1.35080e-02 3.40084e-06  2.92004e-02 2.92006e-02 
1.36225e-02 3.40084e-06  2.96973e-02 2.96976e-02 
1.37369e-02 3.40084e-06  3.01985e-02 3.01988e-02 
1.38514e-02 3.40084e-06  3.07038e-02 3.07041e-02 
1.39659e-02 3.40084e-06  3.12134e-02 3.12136e-02 
1.40804e-02 3.40084e-06  3.17271e-02 3.17274e-02 
1.41948e-02 3.40084e-06  3.22450e-02 3.22453e-02 
1.43093e-02 3.40084e-06  3.27671e-02 3.27674e-02 
1.44238e-02 3.40084e-06  3.32935e-02 3.32937e-02 
1.45382e-02 3.40084e-06  3.38240e-02 3.38242e-02 
1.46527e-02 3.40084e-06  3.43587e-02 3.43589e-02 
1.47672e-02 3.40084e-06  3.48976e-02 3.48978e-02 
1.48817e-02 3.40084e-06  3.54406e-02 3.54409e-02 
1.49961e-02 3.40084e-06  3.59879e-02 3.59882e-02 
1.51106e-02 3.40084e-06  3.65394e-02 3.65397e-02 
1.52251e-02 3.40084e-06  3.70951e-02 3.70953e-02 
1.53396e-02 3.40084e-06  3.76549e-02 3.76552e-02 
1.54540e-02 3.40084e-06  3.82190e-02 3.82193e-02 
1.55685e-02 3.40084e-06  3.87872e-02 3.87875e-02 
1.56830e-02 3.40084e-06  3.93597e-02 3.93599e-02 
1.57975e-02 3.40084e-06  3.99363e-02 3.99366e-02 
1.59119e-02 3.40084e-06  4.05171e-02 4.05174e-02 
1.60264e-02 3.40084e-06  4.11021e-02 4.11024e-02 
1.61409e-02 3.40084e-06  4.16914e-02 4.16916e-02 
1.62554e-02 3.40084e-06  4.22848e-02 4.22850e-02 
1.63698e-02 3.40084e-06  4.28824e-02 4.28826e-02 
1.64843e-02 3.40084e-06  4.34841e-02 4.34844e-02 
1.65988e-02 3.40084e-06  4.40901e-02 4.40904e-02 
1.67133e-02 3.40084e-06  4.47003e-02 4.47006e-02 
1.68277e-02 3.40084e-06  4.53147e-02 4.53150e-02 
1.69422e-02 3.40084e-06  4.59333e-02 4.59335e-02 
1.70567e-02 3.40084e-06  4.65560e-02 4.65563e-02 
1.71712e-02 3.40084e-06  4.71830e-02 4.71832e-02 
1.72856e-02 3.40084e-06  4.78141e-02 4.78144e-02 
1.74001e-02 3.40084e-06  4.84494e-02 4.84497e-02 
1.75146e-02 3.40084e-06  4.90890e-02 4.90893e-02 
1.76291e-02 3.40084e-06  4.97327e-02 4.97330e-02 
1.77435e-02 3.40084e-06  5.03806e-02 5.03809e-02 
1.78580e-02 3.40084e-06  5.10327e-02 5.10330e-02 
1.79725e-02 3.40084e-06  5.16890e-02 5.16893e-02 
1.80870e-02 3.40084e-06  5.23495e-02 5.23498e-02 
1.82014e-02 3.40084e-06  5.30142e-02 5.30145e-02 
1.83159e-02 3.40084e-06  5.36831e-02 5.36834e-02 
1.84304e-02 3.40084e-06  5.43562e-02 5.43565e-02 
