
                             A:A1 PI: FIBERS90  A:A1 PI: HOST-1 N  A:A2 PI: FIBERS90  A:A2 PI: HOST-1 N  ALLAE Whole Model ALLCD Whole Model  ALLDMD Whole Mode  ALLFD Whole Model  ALLIE Whole Model  ALLKE Whole Model ALLPD Whole Model  ALLSE Whole Model  ALLVD Whole Model  ALLWK Whole Model  ETOTAL Whole Mode  LE:LE11 PI: FIBER  LE:LE11 PI: HOST-  LE:LE22 PI: FIBER  LE:LE22 PI: HOST-  RF:RF1 PI: FIBERS  RF:RF1 PI: HOST-1  RF:RF2 PI: FIBERS  RF:RF2 PI: HOST-1  S:S11 PI: FIBERS9  S:S11 PI: HOST-1   S:S22 PI: FIBERS9  S:S22 PI: HOST-1   U:U1 PI: FIBERS90  U:U1 PI: HOST-1 N  U:U2 PI: FIBERS90  U:U2 PI: HOST-1 N
                  X                 N: 1               : 1                N: 1               : 1                 -1                -1                l-1                 -1                 -1                 -1                -1                 -1                 -1                 -1                l-1         S90 E: 1 Centroid   1 E: 1 Centroid   S90 E: 1 Centroid   1 E: 1 Centroid        90 N: 1              N: 1             90 N: 1              N: 1         0 E: 1 Centroid     E: 1 Centroid     0 E: 1 Centroid     E: 1 Centroid           N: 1               : 1                N: 1               : 1       
                1.34831E-03     -629.452             -7.89004E+03        0.                 0.              -285.182E-06         0.                 0.                 0.                 5.28478E+06       59.1509E+03        0.                 5.28478E+06       27.3543E+03         5.31484E+06       56.4422E+03         6.7189E-03        -1.94136E-03        0.                 6.7189E-03         0.                 0.                 0.               397.235E+06          1.34429E+09       29.2917E+06         0.                 1.36167E+09     -154.747E-06         -1.93949E-03      537.897E-06          6.74157E-03
                1.46067E-03     -699.795             -8.77214E+03        0.                 0.               399.864E-06         0.                 0.                 0.                 6.2005E+06        70.1111E+03        0.                 6.2005E+06        29.5958E+03         6.24416E+06       56.0475E+03         7.27682E-03       -2.09136E-03        0.                 7.27682E-03        0.                 0.                 0.               429.862E+06          1.45595E+09       36.102E+06          0.                 1.47736E+09     -166.691E-06         -2.08917E-03      582.721E-06          7.30337E-03
                1.57303E-03       -7.92738         -101.309              0.                 0.                 2.85553E-03       0.                 0.                 0.                 7.18425E+06       79.0316E+03        0.                 7.18425E+06       30.6011E+03         7.23944E+06       54.4495E+03         7.83442E-03       -2.35236E-03        0.                 7.83442E-03        0.                 0.                 0.               455.937E+06          1.56754E+09      -50.136E+03          0.                 1.56752E+09     -187.47E-06          -2.34959E-03      627.546E-06          7.86517E-03
                1.68539E-03      640.198              8.02358E+03        0.                 0.                -1.5991E-03        0.                 0.                 0.                 8.24737E+06       70.962E+03         0.                 8.24737E+06       31.5473E+03         8.29405E+06       55.8325E+03         8.39172E-03       -2.6147E-03         0.                 8.39166E-03        0.                 0.                 0.               482.666E+06          1.67914E+09      -36.8022E+06         0.                 1.65732E+09     -208.348E-06         -2.6113E-03       672.371E-06          8.42697E-03
                1.79775E-03      544.978              6.8322E+03         0.                 0.               542.697E-06         0.                 0.                 0.                 9.3789E+06        60.4412E+03        0.                 9.3789E+06        32.9245E+03         9.41609E+06       56.1721E+03         8.94858E-03       -2.77552E-03        0.                 8.94858E-03        0.                 0.                 0.               515.95E+06           1.79059E+09      -34.2554E+06         0.                 1.77035E+09     -221.145E-06         -2.7717E-03       717.196E-06          8.98877E-03
                1.91011E-03     -132.338             -1.65711E+03        0.                 0.               428.771E-06         0.                 0.                 0.                10.5801E+06        58.1884E+03        0.                10.5801E+06        35.7168E+03        10.6184E+06        55.6715E+03         9.50525E-03       -2.84988E-03        0.                 9.50525E-03        0.                 0.                 0.               554.085E+06          1.90206E+09        1.73082E+06        0.                 1.90308E+09     -227.061E-06         -2.84585E-03      762.02E-06           9.55056E-03
                2.02247E-03     -613.201             -7.68411E+03        0.                 0.                57.2747E-06        0.                 0.                 0.                11.8589E+06        62.7878E+03        0.                11.8589E+06        38.6544E+03        11.9041E+06        56.2289E+03        10.0616E-03        -2.94523E-03        0.                10.0616E-03         0.                 0.                 0.               590.214E+06          2.01349E+09       29.5843E+06         0.                 2.03095E+09     -234.648E-06         -2.94093E-03      806.845E-06         10.1124E-03 
                2.13483E-03     -389.714             -4.88491E+03        0.                 0.              -228.486E-06         0.                 0.                 0.                13.2062E+06        72.7252E+03        0.                13.2062E+06        40.2323E+03        13.264E+06         55.1747E+03        10.6176E-03        -3.13793E-03        0.                10.6176E-03         0.                 0.                 0.               620.113E+06          2.12478E+09       19.6682E+06         0.                 2.1364E+09      -249.976E-06         -3.13301E-03      851.67E-06          10.6742E-03 
                2.24719E-03      240.318              3.01207E+03        0.                 0.               343.096E-06         0.                 0.                 0.                14.6264E+06        74.5729E+03        0.                14.6264E+06        41.2309E+03        14.6874E+06        54.8658E+03        11.1733E-03        -3.39253E-03        0.                11.1733E-03         0.                 0.                 0.               646.644E+06          2.2361E+09       -14.2759E+06         0.                 2.22766E+09     -270.225E-06         -3.38676E-03      896.495E-06         11.236E-03  
                2.35955E-03      560.627              7.02424E+03        0.                 0.                 2.51626E-03       0.                 0.                 0.                16.1214E+06        65.7785E+03        0.                16.1214E+06        42.3041E+03        16.1735E+06        55.9416E+03        11.7287E-03        -3.60901E-03        0.                11.7287E-03         0.                 0.                 0.               676.042E+06          2.34731E+09      -33.4796E+06         0.                 2.32759E+09     -287.439E-06         -3.60249E-03      941.319E-06         11.7978E-03 
                2.47191E-03      246.627              3.08674E+03        0.                 0.               457.586E-06         0.                 0.                 0.                17.6838E+06        59.6929E+03        0.                17.6838E+06        44.1312E+03        17.7319E+06        55.7146E+03        12.2837E-03        -3.73652E-03        0.                12.2838E-03         0.                 0.                 0.               710.899E+06          2.45846E+09      -18.2021E+06         0.                 2.44777E+09     -297.576E-06         -3.72954E-03      986.144E-06         12.3596E-03 
                2.58427E-03     -311.233             -3.90052E+03        0.                 0.                 1.14448E-03       0.                 0.                 0.                19.3195E+06        60.0792E+03        0.                19.3195E+06        46.8801E+03        19.3707E+06        55.7807E+03        12.8386E-03        -3.82491E-03        0.                12.8386E-03         0.                 0.                 0.               747.638E+06          2.56963E+09       12.2574E+06         0.                 2.57683E+09     -304.599E-06         -3.81761E-03        1.03097E-03       12.9214E-03 
                2.69663E-03     -485.634             -6.08676E+03        0.                 0.               916.293E-06         0.                 0.                 0.                21.0284E+06        66.2939E+03        0.                21.0284E+06        49.1077E+03        21.0881E+06        55.7544E+03        13.3931E-03        -3.96273E-03        0.                13.3931E-03         0.                 0.                 0.               780.848E+06          2.68068E+09       23.5197E+06         0.                 2.69452E+09     -315.551E-06         -3.95494E-03        1.07579E-03       13.4831E-03 
                2.80899E-03     -114.921             -1.43508E+03        0.                 0.                -1.37371E-03       0.                 0.                 0.                22.8066E+06        72.7711E+03        0.                22.8066E+06        50.3869E+03        22.8748E+06        54.8953E+03        13.9473E-03        -4.17773E-03        0.                13.9473E-03         0.                 0.                 0.               809.34E+06           2.7917E+09         4.7307E+06         0.                 2.79449E+09     -332.635E-06         -4.1691E-03         1.12062E-03       14.0449E-03 
                2.92135E-03      353.145              4.42954E+03        0.                 0.               229.026E-06         0.                 0.                 0.                24.6587E+06        70.0134E+03        0.                24.6587E+06        51.4406E+03        24.7248E+06        55.3072E+03        14.5011E-03        -4.41103E-03        0.                14.5011E-03         0.                 0.                 0.               837.144E+06          2.90268E+09      -21.2039E+06         0.                 2.89023E+09     -351.169E-06         -4.40138E-03        1.16544E-03       14.6067E-03 
                3.03371E-03      398.868              4.99949E+03        0.                 0.               -28.5884E-06        0.                 0.                 0.                26.5816E+06        62.9108E+03        0.                26.5816E+06        52.7686E+03        26.6415E+06        55.7902E+03        15.0547E-03        -4.58822E-03        0.                15.0547E-03         0.                 0.                 0.               868.682E+06          3.01358E+09      -25.3601E+06         0.                 2.99872E+09     -365.245E-06         -4.57774E-03        1.21027E-03       15.1685E-03 
                3.14607E-03        5.08824           62.0642             0.                 0.              -142.983E-06         0.                 0.                 0.                28.5737E+06        60.0953E+03        0.                28.5737E+06        54.9074E+03        28.6331E+06        55.5939E+03        15.6079E-03        -4.70204E-03        0.                15.6079E-03         0.                 0.                 0.               903.904E+06          3.12445E+09       -4.89894E+06        0.                 3.12158E+09     -374.285E-06         -4.69099E-03        1.25509E-03       15.7303E-03 
                3.25843E-03     -363.348             -4.5578E+03         0.                 0.               573.09E-06          0.                 0.                 0.                30.6393E+06        62.5574E+03        0.                30.6393E+06        57.3487E+03        30.7035E+06        55.7584E+03        16.1608E-03        -4.81505E-03        0.                16.1608E-03         0.                 0.                 0.               938.69E+06           3.23524E+09       15.8866E+06         0.                 3.24454E+09     -383.261E-06         -4.80345E-03        1.29992E-03       16.2921E-03 
                3.37079E-03     -302.953             -3.79916E+03        0.                 0.              -286.442E-06         0.                 0.                 0.                32.7753E+06        68.5976E+03        0.                32.7753E+06        59.0777E+03        32.8477E+06        55.3388E+03        16.7135E-03        -4.98588E-03        0.                16.7135E-03         0.                 0.                 0.               969.663E+06          3.34599E+09       14.1105E+06         0.                 3.35425E+09     -396.824E-06         -4.97345E-03        1.34474E-03       16.8539E-03 
                3.48315E-03       85.425              1.07328E+03        0.                 0.              -401.208E-06         0.                 0.                 0.                34.9822E+06        70.9807E+03        0.                34.9822E+06        60.2614E+03        35.0584E+06        55.0187E+03        17.2658E-03        -5.20493E-03        0.                17.2658E-03         0.                 0.                 0.               997.872E+06          3.45671E+09       -6.4413E+06         0.                 3.45295E+09     -414.212E-06         -5.19141E-03        1.38957E-03       17.4157E-03 
                3.59551E-03      350.907              4.40038E+03        0.                 0.              -917.118E-06         0.                 0.                 0.                37.2615E+06        66.4044E+03        0.                37.2615E+06        61.4363E+03        37.3338E+06        55.543E+03         17.8178E-03        -5.41044E-03        0.                17.8179E-03         0.                 0.                 0.                 1.02725E+09        3.56734E+09      -21.7919E+06         0.                 3.55464E+09     -430.521E-06         -5.39583E-03        1.43439E-03       17.9775E-03 
